country,year,P_it,qty_standardized_kg,qty_ln,g_it
ALB,2016,0.41216482183571956,68945161.0,18.048821978449972,-0.046537461495809396
ALB,2017,0.5147616225024789,101341084.0,18.43400245461952,0.3851804761695483
ALB,2018,0.6110823493748592,22102220.0,16.911188613931657,-1.5228138406878635
ALB,2019,0.46737335015332593,78740423.0,18.18166721557618,1.2704786016445233
ALB,2020,0.4083507495112322,107624211.67,18.49415619590021,0.31248898032403005
ALB,2021,0.7291087164806566,52796641.0,17.781958129228574,-0.7121980666716361
ALB,2023,0.649048261875325,201780773.01,19.122692383891675,1.3407342546631007
ALB,2024,0.6399812377655256,174204357.4,18.975739635847106,-0.14695274804456915
AND,2001,0.4045158175820948,2798563.0,14.84461662912019,
AND,2002,0.38400355831016275,3221754.0,14.98543648971113,0.14081986059093943
AND,2003,0.5452284992660763,2909703.0,14.88356157208334,-0.1018749176277911
AND,2004,0.5812076633066254,3166727.0,14.96820912035274,0.08464754826940002
AND,2006,0.7083323357888138,2811737.5,14.84931317762644,-0.118895942726299
AND,2007,0.8351394095280378,2784078.0,14.83942731728535,-0.009885860341089625
AND,2008,0.938097131098714,2742801.796,14.82449050919744,-0.01493680808790998
AND,2009,0.7461554069263416,2515076.06,14.737813603603412,-0.08667690559402885
AND,2010,0.881467679095149,2604681.1,14.772820807249754,0.03500720364634269
AND,2011,0.9831010584294754,2492399.41,14.728756422932548,-0.04406438431720616
AND,2012,1.116607662574226,2247273.5,14.625228261606468,-0.10352816132608034
AND,2013,1.0853470376698051,2172136.199,14.591221664791894,-0.03400659681457441
AND,2014,0.9883905087028805,2063899.7340000002,14.540107825915245,-0.051113838876649
AND,2015,0.6156008581282915,2058526.7,14.537501090717646,-0.0026067351975989084
AND,2016,0.49748976286195784,2590821.76,14.76748566520576,0.22998457448811394
AND,2017,0.574155273910481,3431216.09,15.048425301495334,0.28093963628957397
AND,2018,0.6193905681006867,3769998.26,15.142585097885625,0.09415979639029182
AND,2019,0.600597476569498,4148191.12,15.238182922487097,0.09559782460147126
AND,2020,0.5430020930541352,3695637.8099999996,15.122663711812006,-0.11551921067509063
AND,2021,0.6434947018724053,4481317.14,15.31542756564461,0.19276385383260397
AND,2022,1.3026211680143085,4593804.34,15.340219070988967,0.024791505344357034
AND,2023,0.9391048537823353,4913714.78,15.407540788050698,0.06732171706173062
ARE,2001,0.5040835193991515,1745798.0,14.372722315676132,
ARE,2002,0.9487321740395809,219904.0,12.300946366463817,-2.0717759492123147
ARE,2003,0.30472751503519735,49475739.0,17.716992986178138,5.41604661971432
ARE,2004,0.3599116825805487,13133083.0,16.390645024504686,-1.3263479616734521
ARE,2005,0.3851464950633484,1745110.0,14.372328148881184,-2.0183168756235013
ARE,2006,2.4840390951670335,270724.0,12.508855130704552,-1.8634730181766326
ARE,2007,0.6824727024013251,5742996.0,15.563491583346105,3.054636452641553
ARE,2008,3.166804162707505,18495078.0,16.73301520059584,1.1695236172497356
ARE,2009,0.9889731234024333,12154031.0,16.31317144227481,-0.41984375832102927
ARE,2010,0.6105101955679805,26643881.0,17.09807007620888,0.7848986339340698
ARE,2011,0.5677868570642226,54799583.0,17.81919314240024,0.7211230661913604
ARE,2012,1.0969294493206465,29759841.0,17.208670425172958,-0.6105227172272834
ARE,2013,0.5710235296465098,25285002.04,17.045721973176462,-0.16294845199649544
ARE,2014,0.8337528139049719,12808492.685,16.365618999892618,-0.6801029732838444
ARE,2015,3.3542776185929406,13850369.606999999,16.44382247666754,0.07820347677492023
ARE,2016,1.7030250626469832,29359265.663,17.195118749919594,0.7512962732520556
ARE,2017,1.041179827652713,42617818.53,17.567782999138963,0.372664249219369
ARE,2018,0.7209057669703175,110716409.768,18.52248262307957,0.9546996239406056
ARE,2019,0.4513014796199702,10796678843.555,23.10250440929866,4.580021786219092
ARE,2020,0.40519441854091,9728312775.071,22.998306313696016,-0.10419809560264426
ARE,2021,0.7146295098376936,51715892.227000006,17.761275685415203,-5.237030628280813
ARE,2022,0.7677267332596918,98328854.13599999,18.403828073439175,0.6425523880239723
ARE,2023,0.6084489991937576,85093447.74599999,18.259260595820248,-0.14456747761892785
ARG,2001,0.10508470255744652,44878397.0,17.619467101072026,
ARG,2002,0.09378808173561465,88646498.0,18.300167086038098,0.680699984966072
ARG,2003,0.07039585952746343,84227681.0,18.24903417815426,-0.05113290788383651
ARG,2004,0.09782916254710575,829511946.0,20.536348068937727,2.287313890783466
ARG,2005,0.12131686808610292,1565724602.0,21.171614558257875,0.6352664893201485
