year,country,node_dli_us,import_share_from_us,dli_us_to_i,dli_i_to_us,us_imports,total_imports
2001,AIA,1.843271479613935,0.5177710083217683,2.175221111681834,1.486855961936974,3346193.0,6462689.0
2001,ALB,0.0002447478989239126,0.00015901273546333817,1.5391716783612055,0.0,11614.0,73038175.0
2001,AND,0.0,0.0,1.5135745681638506,0.0,0.0,45819410.0
2001,ARE,1.8624530076277146,0.03508861709473821,1.7965315516492892,1.8648502150481412,4452724.0,126899387.0
2001,ARG,2.1158216350507484,0.04688795224052548,1.9565301787677618,2.1236579122356583,26200899.0,558798108.0
2001,ARM,0.07515179049929901,0.041690675430277,1.8026042927748196,0.0,7241979.0,173707404.0
2001,AUS,2.1704809645877488,0.004725422764699534,1.8532163640668518,2.1719872919872687,24945580.0,5279015496.0
2001,AUT,1.6951797793336383,0.00037911434086941944,1.699768970623737,1.6951780388455633,1181522.0,3116532066.0
2001,AZE,2.0572166195238277,0.0038306732189185466,1.7286475713982479,2.058480100158478,720492.0,188084955.0
2001,BDI,0.0005436377740808865,0.00036077971663534523,1.506841291275705,0.0,6207.0,17204404.0
2001,BEL,2.305764667636422,0.010567729083532965,2.0635409701745795,2.308351761758608,153461958.0,14521753613.0
2001,BEN,0.014105236408007217,0.00832592337217802,1.694134785715348,0.0,623558.0,74893555.0
2001,BFA,0.0007542166640639815,0.0004632093524747541,1.6282414420919704,0.0,90766.0,195950275.0
2001,BGD,2.0196423926215132,0.00039862572928997466,1.596442367827356,2.01981115831438,145825.0,365819337.0
2001,BGR,2.2435207518892306,0.05697467588900013,1.9326743916491593,2.262301128378748,19226736.0,337461086.0
2001,BHR,2.0889618823714615,0.10242043745833915,1.706560284747452,2.1325967204937935,1156232.0,11289075.0
2001,BHS,2.2332297880076264,0.4581376576656123,2.5293384453870464,1.9828737176413251,105681623.0,230676569.0
2001,BLR,1.9883862520291558,3.687177526813286e-05,1.5650293075009958,1.9884018625268594,75900.0,2058485100.0
2001,BLZ,2.1868722551044435,0.04679968244402556,2.105875239075521,2.190849000138254,3384487.0,72318589.0
2001,BOL,1.919518574019476,0.03974486463808028,1.9050754452153071,1.920116373685557,4531969.0,114026530.0
2001,BRA,2.192724012578526,0.04501297293923109,2.18642571913552,2.1930208803937736,361913822.0,8040211485.0
2001,BRB,1.52916990506744,0.03308161363803804,2.2040109107712738,1.506081266219857,4078073.0,123273098.0
2001,BRN,1.9554695796098907,0.12597519487651052,1.6207038892820604,2.003720124479792,232620.0,1846554.0
2001,BWA,6.487772392440262e-05,4.414738295773401e-05,1.469571231130858,0.0,4658.0,105510218.0
2001,CAF,0.007855649569019612,0.005222532334186527,1.5041839985550278,0.0,3385.0,648153.0
2001,CAN,2.870222020803089,0.18191047838334318,3.0544514199875916,2.829256750802195,1978394958.0,10875651450.0
2001,CHE,1.8537475737537707,0.00020239438471186518,1.7255377000062015,1.8537735279652683,765305.917,3781260621.877
2001,CHL,1.9634529936117069,0.02554275438267609,1.8608271528358482,1.9661430517502687,67843115.0,2656061049.0
2001,CHN,2.050076462752117,0.00508996382608637,1.9519376280207064,2.0505785414331585,85142913.0,16727606700.0
2001,CIV,2.0653556722140745,0.011055823893576214,1.9473617635666514,2.0666747758662707,7338936.0,663807245.0
2001,CMR,2.1612605226738135,0.0005872901832613168,1.7318107645000724,2.161512882509447,186278.0,317182213.0
2001,COK,0.007459697573070538,0.004793114624999919,1.556336152313625,0.0,22167.0,4624759.0
2001,COL,2.3760200817725647,0.17872570424615208,2.078491770496358,2.440768189975803,31018044.0,173551108.0
2001,COM,0.0,0.0,0.0,0.0,0.0,1104023.0
2001,CPV,0.028307101971566325,0.01577928166362633,1.7939411042277384,0.0,216422.0,13715580.0
2001,CRI,1.841748382976472,0.128150459362757,1.9232239672265268,1.8297725395977373,57496154.0,448661318.0
2001,CUB,0.0,0.0,0.0,0.0,0.0,960127116.0
2001,CYP,1.4975642036751282,0.0006597649160289167,1.692218098917699,1.4974356930774952,303784.0,460442792.0
2001,CZE,1.651549904802288,0.00015731934074844205,1.6276006413421866,1.6515536730774496,493204.0,3135050005.0
2001,DEU,2.170939214432035,0.0018846317362420215,2.0975468525777727,2.171077793176283,55332000.0,29359582000.0
2001,DMA,0.10123017480055971,0.05189799868308159,1.9505602791878,0.0,650243.0,12529250.0
2001,DNK,2.2760558942124445,0.0017863332661418173,1.7467208976550535,2.2770031550492726,2930949.0,1640762704.0
2001,DOM,1.8015388170620092,0.2228648529024192,2.3701351255824314,1.6384782051047033,257788000.0,1156701008.0
2001,DZA,2.470443455431997,0.11653812287514462,2.043188157065171,2.526803024247996,13956390.0,119758150.0
2001,ECU,2.3820914848279613,0.07402428384987704,1.9361108425662688,2.417744037134179,15208463.0,205452349.0
2001,EGY,2.050627606661551,0.00026709425742923207,1.9228529974138293,2.0506617436437184,161151.793,603351770.087
2001,ESP,2.1144594973903237,0.006898421352004364,2.093995646626939,2.1146016462581594,116216205.608,16846782717.068
2001,EST,2.0386186579414995,0.0003979412153849395,1.713012978657595,2.038748281443784,128617.0,323206029.0
2001,ETH,8.637979040199255e-05,5.614379858760891e-05,1.5385455308515017,0.0,17329.776,308667678.995
2001,FIN,2.3444797938577,0.015995536172890814,1.967350996503012,2.350610230803549,57085951.0,3568867613.0
2001,FJI,0.0004977401485208066,0.0003345042187060584,1.4879936356144727,0.0,22188.0,66331002.0
2001,FRA,2.2958829162576273,0.007128084719972605,2.117303407458032,2.2971649848189237,193202631.0,27104424062.0
