year,country,vul_us,us_import_share,hhi_imports
2001,AIA,0.2588499654516482,0.5177710083217683,0.4999313621105378
2001,ALB,6.909537696290496e-05,0.00015901273546333817,0.4345273148189789
2001,ARE,0.007328535072739291,0.03508861709473821,0.20885790548406244
2001,ARG,0.00585986906134732,0.04688795224052548,0.12497600729687247
2001,ARM,0.014894380116064948,0.041690675430277,0.357259266307022
2001,AUS,0.0005625967288786825,0.004725422764699534,0.1190574382214996
2001,AUT,3.9604995177665856e-05,0.00037911434086941944,0.10446715122102762
2001,AZE,0.002104535903338941,0.0038306732189185466,0.5493906117977563
2001,BDI,0.00026038327311830276,0.00036077971663534523,0.7217237031689415
2001,BEL,0.003976305919387654,0.010567729083532965,0.37626872225402563
2001,BEN,0.0018168539844896036,0.00832592337217802,0.21821651524692373
2001,BFA,7.339821786042334e-05,0.0004632093524747541,0.1584558201778184
2001,BGD,0.00017164129392129604,0.00039862572928997466,0.43058257736403666
2001,BGR,0.010493276413749855,0.05697467588900013,0.18417439415001127
2001,BHR,0.028429264924351605,0.10242043745833915,0.2775741407657586
2001,BHS,0.19177343861516002,0.4581376576656123,0.4185934847449989
2001,BLR,3.647332754009943e-05,3.687177526813286e-05,0.9891936928684365
2001,BLZ,0.029233314009019823,0.04679968244402556,0.6246477002057467
2001,BOL,0.019252442763802592,0.03974486463808028,0.484400763195869
2001,BRA,0.00449214677503412,0.04501297293923109,0.09979671374069556
2001,BRB,0.026874253298773992,0.03308161363803804,0.8123622261241007
2001,BRN,0.04399227401394388,0.12597519487651052,0.3492137801975072
2001,BWA,4.41352423497205e-05,4.414738295773401e-05,0.9997249982399833
2001,CAF,0.0022958301195273815,0.005222532334186527,0.4396009392797728
2001,CAN,0.02881952680218765,0.18191047838334318,0.15842697495113917
2001,CHE,3.093347875319102e-05,0.00020239438471186515,0.15283763330306258
2001,CHL,0.013065160871192806,0.02554275438267609,0.5115016444762909
2001,CHN,0.0003407708856549503,0.00508996382608637,0.06694956925007582
2001,CIV,0.005840468620665795,0.011055823893576214,0.5282707717567113
2001,CMR,0.0003911066975407995,0.0005872901832613168,0.6659513621850806
2001,COK,0.003561134219590224,0.004793114624999919,0.7429687162113892
2001,COL,0.029241005622596784,0.17872570424615208,0.1636082831282302
2001,CPV,0.00854145306867502,0.01577928166362633,0.5413081058286945
2001,CRI,0.036965939814582204,0.128150459362757,0.28845733365607595
2001,CYP,0.00013620807356307812,0.0006597649160289167,0.20644940380113858
2001,CZE,4.658788161559504e-05,0.00015731934074844205,0.2961357541542864
2001,DEU,0.00021424891823833964,0.0018846317362420215,0.11368211312495172
2001,DMA,0.04640875816882117,0.05189799868308159,0.8942302082247753
2001,DNK,0.0003797518173971867,0.0017863332661418173,0.21258732880084996
2001,DOM,0.08694236625772633,0.2228648529024192,0.3901125059669854
2001,DZA,0.026887365221413825,0.11653812287514462,0.2307173357358787
2001,ECU,0.01742600376370193,0.07402428384987704,0.23540928540480402
2001,EGY,0.00012682185097913064,0.00026709425742923207,0.47482058281516104
2001,ESP,0.0005362283212133619,0.006898421352004364,0.07773203372936312
2001,EST,0.00018057450094911327,0.0003979412153849395,0.45377179836584297
2001,ETH,2.5949689150671555e-05,5.614379858760891e-05,0.46220045318413355
2001,FIN,0.005110705157613231,0.015995536172890814,0.3195082116893861
2001,FJI,0.0002728204407635695,0.0003345042187060584,0.8155964125621601
2001,FRA,0.0006431179778419149,0.007128084719972605,0.09022311085051
2001,FRO,0.0002791679516311947,0.00037541217263297854,0.7436305266108755
2001,GAB,0.00295652969514205,0.032462312988919106,0.09107575594355372
2001,GBR,0.002525701365625665,0.013586986700014068,0.1858912076231774
2001,GEO,7.980295499783707e-05,0.00023106813981060338,0.3453654626001149
2001,GHA,0.0002880281366949265,0.0012457033686327943,0.23121727366848824
2001,GIN,0.018485602935393555,0.04548582487746103,0.40640359903758666
2001,GMB,0.023816724149104167,0.03971947864516452,0.599623282114848
2001,GRC,0.0002711265482194698,0.0012808491630767849,0.2116771873185947
2001,GRD,0.06834341224514147,0.08079230632195535,0.8459148569517827
2001,GTM,0.2702025434136573,0.633699834486849,0.42638884959226664
2001,GUY,0.05189494906692507,0.15750455583648898,0.32948220952287277
2001,HKG,0.0011668553820735166,0.004528554236651822,0.2576662045095056
2001,HND,0.15114412485436204,0.5014930907197693,0.30138824971134104
2001,HRV,0.00016529555214227118,0.0004558353763695641,0.36262115823204427
2001,HUN,0.0001293309642290245,0.00027250516235521606,0.47460005201824
2001,IDN,0.0002010820437437,0.0016714226991551818,0.12030591893082261
2001,IND,0.00015725985656932386,0.0005200014517825475,0.3024219567661635
2001,IRL,0.005936634824247264,0.013927704336744097,0.4262464711133494
2001,IRN,7.080189638216888e-05,0.0002899161454140888,0.24421508598992359
2001,ISL,0.00011173536194652317,0.0006233146134057754,0.17925997488812906
2001,ISR,0.00837376295070015,0.03475442108651971,0.24094094186906498
2001,ITA,0.0016765757079938073,0.015846131344909645,0.10580347161721491
2001,JAM,0.08530408759735511,0.29701319652572256,0.2872063887907668
2001,JOR,0.0007642681315644809,0.0008467101482928771,0.9026325397249408
2001,JPN,0.0008721939358336677,0.008329433005125932,0.10471228177199092
2001,KAZ,0.0010618802760896827,0.0017363400881847608,0.6115623795795757
2001,KEN,2.1958919933604806e-05,5.8169635310835805e-05,0.3774979818296078
2001,KGZ,0.00027771546341823303,0.000757599568358137,0.36657289024081086
2001,KHM,9.937099546254316e-08,2.8055243599520257e-07,0.35419758559587916
2001,KNA,0.0477499650156964,0.05325883516306793,0.8965642014042465
