country,year,ovi_gas,ovi_oil
CAN,2001,3.2537840730634797,6.011492342025247
CAN,2002,3.1263980342790063,5.7610889678424835
CAN,2003,3.045673341425448,5.584958879112174
CAN,2004,3.1138222777867006,5.355238803510182
CAN,2005,3.121928398795726,5.472881421712381
CAN,2006,3.1405097053089124,5.825002261290234
CAN,2007,2.919769485384645,5.240664904645805
CAN,2008,2.954870560857924,5.441135137914836
CAN,2009,3.047617459917852,5.5624193459918105
CAN,2010,2.986228030428652,5.314074706792495
CAN,2011,2.719572313946936,5.258562066183951
CAN,2012,2.750407127741805,5.212015118549463
CAN,2013,2.5934498900824408,5.195381171001203
CAN,2014,2.489542746472389,5.215697580753336
CAN,2015,2.47846550878926,5.169989941326586
CAN,2016,2.588608556448164,5.190813320881948
CAN,2017,2.494139720033351,5.241385066407358
CAN,2018,2.3235164332910023,5.088786235117958
CAN,2019,2.304638660858887,5.0710302973473995
CAN,2020,2.3718789711922605,5.774675205104493
CAN,2021,2.3051428017194513,5.652767836145911
CAN,2022,2.2086054576053145,5.429586994770841
CAN,2023,2.203116061819948,5.367116565492622
MEX,2001,10.588675644236623,2.160357518718346
MEX,2002,9.330915306854628,2.2665656408586417
MEX,2003,8.609634862895197,2.1949752087432923
MEX,2004,7.979891663203912,2.0986645973857945
MEX,2005,7.269830071903773,1.9675949913659296
MEX,2006,6.57438680341538,2.0173368543545553
MEX,2007,6.718100496815986,1.9305474455890643
MEX,2008,6.38719294790599,1.8795291074434384
MEX,2009,5.880263498029332,1.9545486216999268
MEX,2010,5.802292244337309,2.011043195119613
MEX,2011,5.4119176651566585,1.9906883118681775
MEX,2012,5.2028527616402505,1.9644676445876763
MEX,2013,4.925887209812994,2.0182742653650534
MEX,2014,4.860079492255646,2.094584232122235
MEX,2015,4.743697557551267,2.1448279158367587
MEX,2016,4.492066091880433,2.095983903996074
MEX,2017,4.273186331706745,2.1438968306018813
MEX,2018,4.15720156660306,2.276536654846325
MEX,2019,4.022579739506172,2.401088642453604
MEX,2020,4.02915240410591,2.721324951054617
MEX,2021,4.0808728324729024,2.4662731665057183
MEX,2022,4.106188041881145,2.2601045062510936
MEX,2023,3.8123854312886793,2.3673862546709312
USA,2001,6.565238215711137,3.1797954038608403
USA,2002,6.359283409151095,3.1616762490633428
USA,2003,6.54853543107103,3.118718014493999
USA,2004,6.5221336736441256,3.0137669444427546
USA,2005,6.6255198919502645,3.003479967414587
USA,2006,6.7228305873785805,3.0201381920960033
USA,2007,6.318251732652917,3.021165984443244
USA,2008,6.270501311272072,3.204378362376561
USA,2009,6.384850151268684,3.328407476247888
USA,2010,6.083774757260984,3.2579185917288873
USA,2011,5.991185333101059,3.3065458853426
USA,2012,5.730754858623531,3.380460147968504
USA,2013,5.577560927361842,3.294166562922491
USA,2014,5.4598904376000235,3.271064983778435
USA,2015,5.303350864913136,3.198854439301417
USA,2016,5.264275176980143,3.1728209881321563
USA,2017,5.330277267939598,3.131470547009096
USA,2018,4.79761462167075,3.0460269074880473
USA,2019,4.633916913510654,3.041390943455981
USA,2020,4.720876898970358,3.4355643076545213
USA,2021,4.714664794360841,3.1412390038496443
USA,2022,4.479132423474474,3.122349791538966
USA,2023,4.438639535272937,3.0815690778951574
ARG,2001,3.1578363134596383,4.234121437932941
ARG,2002,3.243380607382232,4.4916839660746035
ARG,2003,2.83913045070735,4.41075000288368
ARG,2004,2.5938475821786033,4.052193154114706
ARG,2005,2.430127004590598,3.902897010554405
ARG,2006,2.348735191039716,3.720107937812167
ARG,2007,2.23536272735565,3.3978999567998356
ARG,2008,2.210698738695342,3.3971966800320073
ARG,2009,2.28220355668016,3.570911539486188
ARG,2010,2.268546460929728,3.3193249188699676
ARG,2011,2.1778677027910023,3.137739966288975
ARG,2012,2.090855426427181,2.928891932931899
ARG,2013,2.0743439879179086,2.4740366284253024
ARG,2014,2.068623186932919,2.6393042076909214
ARG,2015,2.0465595664591185,2.579292831481349
ARG,2016,1.9804446738407104,2.6333401474323836
ARG,2017,1.9767536944509017,2.6824888550257873
ARG,2018,1.9604324887766291,2.8179446348180397
ARG,2019,2.0506761703736225,3.2049276982874404
ARG,2020,2.1733338280814363,3.6942604509276937
ARG,2021,2.078571751964492,3.098153038145202
ARG,2022,2.0822114869833763,2.728625815797165
ARG,2023,2.124193561510496,2.813673526890648
BRA,2001,14.59100754367073,1.613080960020604
BRA,2002,12.34946516097393,1.637171482911422
BRA,2003,11.03371244611174,1.693744794875234
BRA,2004,9.277686577289709,1.6273019992857392
BRA,2005,8.906787766931316,1.5902493614929598
BRA,2006,8.468105639509137,1.5635611659760582
BRA,2007,8.222683124988487,1.455964638465941
BRA,2008,6.986039047562155,1.3502882762591644
BRA,2009,8.67343836283497,1.33228327449023
BRA,2010,6.500684730855555,1.2505558140090487
BRA,2011,6.522765925038908,1.2180538774241665
BRA,2012,5.502978060144663,1.1758378916822856
BRA,2013,4.670531461918117,1.1138848754013575
BRA,2014,4.409441807180034,1.074520950251176
BRA,2015,4.175183752455606,1.0942365393228908
BRA,2016,4.833598900862357,1.1631224191184413
BRA,2017,4.763706759855897,1.1491363342258163
BRA,2018,4.994816483856052,1.1651005734794984
BRA,2019,5.016824724573093,1.128660923335023
BRA,2020,5.704864870331615,1.209380942745151
BRA,2021,4.432229376773716,1.155739757374718
BRA,2022,5.604291608917634,1.1193386744911182
BRA,2023,6.000385720668828,1.0802612839918675
CHL,2001,2.626364978670785,1.0639932434773356
CHL,2002,2.604230977327475,1.046912051309109
CHL,2003,2.407225383831973,1.0569038248346485
CHL,2004,2.217733370245309,0.9649269513235592
CHL,2005,2.292551101991928,0.9383203943477426
CHL,2006,2.477353260282428,0.9096746605427444
CHL,2007,4.202811076758184,0.732528410698329
CHL,2008,7.551130702260941,0.6984036978794724
CHL,2009,7.470692558961224,0.7337990379401866
CHL,2010,3.637786630538288,0.792750800194158
CHL,2011,3.577477006614648,0.7660374638445349
CHL,2012,3.9390000565382337,0.73676265987527
CHL,2013,3.9302907963431735,0.7399191015705515
CHL,2014,4.746607539576886,0.7423715314677894
CHL,2015,4.328101916954956,0.7587003691504652
