country,year,ovi_gas
CAN,2001,3.2537840730634797
CAN,2002,3.1263980342790063
CAN,2003,3.045673341425448
CAN,2004,3.1138222777867006
CAN,2005,3.121928398795726
CAN,2006,3.1405097053089124
CAN,2007,2.919769485384645
CAN,2008,2.954870560857924
CAN,2009,3.047617459917852
CAN,2010,2.986228030428652
CAN,2011,2.719572313946936
CAN,2012,2.750407127741805
CAN,2013,2.5934498900824408
CAN,2014,2.489542746472389
CAN,2015,2.47846550878926
CAN,2016,2.588608556448164
CAN,2017,2.494139720033351
CAN,2018,2.3235164332910023
CAN,2019,2.304638660858887
CAN,2020,2.3718789711922605
CAN,2021,2.3051428017194513
CAN,2022,2.2086054576053145
CAN,2023,2.203116061819948
MEX,2001,10.588675644236623
MEX,2002,9.330915306854628
MEX,2003,8.609634862895197
MEX,2004,7.979891663203912
MEX,2005,7.269830071903773
MEX,2006,6.57438680341538
MEX,2007,6.718100496815986
MEX,2008,6.38719294790599
MEX,2009,5.880263498029332
MEX,2010,5.802292244337309
MEX,2011,5.4119176651566585
MEX,2012,5.2028527616402505
MEX,2013,4.925887209812994
MEX,2014,4.860079492255646
MEX,2015,4.743697557551267
MEX,2016,4.492066091880433
MEX,2017,4.273186331706745
MEX,2018,4.15720156660306
MEX,2019,4.022579739506172
MEX,2020,4.02915240410591
MEX,2021,4.0808728324729024
MEX,2022,4.106188041881145
MEX,2023,3.8123854312886793
USA,2001,6.565238215711137
USA,2002,6.359283409151095
USA,2003,6.54853543107103
USA,2004,6.5221336736441256
USA,2005,6.6255198919502645
USA,2006,6.7228305873785805
USA,2007,6.318251732652917
USA,2008,6.270501311272072
USA,2009,6.384850151268684
USA,2010,6.083774757260984
USA,2011,5.991185333101059
USA,2012,5.730754858623531
USA,2013,5.577560927361842
USA,2014,5.4598904376000235
USA,2015,5.303350864913136
USA,2016,5.264275176980143
USA,2017,5.330277267939598
USA,2018,4.79761462167075
USA,2019,4.633916913510654
USA,2020,4.720876898970358
USA,2021,4.714664794360841
USA,2022,4.479132423474474
USA,2023,4.438639535272937
ARG,2001,3.1578363134596383
ARG,2002,3.243380607382232
ARG,2003,2.83913045070735
ARG,2004,2.5938475821786033
ARG,2005,2.430127004590598
ARG,2006,2.348735191039716
ARG,2007,2.23536272735565
ARG,2008,2.210698738695342
ARG,2009,2.28220355668016
ARG,2010,2.268546460929728
ARG,2011,2.1778677027910023
ARG,2012,2.090855426427181
ARG,2013,2.0743439879179086
ARG,2014,2.068623186932919
ARG,2015,2.0465595664591185
ARG,2016,1.9804446738407104
ARG,2017,1.9767536944509017
ARG,2018,1.9604324887766291
ARG,2019,2.0506761703736225
ARG,2020,2.1733338280814363
ARG,2021,2.078571751964492
ARG,2022,2.0822114869833763
ARG,2023,2.124193561510496
BRA,2001,14.59100754367073
BRA,2002,12.34946516097393
BRA,2003,11.03371244611174
BRA,2004,9.277686577289709
BRA,2005,8.906787766931316
BRA,2006,8.468105639509137
BRA,2007,8.222683124988487
BRA,2008,6.986039047562155
BRA,2009,8.67343836283497
BRA,2010,6.500684730855555
BRA,2011,6.522765925038908
BRA,2012,5.502978060144663
BRA,2013,4.670531461918117
BRA,2014,4.409441807180034
BRA,2015,4.175183752455606
BRA,2016,4.833598900862357
BRA,2017,4.763706759855897
BRA,2018,4.994816483856052
BRA,2019,5.016824724573093
BRA,2020,5.704864870331615
BRA,2021,4.432229376773716
BRA,2022,5.604291608917634
BRA,2023,6.000385720668828
CHL,2001,2.626364978670785
CHL,2002,2.604230977327475
CHL,2003,2.407225383831973
CHL,2004,2.217733370245309
CHL,2005,2.292551101991928
CHL,2006,2.477353260282428
CHL,2007,4.202811076758184
CHL,2008,7.551130702260941
CHL,2009,7.470692558961224
CHL,2010,3.637786630538288
CHL,2011,3.577477006614648
CHL,2012,3.9390000565382337
CHL,2013,3.9302907963431735
CHL,2014,4.746607539576886
CHL,2015,4.328101916954956
CHL,2016,3.5292323268657255
CHL,2017,3.718877813372198
CHL,2018,3.704315393435776
CHL,2019,3.205866687397201
CHL,2020,3.348603341826119
CHL,2021,3.060268724729355
CHL,2022,2.8737922234994873
CHL,2023,2.750018515351453
Colombia,2001,3.8014921964999626
Colombia,2002,3.763666403499964
Colombia,2003,3.926454742751692
Colombia,2004,3.6801464173367298
Colombia,2005,3.502300681034688
Colombia,2006,3.3374865313389384
Colombia,2007,3.15249777609798
Colombia,2008,3.1033238221444654
Colombia,2009,2.6943757704895845
Colombia,2010,2.581667274675454
Colombia,2011,2.651451752609649
Colombia,2012,2.385091912210868
Colombia,2013,2.154861647904756
Colombia,2014,1.9832144530603752
Colombia,2015,2.0136979072584555
Colombia,2016,1.8707443354737847
Colombia,2017,1.9083702300851908
Colombia,2018,1.7735385064747609
Colombia,2019,1.7541319905793555
Colombia,2020,1.7204596447602796
Colombia,2021,1.7880493279766143
Colombia,2022,1.7939588500592216
Colombia,2023,1.7294529836965145
Ecuador,2001,3.5776776963363366
Ecuador,2002,8.986509705243664
Ecuador,2003,5.149608184169944
Ecuador,2004,2.2123486918321733
Ecuador,2005,2.154743553480456
Ecuador,2006,1.9720205600015424
Ecuador,2007,2.176175629039713
Ecuador,2008,2.3857664586196177
Ecuador,2009,2.0242607496997183
Ecuador,2010,1.9227592271249103
Ecuador,2011,2.122133797322267
Ecuador,2012,1.5888516224016702
Ecuador,2013,1.3980562950987012
Ecuador,2014,1.363815490723777
Ecuador,2015,1.4493932559174412
Ecuador,2016,1.3426467235693238
Ecuador,2017,1.370055151461263
Ecuador,2018,1.5329892804551375
Ecuador,2019,1.7191330604295525
Ecuador,2020,2.0156393769172265
Ecuador,2021,1.9075615252081208
Ecuador,2022,2.216726620128187
Ecuador,2023,2.434967598475025
PER,2001,79.68259773955775
PER,2002,66.7026270670506
PER,2003,56.37200987310968
PER,2004,34.282047864693446
PER,2005,19.436675253765785
PER,2006,16.607884216483434
PER,2007,11.019327670408048
PER,2008,8.679589741640447
PER,2009,8.4867822695453
PER,2010,5.231917509404456
PER,2011,4.50937302099714
PER,2012,4.135484269600039
PER,2013,4.233682237365992
PER,2014,3.8184002383895046
PER,2015,3.712740592969084
PER,2016,3.341097870810835
PER,2017,3.7876679010012744
PER,2018,3.535965973945972
PER,2019,3.4558568807696584
PER,2020,3.4733333236472395
PER,2021,3.1736221685086368
PER,2022,2.888002826606197
PER,2023,2.8230701623871375
VEN,2001,1.3946474705029763
VEN,2002,1.4524397809151548
VEN,2003,1.6362116474228745
VEN,2004,1.4529766799716453
VEN,2005,1.5052263975562417
VEN,2006,1.3109650782858326
VEN,2007,1.229281452342563
VEN,2008,1.3126728437025563
VEN,2009,1.3388638031658906
VEN,2010,1.465185964844691
VEN,2011,1.374637282098261
VEN,2012,1.3235467827110252
VEN,2013,1.4180642536802743
VEN,2014,1.34634967098665
VEN,2015,1.2368758897126535
VEN,2016,1.2302163909837196
VEN,2017,1.1866659955725365
VEN,2018,1.448861655751764
VEN,2019,1.7911835016540285
VEN,2020,2.1247397811232793
VEN,2021,1.6326856185426122
VEN,2022,1.5766938747910224
VEN,2023,1.5433455309850963
Austria,2001,8.076578505382228
Austria,2002,8.215004339285963
Austria,2003,7.468534710812092
Austria,2004,7.397340831577495
Austria,2005,7.0258531582973465
Austria,2006,7.476685484242691
Austria,2007,7.902383755390214
Austria,2008,7.381580337155223
Austria,2009,7.579361313111208
Austria,2010,6.963650760989493
Austria,2011,7.403417098009863
Austria,2012,7.761962814541875
Austria,2013,8.162988063231234
Austria,2014,8.91232645745663
Austria,2015,8.401037679962105
Austria,2016,8.024303459840699
