country,year,ovi_gas,lng_capacity_bcm,pipeline_capacity_bcm,total_capacity_bcm,gas_consumption_bcm
ARE,2001,0.2955571060909351,0.0,9.3020688,9.3020688,31.473000000000003
ARE,2002,0.26181622899603146,0.0,9.3020688,9.3020688,35.528999999999996
ARE,2003,0.2518633417269109,0.0,9.3020688,9.3020688,36.93300000000001
ARE,2004,0.23726892277083772,0.0,9.3020688,9.3020688,39.204750000000004
ARE,2005,0.22688664410500325,0.0,9.3020688,9.3020688,40.998749999999994
ARE,2006,0.2200319046267386,0.0,9.3020688,9.3020688,42.275999999999996
ARE,2007,0.1940427906246735,0.0,9.3020688,9.3020688,47.93823450000001
ARE,2008,0.33864675509383474,0.0,19.6320688,19.6320688,57.972115499999994
ARE,2009,0.34090511910732413,0.0,19.6320688,19.6320688,57.58807275
ARE,2010,0.49588752213500475,8.16,21.2320688,29.3920688,59.271644249999994
ARE,2011,0.47686417277264964,8.16,21.2320688,29.3920688,61.63614395500624
ARE,2012,0.45974853728448367,8.16,21.2320688,29.3920688,63.93074999999999
ARE,2013,0.4564750893166842,8.16,21.3333579936,29.4933579936,64.61110076729442
ARE,2014,0.466554664670675,8.16,21.637225574400002,29.797225574400002,63.8665258988094
ARE,2015,0.418141747595988,8.16,21.637225574400002,29.797225574400002,71.26106337315625
ARE,2016,0.48877440054011306,13.328,21.637225574400002,34.9652255744,71.53653206011236
ARE,2017,0.5325457139689287,13.328,21.637225574400002,34.9652255744,65.6567589546689
ARE,2018,0.7439132137419876,13.328,29.905731174400003,43.233731174400006,58.116632929435795
ARE,2019,0.6451060236871048,13.328,29.905731174400003,43.233731174400006,67.0180243044353
ARE,2020,0.6387646904862856,13.328,29.905731174400003,43.233731174400006,67.68334539826641
ARE,2021,0.6618331106978501,13.328,29.905731174400003,43.233731174400006,65.3242191657856
ARE,2022,0.6508882125840092,13.328,29.905731174400003,43.233731174400006,66.42266726994981
ARE,2023,0.645183387920962,13.328,29.905731174400003,43.233731174400006,67.00998814262147
ARE,2024,0.6059876990464603,13.328,29.905731174400003,43.233731174400006,71.3442389052279
ARG,2004,0.04564085671691461,0.0,1.68,1.68,36.80912500000001
ARG,2005,0.04276006006770343,0.0,1.68,1.68,39.289
ARG,2006,0.05680408098891772,0.0,2.30911429424,2.30911429424,40.65050000000001
ARG,2007,0.05645538498883222,0.0,2.41133369472,2.41133369472,42.71220000000001
ARG,2008,0.055832481619218895,0.0,2.41133369472,2.41133369472,43.18872500000001
ARG,2009,0.06383201513930395,0.0,2.67044798896,2.67044798896,41.83555827169394
ARG,2010,0.12415625967686454,0.0,5.22541621936,5.22541621936,42.08741655845574
ARG,2011,0.31479344896487255,8.296,5.50447828336,13.80047828336,43.83978868918578
ARG,2012,0.30221651670046096,8.296,5.50447828336,13.80047828336,45.66420933584584
ARG,2013,0.29982991963166555,8.296,5.50447828336,13.80047828336,46.027688965509455
ARG,2014,0.2990030233649187,8.296,5.50447828336,13.80047828336,46.15497906359691
ARG,2015,0.2958139025672234,8.296,5.50447828336,13.80047828336,46.6525682653602
ARG,2016,0.36196793681001355,8.296,9.15447828336,17.45047828336,48.210011188143575
ARG,2017,0.3612933326606603,8.296,9.15447828336,17.45047828336,48.300028552561514
ARG,2018,0.358310288891651,8.296,9.15447828336,17.45047828336,48.7021412009657
ARG,2019,0.4626499081362447,8.296,13.24447828336,21.54047828336,46.55891615786638
ARG,2020,0.4903225143188132,8.296,13.24447828336,21.54047828336,43.93124454683747
ARG,2021,0.46894338754897497,8.296,13.24447828336,21.54047828336,45.93406977320984
ARG,2022,0.4697645425886906,8.296,13.24447828336,21.54047828336,45.85377637200705
ARG,2023,0.8367640201702874,8.296,29.31447828336,37.610478283359996,44.94753284887416
ARG,2024,0.9637174509568397,8.296,35.67125988336,43.96725988336,45.62256275395503
AUS,2000,0.17222866474484685,0.0,3.540173899601018,3.540173899601018,20.555079520855084
AUS,2001,0.15968798508132198,0.0,3.540173899601018,3.540173899601018,22.169319111880363
AUS,2002,0.20768369489292074,0.0,4.738265502654453,4.738265502654453,22.814817047132404
AUS,2003,0.20606270731318924,0.0,4.738265502654453,4.738265502654453,22.99428928424632
AUS,2004,0.4368528265347036,0.0,10.245771863977609,10.245771863977609,23.4536009421097
AUS,2005,0.6629800534649049,0.0,15.420241326642241,15.420241326642241,23.258982296755505
AUS,2006,0.6402001693510218,0.0,16.608753382048246,16.608753382048246,25.94306308741644
AUS,2007,0.9904786902819889,0.0,28.743508844288243,28.743508844288243,29.01981549558121
