year,country,node_dli_us,import_share_from_us
2001,AIA,1.843271479613935,0.5177710083217683
2001,ALB,0.0002447478989239126,0.00015901273546333817
2001,AND,0.0,0.0
2001,ARE,1.8624530076277146,0.03508861709473821
2001,ARG,2.1158216350507484,0.04688795224052548
2001,ARM,0.07515179049929901,0.041690675430277
2001,AUS,2.1704809645877488,0.004725422764699534
2001,AUT,1.6951797793336383,0.00037911434086941944
2001,AZE,2.0572166195238277,0.0038306732189185466
2001,BDI,0.0005436377740808865,0.00036077971663534523
2001,BEL,2.305764667636422,0.010567729083532965
2001,BEN,0.014105236408007217,0.00832592337217802
2001,BFA,0.0007542166640639815,0.0004632093524747541
2001,BGD,2.0196423926215132,0.00039862572928997466
2001,BGR,2.2435207518892306,0.05697467588900013
2001,BHR,2.0889618823714615,0.10242043745833915
2001,BHS,2.2332297880076264,0.4581376576656123
2001,BLR,1.9883862520291558,3.687177526813286e-05
2001,BLZ,2.1868722551044435,0.04679968244402556
2001,BOL,1.919518574019476,0.03974486463808028
2001,BRA,2.192724012578526,0.04501297293923109
2001,BRB,1.52916990506744,0.03308161363803804
2001,BRN,1.9554695796098907,0.12597519487651052
2001,BWA,6.487772392440262e-05,4.414738295773401e-05
2001,CAF,0.007855649569019612,0.005222532334186527
2001,CAN,2.870222020803089,0.18191047838334318
2001,CHE,1.8537475737537707,0.00020239438471186518
2001,CHL,1.9634529936117069,0.02554275438267609
2001,CHN,2.050076462752117,0.00508996382608637
2001,CIV,2.0653556722140745,0.011055823893576214
2001,CMR,2.1612605226738135,0.0005872901832613168
2001,COK,0.007459697573070538,0.004793114624999919
2001,COL,2.3760200817725647,0.17872570424615208
2001,COM,0.0,0.0
2001,CPV,0.028307101971566325,0.01577928166362633
2001,CRI,1.841748382976472,0.128150459362757
2001,CUB,0.0,0.0
2001,CYP,1.4975642036751282,0.0006597649160289167
2001,CZE,1.651549904802288,0.00015731934074844205
2001,DEU,2.170939214432035,0.0018846317362420215
2001,DMA,0.10123017480055971,0.05189799868308159
2001,DNK,2.2760558942124445,0.0017863332661418173
2001,DOM,1.8015388170620092,0.2228648529024192
2001,DZA,2.470443455431997,0.11653812287514462
2001,ECU,2.3820914848279613,0.07402428384987704
2001,EGY,2.050627606661551,0.00026709425742923207
2001,ESP,2.1144594973903237,0.006898421352004364
2001,EST,2.0386186579414995,0.0003979412153849395
2001,ETH,8.637979040199255e-05,5.614379858760891e-05
2001,FIN,2.3444797938577,0.015995536172890814
2001,FJI,0.0004977401485208066,0.0003345042187060584
2001,FRA,2.2958829162576273,0.007128084719972605
2001,FRO,0.0006034524351613122,0.00037541217263297854
2001,GAB,2.2745737713423324,0.032462312988919106
2001,GBR,2.326069783499785,0.013586986700014068
2001,GEO,2.1519346859720945,0.00023106813981060338
2001,GHA,2.212021505647684,0.0012457033686327943
2001,GIN,1.6643283940776945,0.04548582487746103
2001,GMB,0.07003321077771833,0.03971947864516452
2001,GRC,2.2448221611467356,0.0012808491630767849
2001,GRD,0.16696286643353367,0.08079230632195535
2001,GRL,0.0,0.0
2001,GTM,2.3470236839392213,0.633699834486849
2001,GUY,1.6143014890995995,0.15750455583648898
2001,HKG,1.5330753727799205,0.004528554236651822
2001,HND,1.9906525434440057,0.5014930907197693
2001,HRV,2.1546050972193393,0.0004558353763695641
2001,HUN,0.00048031727927490107,0.00027250516235521606
2001,IDN,2.1361854569809546,0.0016714226991551818
2001,IND,1.807847579725917,0.0005200014517825475
2001,IRL,2.0482918606541745,0.013927704336744093
2001,IRN,0.0004946454210700132,0.0002899161454140888
2001,ISL,0.001110375157461187,0.0006233146134057754
2001,ISR,2.1118396837073576,0.03475442108651971
2001,ITA,2.2836902778731094,0.01584613134490965
2001,JAM,1.902656338333744,0.29701319652572256
2001,JOR,0.0015334344146793674,0.0008467101482928771
2001,JPN,1.9011719903579807,0.008329433005125932
2001,KAZ,2.043972894501781,0.0017363400881847608
2001,KEN,9.203282993154851e-05,5.8169635310835805e-05
2001,KGZ,1.7247868997256923,0.000757599568358137
2001,KHM,4.0809187805845674e-07,2.8055243599520257e-07
2001,KNA,0.10905561635198918,0.05325883516306793
2001,KOR,2.0641625315459082,0.0051606647049903314
2001,KWT,2.085214473660152,0.11135640763332494
2001,LBN,1.526259599695028,0.0031914602474661965
2001,LCA,2.2297178370810995,0.4170771296095359
2001,LKA,0.0001827379130473176,0.00011692535614958226
2001,LSO,0.0,0.0
2001,LTU,1.801622005859805,2.1638440798446184e-05
2001,LUX,1.469057458160429,3.760867294311796e-05
2001,LVA,2.2791396298492557,0.00031378859731916815
2001,MAC,0.022442890976647256,0.014235968941887087
2001,MAR,2.2174180520572717,0.007273661070928013
2001,MDA,0.0005651321601527956,0.00032644857539041545
2001,MDG,1.497433606504252,0.0005223193563471702
2001,MDV,0.008595210083468391,0.005252281008446716
2001,MEX,2.6563054277876295,0.7698531974072038
2001,MKD,1.8637988539292851,3.713926543291012e-05
2001,MLI,0.00012179908009200175,7.78381957804275e-05
2001,MLT,2.0652048823741116,0.0009184629625619338
2001,MMR,0.0015985222567617833,0.0008991051865711908
2001,MNG,1.6459454642537479,0.0006615888810549994
2001,MOZ,0.0003163937582798331,0.00020905102665497228
2001,MRT,0.003926859811731809,0.0024833948667881186
2001,MSR,1.9416315856590618,0.6294155359527738
2001,MUS,0.0012635149891120176,0.0008000788541780491
2001,MWI,0.00017319110590882425,0.00011484274501593939
2001,MYS,2.3005459488244213,0.004214735069182213
2001,MYT,0.00012287330039544115,8.442414371219331e-05
