product_code,product_name,记录数,总贸易额(美元),开始年,结束年,总贸易额(十亿美元)
2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",55909,4250025787457.8,2001,2024,4250.0257874578
2709,Petroleum oils and oils obtained from bituminous minerals; crude,43966,25958404585067.91,2001,2024,25958.40458506791
2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",173333,16043618591600.85,2012,2024,16043.618591600849
2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",116624,8111667708512.65,2002,2024,8111.66770851265
2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",18486,451271126390.45,2001,2014,451.27112639045004
2711,Petroleum gases and other gaseous hydrocarbons,95116,10286093836151.44,2001,2024,10286.09383615144
