method,initial_year,final_year,initial_retention_rate,final_retention_rate,change,change_percent
Original,2001,2024,1.0,1.0,0.0,0.0
disparity_filter,2001,2024,0.13457316285677387,0.12349066959385291,-0.011082493262920962,-8.235292258617754
minimum_spanning_tree,2001,2024,0.031124886994704896,0.027442371020856202,-0.0036825159738486934,-11.831419579049971
