product_code,product_name,记录数,总贸易额(美元),开始年,结束年,总贸易额(十亿美元)
2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",57961,4679424810918.53,2001,2024,4679.42481091853
2709,Petroleum oils and oils obtained from bituminous minerals; crude,46018,29648564732164.81,2001,2024,29648.56473216481
2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",181132,17682438012971.08,2012,2024,17682.438012971077
2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",122573,9185517297112.82,2002,2024,9185.51729711282
2710,"Petroleum oils, oils from bituminous minerals, not crude; preparations n.e.s. containing less than 70% petroleum oils, oils from bituminous minerals; these being the basic constituents of the preparations",19935,555754769159.18,2001,2014,555.75476915918
2711,Petroleum gases and other gaseous hydrocarbons,99788,11883752222943.36,2001,2024,11883.75222294336
