year,country,hhi_imports,us_import_share
2001,AIA,0.4999313621105378,0.5177710083217683
2001,ALB,0.4345273148189789,0.0001590127354633
2001,ARE,0.2088579054840624,0.0350886170947382
2001,ARG,0.1249760072968724,0.0468879522405254
2001,ARM,0.357259266307022,0.041690675430277
2001,AUS,0.1190574382214996,0.0047254227646995
2001,AUT,0.1044671512210276,0.0003791143408694
2001,AZE,0.5493906117977563,0.0038306732189185
2001,BDI,0.7217237031689415,0.0003607797166353
2001,BEL,0.3762687222540256,0.0105677290835329
2001,BEN,0.2182165152469237,0.008325923372178
2001,BFA,0.1584558201778184,0.0004632093524747
2001,BGD,0.4305825773640366,0.0003986257292899
2001,BGR,0.1841743941500112,0.0569746758890001
2001,BHR,0.2775741407657586,0.1024204374583391
2001,BHS,0.4185934847449989,0.4581376576656123
2001,BLR,0.9891936928684364,3.687177526813286e-05
2001,BLZ,0.6246477002057467,0.0467996824440255
2001,BOL,0.484400763195869,0.0397448646380802
2001,BRA,0.0997967137406955,0.045012972939231
2001,BRB,0.8123622261241007,0.033081613638038
2001,BRN,0.3492137801975072,0.1259751948765105
2001,BWA,0.9997249982399832,4.414738295773401e-05
2001,CAF,0.4396009392797728,0.0052225323341865
2001,CAN,0.1584269749511391,0.1819104783833431
2001,CHE,0.1528376333030625,0.0002023943847118
2001,CHL,0.5115016444762909,0.025542754382676
2001,CHN,0.0669495692500758,0.0050899638260863
2001,CIV,0.5282707717567113,0.0110558238935762
2001,CMR,0.6659513621850806,0.0005872901832613
2001,COK,0.7429687162113892,0.0047931146249999
2001,COL,0.1636082831282302,0.178725704246152
2001,CPV,0.5413081058286945,0.0157792816636263
2001,CRI,0.2884573336560759,0.128150459362757
2001,CYP,0.2064494038011385,0.0006597649160289
2001,CZE,0.2961357541542864,0.0001573193407484
2001,DEU,0.1136821131249517,0.001884631736242
2001,DMA,0.8942302082247753,0.0518979986830815
2001,DNK,0.2125873288008499,0.0017863332661418
2001,DOM,0.3901125059669854,0.2228648529024192
2001,DZA,0.2307173357358787,0.1165381228751446
2001,ECU,0.235409285404804,0.074024283849877
2001,EGY,0.474820582815161,0.0002670942574292
2001,ESP,0.0777320337293631,0.0068984213520043
2001,EST,0.4537717983658429,0.0003979412153849
2001,ETH,0.4622004531841335,5.614379858760891e-05
2001,FIN,0.3195082116893861,0.0159955361728908
2001,FJI,0.8155964125621601,0.000334504218706
2001,FRA,0.09022311085051,0.0071280847199726
2001,FRO,0.7436305266108755,0.0003754121726329
2001,GAB,0.0910757559435537,0.0324623129889191
2001,GBR,0.1858912076231774,0.013586986700014
2001,GEO,0.3453654626001149,0.0002310681398106
2001,GHA,0.2312172736684882,0.0012457033686327
2001,GIN,0.4064035990375866,0.045485824877461
2001,GMB,0.599623282114848,0.0397194786451645
2001,GRC,0.2116771873185947,0.0012808491630767
2001,GRD,0.8459148569517827,0.0807923063219553
2001,GTM,0.4263888495922666,0.633699834486849
2001,GUY,0.3294822095228727,0.1575045558364889
2001,HKG,0.2576662045095056,0.0045285542366518
2001,HND,0.301388249711341,0.5014930907197693
2001,HRV,0.3626211582320442,0.0004558353763695
2001,HUN,0.47460005201824,0.0002725051623552
2001,IDN,0.1203059189308226,0.0016714226991551
2001,IND,0.3024219567661635,0.0005200014517825
2001,IRL,0.4262464711133494,0.013927704336744
2001,IRN,0.2442150859899235,0.000289916145414
2001,ISL,0.179259974888129,0.0006233146134057
2001,ISR,0.2409409418690649,0.0347544210865197
2001,ITA,0.1058034716172149,0.0158461313449096
2001,JAM,0.2872063887907668,0.2970131965257225
2001,JOR,0.9026325397249408,0.0008467101482928
2001,JPN,0.1047122817719909,0.0083294330051259
2001,KAZ,0.6115623795795757,0.0017363400881847
2001,KEN,0.3774979818296078,5.816963531083581e-05
2001,KGZ,0.3665728902408108,0.0007575995683581
2001,KHM,0.3541975855958791,2.8055243599520257e-07
2001,KNA,0.8965642014042465,0.0532588351630679
2001,KOR,0.1047584491432959,0.0051606647049903
2001,KWT,0.2067002513758193,0.1113564076333249
2001,LBN,0.1550390713865522,0.0031914602474661
2001,LCA,0.5075990573341723,0.4170771296095359
2001,LKA,0.278505316194494,0.0001169253561495
2001,LTU,0.9199371906974138,2.1638440798446184e-05
2001,LUX,0.6564106904969956,3.760867294311796e-05
2001,LVA,0.3576524019919905,0.0003137885973191
2001,MAC,0.3858826864694593,0.014235968941887
2001,MAR,0.1468564596704391,0.007273661070928
2001,MDA,0.2891908620088775,0.0003264485753904
2001,MDG,0.2561194480430562,0.0005223193563471
2001,MDV,0.3075066145374813,0.0052522810084467
2001,MEX,0.5967768276274992,0.7698531974072038
2001,MKD,0.5008750066894684,3.713926543291011e-05
2001,MLI,0.452590174950588,7.78381957804275e-05
2001,MLT,0.3788354344163998,0.0009184629625619
2001,MMR,0.3238465169537877,0.0008991051865711
2001,MNG,0.8558317645300262,0.0006615888810549
2001,MOZ,0.874886586616794,0.0002090510266549
2001,MRT,0.4370240919126524,0.0024833948667881
2001,MSR,0.5145837177914294,0.6294155359527738
2001,MUS,0.2160754587250977,0.000800078854178
2001,MWI,0.4555676208787234,0.0001148427450159
2001,MYS,0.2661148050415054,0.0042147350691822
2001,MYT,0.4176151216983707,8.442414371219331e-05
2001,NCL,0.486629675456752,0.0004781773813642
2001,NER,0.160496199596984,0.0006103661666869
2001,NGA,0.141141937996638,0.2776500512550334
2001,NIC,0.3827927794375927,0.0554065531048355
2001,NLD,0.0990899992618946,0.0089522621713928
2001,NOR,0.1717306157365467,0.0115577107331829
