country,year,P_it,g_it
ABW,2009,3.5718789407313998,
ABW,2010,1.1747161498051177,1.7193718129705413
ABW,2011,1.6427574711275152,0.39381281758871367
ABW,2012,7.9542071197411,-3.5256702045420916
ABW,2013,0.7107437624406633,7.267082689075201
ABW,2014,3.346561538964863,-5.6685126804391555
ABW,2015,2.5158014789742835,0.5757771002591436
ABW,2016,3.796340318684696,-0.41073965412102176
ABW,2017,2.586736645179488,0.29074030162328235
ABW,2018,6.025508076508494,-0.6401533658461496
ABW,2019,3.9549010235062605,0.5205900654310174
ABW,2020,2.750166725845866,0.5810682676492469
ABW,2021,4.067917402175626,-2.332071876133357
ABW,2022,4.723274844638517,-0.23493959123788066
ABW,2023,4.211274705963488,0.693280010275851
AFG,2008,0.5884155464057534,
AFG,2009,0.3500731942794638,0.4353206762216857
AFG,2010,0.3889411222303278,0.46997338563359037
AFG,2011,0.4000416717396167,0.6539290347022302
AFG,2015,0.47067763919945477,1.2409378107247981
AFG,2016,0.39999999838052064,0.04253955320194791
AFG,2017,0.385992099799525,-0.16673000243585534
AFG,2018,0.34768855865520565,-0.02089616952945761
AFG,2019,0.34874704870306467,0.10604495224467314
AGO,2004,0.5309401642994463,
AGO,2005,0.7444827879476793,-0.2746777439863699
AGO,2006,1.069464784437111,-1.4237862293450139
AGO,2007,0.8812876743488736,1.1513095968585407
AGO,2008,1.302872538351745,-1.3752772827160964
AGO,2009,4.879361094855877,-0.3755646600929712
AGO,2010,3.1911102610128594,-2.2655013116419145
AGO,2011,2.1967877250767227,1.447798793673737
AGO,2012,3.1991673513841152,0.359301720462085
AGO,2013,1.2353570609453017,2.313577872833404
AGO,2014,0.06208748063049449,4.297831980405501
AGO,2015,0.04845827124278551,0.5785458864572242
AGO,2016,0.5881191085351122,-3.4825920788196782
AGO,2017,0.9973093552532252,-3.7029729798207462
AGO,2018,7.7675064492508445,-2.5984135801271204
AGO,2019,4.298657366134813,0.6068877324127371
AGO,2020,2.6373395329654077,-0.16857988364607834
AGO,2021,3.5374438262762022,0.7354021491649387
AGO,2022,0.8967492080131659,3.8925783211817624
AGO,2023,4.6966868085598845,-4.69618862850983
AIA,2002,0.26177145926211254,
AIA,2006,0.9424971232304199,-0.5560810657895683
AIA,2007,1.3226200384710391,-0.2238767916155382
AIA,2008,0.3541333349074673,1.5487445031648974
ALB,2001,0.3535848684861462,
ALB,2002,0.3256200775574458,0.25234667388667376
ALB,2003,0.36463860743419607,0.19171976237566568
ALB,2004,0.43637544791141475,0.11185516865440448
ALB,2005,0.5240154072091473,0.3063149695447862
ALB,2006,0.5952423112831134,0.09035908360221612
ALB,2007,0.6627311428012748,0.08077124603330788
ALB,2008,0.8484737449856944,0.09943285676451552
ALB,2009,0.4922411015125567,0.09281887411093237
ALB,2010,0.7910098673634437,-0.1982321931625428
ALB,2011,0.966037321351523,-0.0162632136976697
ALB,2012,0.9809086242250744,-0.05922067613643378
ALB,2013,0.9095937846845267,0.02212190259785629
ALB,2014,0.8258862689587239,-0.9268152494094473
ALB,2015,0.4815704863291083,0.9049145412203394
ALB,2016,0.41216482183571956,-0.046537461495809396
ALB,2017,0.5147616225024789,0.3851804761695483
ALB,2018,0.6110823493748592,-1.5228138406878635
ALB,2019,0.46737335015332593,1.2704786016445233
ALB,2020,0.4083507495112322,0.31248898032403005
ALB,2021,0.7291087164806566,-0.7121980666716361
ALB,2023,0.649048261875325,1.3407342546631007
ALB,2024,0.6399812377655256,-0.14695274804456915
AND,2001,0.4045158175820948,
AND,2002,0.38400355831016275,0.14081986059093943
AND,2003,0.5452284992660763,-0.1018749176277911
AND,2004,0.5812076633066254,0.08464754826940002
AND,2006,0.7083323357888138,-0.118895942726299
AND,2007,0.8351394095280378,-0.009885860341089625
AND,2008,0.938097131098714,-0.01493680808790998
AND,2009,0.7461554069263416,-0.08667690559402885
AND,2010,0.881467679095149,0.03500720364634269
AND,2011,0.9831010584294754,-0.04406438431720616
AND,2012,1.116607662574226,-0.10352816132608034
AND,2013,1.0853470376698051,-0.03400659681457441
AND,2014,0.9883905087028805,-0.051113838876649
AND,2015,0.6156008581282915,-0.0026067351975989084
AND,2016,0.49748976286195784,0.22998457448811394
AND,2017,0.574155273910481,0.28093963628957397
AND,2018,0.6193905681006867,0.09415979639029182
AND,2019,0.600597476569498,0.09559782460147126
AND,2020,0.5430020930541352,-0.11551921067509063
AND,2021,0.6434947018724053,0.19276385383260397
AND,2022,1.3026211680143085,0.024791505344357034
AND,2023,0.9391048537823353,0.06732171706173062
ARE,2001,0.5040835193991515,
ARE,2002,0.9487321740395809,-2.0717759492123147
ARE,2003,0.30472751503519735,5.41604661971432
ARE,2004,0.3599116825805487,-1.3263479616734521
ARE,2005,0.3851464950633484,-2.0183168756235013
ARE,2006,2.4840390951670335,-1.8634730181766326
ARE,2007,0.6824727024013251,3.054636452641553
ARE,2008,3.166804162707505,1.1695236172497356
ARE,2009,0.9889731234024333,-0.41984375832102927
ARE,2010,0.6105101955679805,0.7848986339340698
ARE,2011,0.5677868570642226,0.7211230661913604
ARE,2012,1.0969294493206465,-0.6105227172272834
ARE,2013,0.5710235296465098,-0.16294845199649544
ARE,2014,0.8337528139049719,-0.6801029732838444
ARE,2015,3.3542776185929406,0.07820347677492023
ARE,2016,1.7030250626469832,0.7512962732520556
ARE,2017,1.041179827652713,0.372664249219369
ARE,2018,0.7209057669703175,0.9546996239406056
ARE,2019,0.4513014796199702,4.580021786219092
ARE,2020,0.40519441854091,-0.10419809560264426
ARE,2021,0.7146295098376936,-5.237030628280813
