typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,112,BLR,Belarus,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,176961,FALSE,-1,N/A,,FALSE,176961,FALSE,,FALSE,38200,,38200,0,FALSE,FALSE
C,A,20010101,2001,52,2001,116,KHM,Cambodia,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15180554,FALSE,-1,N/A,,FALSE,15180554,FALSE,,FALSE,5069855,,5069855,0,FALSE,FALSE
C,A,20010101,2001,52,2001,120,CMR,Cameroon,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1869,FALSE,-1,N/A,,FALSE,1869,FALSE,,FALSE,3830,,3830,0,FALSE,FALSE
C,A,20010101,2001,52,2001,124,CAN,Canada,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23535203,FALSE,-1,N/A,,FALSE,23535203,FALSE,,FALSE,,9689584,9689584,0,FALSE,FALSE
C,A,20010101,2001,52,2001,156,CHN,China,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1218928,TRUE,-1,N/A,,FALSE,1218928,TRUE,,FALSE,321081,,321081,6,FALSE,FALSE
C,A,20010101,2001,52,2001,174,COM,Comoros,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15424,FALSE,-1,N/A,,FALSE,15424,FALSE,,FALSE,18246,,18246,0,TRUE,FALSE
C,A,20010101,2001,52,2001,188,CRI,Costa Rica,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,77394826,FALSE,-1,N/A,,FALSE,77394826,FALSE,,FALSE,22567075,,22567075,0,FALSE,FALSE
C,A,20010101,2001,52,2001,191,HRV,Croatia,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10,FALSE,-1,N/A,,FALSE,10,FALSE,,FALSE,150,,150,0,FALSE,FALSE
C,A,20010101,2001,52,2001,196,CYP,Cyprus,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3,FALSE,-1,N/A,,FALSE,3,FALSE,,FALSE,14,,14,0,FALSE,FALSE
C,A,20010101,2001,52,2001,208,DNK,Denmark,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,-1,N/A,,FALSE,1,FALSE,,FALSE,23,,23,0,FALSE,FALSE
C,A,20010101,2001,52,2001,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4727,FALSE,-1,N/A,,FALSE,4727,FALSE,,FALSE,4979,,4979,0,FALSE,FALSE
C,A,20010101,2001,52,2001,234,FRO,Faroe Isds,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,40,FALSE,-1,N/A,,FALSE,40,FALSE,,FALSE,285,,285,0,FALSE,FALSE
C,A,20010101,2001,52,2001,251,FRA,France,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4998160883,TRUE,-1,N/A,,FALSE,4998160883,TRUE,,FALSE,1330364602,,1330364602,6,FALSE,FALSE
C,A,20010101,2001,52,2001,266,GAB,Gabon,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1032,FALSE,-1,N/A,,FALSE,1032,FALSE,,FALSE,2414,,2414,0,FALSE,FALSE
C,A,20010101,2001,52,2001,288,GHA,Ghana,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31556023,FALSE,-1,N/A,,FALSE,31556023,FALSE,,FALSE,9056987,,9056987,0,TRUE,FALSE
C,A,20010101,2001,52,2001,308,GRD,Grenada,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10,FALSE,-1,N/A,,FALSE,10,FALSE,,FALSE,14,,14,0,FALSE,FALSE
C,A,20010101,2001,52,2001,320,GTM,Guatemala,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20240,FALSE,-1,N/A,,FALSE,20240,FALSE,,FALSE,9816,,9816,0,FALSE,FALSE
C,A,20010101,2001,52,2001,324,GIN,Guinea,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,136,FALSE,-1,N/A,,FALSE,136,FALSE,,FALSE,1175,,1175,0,FALSE,FALSE
C,A,20010101,2001,52,2001,360,IDN,Indonesia,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,210,FALSE,-1,N/A,,FALSE,210,FALSE,,FALSE,76,,76,0,FALSE,FALSE
C,A,20010101,2001,52,2001,372,IRL,Ireland,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,209427,FALSE,18,TJ,246458,FALSE,209427,FALSE,0,FALSE,344337.488,0,344337.488,0,FALSE,TRUE
C,A,20010101,2001,52,2001,376,ISR,Israel,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,34853557,TRUE,-1,N/A,,FALSE,34853557,TRUE,,FALSE,9277000,,9277000,6,FALSE,FALSE
C,A,20010101,2001,52,2001,384,CIV,C_e d'Ivoire,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4,FALSE,-1,N/A,,FALSE,4,FALSE,,FALSE,9,,9,0,FALSE,FALSE
C,A,20010101,2001,52,2001,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,55149302000,FALSE,-1,N/A,,FALSE,55149302000,FALSE,,FALSE,13125923023,,13125923023,0,FALSE,FALSE
C,A,20010101,2001,52,2001,400,JOR,Jordan,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,138093000,FALSE,-1,N/A,,FALSE,138093000,FALSE,,FALSE,40122306,,40122306,0,FALSE,FALSE
C,A,20010101,2001,52,2001,404,KEN,Kenya,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5400811,FALSE,-1,N/A,,FALSE,5400811,FALSE,,FALSE,1900066,,1900066,0,FALSE,FALSE
C,A,20010101,2001,52,2001,410,KOR,Rep. of Korea,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15317685820,FALSE,-1,N/A,,FALSE,15317685820,FALSE,,FALSE,3989796088,,3989796088,0,FALSE,FALSE
C,A,20010101,2001,52,2001,422,LBN,Lebanon,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,387,FALSE,-1,N/A,,FALSE,387,FALSE,,FALSE,1211,,1211,0,FALSE,FALSE
C,A,20010101,2001,52,2001,426,LSO,Lesotho,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,222,FALSE,,FALSE,222,FALSE,1327363.495,,1327363.495,0,FALSE,TRUE
C,A,20010101,2001,52,2001,440,LTU,Lithuania,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.28,FALSE,8,kg,2.28,FALSE,2.28,FALSE,0,FALSE,18,0,18,0,FALSE,TRUE
C,A,20010101,2001,52,2001,442,LUX,Luxembourg,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1330,FALSE,-1,N/A,,FALSE,1330,FALSE,,FALSE,2894,,2894,0,FALSE,FALSE
C,A,20010101,2001,52,2001,454,MWI,Malawi,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,260000,FALSE,8,kg,260000,FALSE,260000,FALSE,0,FALSE,119016.779,,119016.779,0,FALSE,TRUE
