TerminalID,ProjectID,Wiki,TerminalName,UnitName,FacilityType,Status,Country,Owner,Parent,Capacity,CapacityUnits,CapacityInMtpa,CapacityInBcm/y,StartYear1,StartMonth1,StartYear2,StartYear3,StopYear,ShelvedYear,CancelledYear,Location,Region,LastUpdated,问题类型,优先级
T0905,0,https://www.gem.wiki/Rakhine_LNG_Terminal,Rakhine LNG Terminal,,Import,Shelved,Myanmar,CNTIC VPower [100.00%],CNTIC [unknown %]; VPower Group [unknown %],,,--,--,2022.0,,,,,2023.0,,Kyaukpyu,Asia,2024/7/12,CapacityInBcm/y缺失(--),HIGH
T0971,0,https://www.gem.wiki/SK_Group_Sri_Lanka_LNG_Terminal,SK Group Sri Lanka LNG Terminal,,Import,Shelved,Sri Lanka,SK Group [100.00%],SK Group [100.00%],,,--,--,,,,,,2022.0,,unknown,Asia,2024/7/10,CapacityInBcm/y缺失(--),HIGH
T0691,0,https://www.gem.wiki/Sudan_Red_Sea_LNG_Terminal,Sudan Red Sea LNG Terminal,,Import,Shelved,Sudan,Sunagas [100.00%],Sunagas [100.00%],,,--,--,2018.0,,,,,2024.0,,Sudan Port,Africa,2024/6/12,CapacityInBcm/y缺失(--),HIGH
T0893,0,https://www.gem.wiki/Chana_LNG_Terminal,Chana LNG Terminal,,Import,Shelved,Thailand,KOGAS [unknown %]; Korea Western Power [unknown %]; Thai Petrochemical Industry Polene Power [unknown %],KEPCO [unknown %]; KOGAS [unknown %]; Thai Petrochemical Industry Polene Power [unknown %],,,--,--,,,,,,2023.0,,,Asia,2024/7/15,CapacityInBcm/y缺失(--),HIGH
T0633,0,https://www.gem.wiki/Neptune_LNG,Neptune LNG Terminal,,Import,Retired,United States,Höegh Evi [unknown %]; Mitsui O.S.K. Lines [unknown %],Mitsui Group [unknown %]; Morgan Stanley [unknown %],,,--,--,2010.0,,,,,,,Boston,Americas,2024/7/8,CapacityInBcm/y缺失(--),HIGH
T1075,0,https://www.gem.wiki/Ben_Tre_FSRU,Ben Tre FSRU,,Import,Shelved,Vietnam,unknown [unknown %],unknown [unknown %],,,--,--,,,,,,2023.0,,,Asia,2024/7/16,CapacityInBcm/y缺失(--),HIGH
T0903,0,https://www.gem.wiki/Quang_Nam_LNG_Terminal,Quang Nam LNG Terminal,,Import,Shelved,Vietnam,Energy Capital Vietnam [100.00%],Energy Capital Vietnam [100.00%],,,--,--,,,,,,2023.0,,Quang Nam,Asia,2024/7/16,CapacityInBcm/y缺失(--),HIGH
T1076,0,https://www.gem.wiki/Tien_Lang_FSRU,Tien Lang FSRU,,Import,Shelved,Vietnam,ExxonMobil [50.00%]; Chubu Electric Power [25.00%]; Tokyo Electric Power Company [25.00%],ExxonMobil [50.00%]; Chubu Electric Power [25.00%]; Tokyo Electric Power Company [25.00%],,,--,--,2026.0,,,,,2023.0,,Tien Lang 1 Industrial Park,Asia,2024/7/16,CapacityInBcm/y缺失(--),HIGH
T0823,0,https://www.gem.wiki/New_Fortress_Angola_LNG_Terminal,New Fortress Angola LNG Terminal,,Import,Cancelled,Angola,New Fortress Energy [100.00%],New Fortress Energy [100.00%],,,--,--,,,,,,,2023.0,,Africa,2024/6/20,CapacityInBcm/y缺失(--),LOW
T0695,0,https://www.gem.wiki/Longford_LNG_Terminal,Longford LNG Terminal,,Import,Cancelled,Australia,ExxonMobil [100.00%],ExxonMobil [100.00%],,,--,--,2022.0,,,,,,2019.0,Longford,Oceania,2024/5/23,CapacityInBcm/y缺失(--),LOW
T1142,0,https://www.gem.wiki/ACWA_LNG_Terminal,ACWA LNG Terminal,,Import,Cancelled,Bangladesh,ACWA Power [100.00%],ACWA Power [100.00%],,,--,--,,,,,,2021.0,2023.0,Maheshkhali Upazila,Asia,2024/6/6,CapacityInBcm/y缺失(--),LOW
T1144,0,https://www.gem.wiki/Matarbari_GE_LNG_Terminal,Matarbari GE LNG Terminal,GE Terminal,Import,Cancelled,Bangladesh,PBDB [51.00%]; GE [30.00%],PBDB [51.00%]; GE [30.00%],,,--,--,2021.0,,,,,2020.0,2022.0,Maheshkhali Upazila,Asia,2024/6/10,CapacityInBcm/y缺失(--),LOW
T1143,0,https://www.gem.wiki/Pertamina_Bangladesh_FSRU,Pertamina Bangladesh FSRU,,Import,Cancelled,Bangladesh,Pertamina [100.00%],Pertamina [100.00%],,,--,--,2023.0,,,,,2020.0,2022.0,Maheshkhali Upazila,Asia,2024/6/6,CapacityInBcm/y缺失(--),LOW
T0246,0,https://www.gem.wiki/Cotonou_FSRU,Cotonou FSRU,,Import,Cancelled,Benin,Gasol [unknown %]; SOCAR Trading [unknown %],Gasol [unknown %]; SOCAR [unknown %],,,--,--,,,,,,2017.0,2019.0,Contonou,Africa,2024/6/25,CapacityInBcm/y缺失(--),LOW
T0941,0,https://www.gem.wiki/Caofeidian_LNG_Terminal_(Beijing_Energy),Caofeidian LNG Terminal (Beijing Energy),,Import,Cancelled,China,Tangshan Jingcao Natural Gas Co Ltd [100.00%],Beijing Jingneng Oil & Gas Resources Development Co Ltd [51.00%]; Tangshan Caofeidian Development & Investment Group Co Ltd [49.00%],,,--,--,,,,,,2019.0,2021.0,Caofeidian,Asia,2024/1/24,CapacityInBcm/y缺失(--),LOW
T0945,0,https://www.gem.wiki/Dongying_LNG_Terminal_(China_Huadian),Dongying LNG Terminal (China Huadian),,Import,Cancelled,China,China Huadian Group Corp [100.00%],China Huadian Group Corp [100.00%],,,--,--,,,,,,,,Economic Zone,Asia,2024/2/12,CapacityInBcm/y缺失(--),LOW
T0955,0,https://www.gem.wiki/Rongcheng_LNG_Terminal,Rongcheng LNG Terminal,,Import,Cancelled,China,"Beijing Energy International Holding Co [unknown %]; Xinfa Holding Co., Ltd. [unknown %]","Beijing Energy International Holding Co [unknown %]; Xinfa Holding Co., Ltd. [unknown %]",,,--,--,,,,,,,,Rongcheng Shidao,Asia,2024/1/31,CapacityInBcm/y缺失(--),LOW
T0959,0,https://www.gem.wiki/Yantai_FSRU,Yantai FSRU,,Import,Cancelled,China,China National Offshore Oil Corp [100.00%],China National Offshore Oil Corp [100.00%],,,--,--,,,,,,2014.0,2016.0,Fushan Dajijia Town,Asia,2024/1/30,CapacityInBcm/y缺失(--),LOW
T0564,0,https://www.gem.wiki/El_Viajano_Altenesol_LNG_Terminal,El Viajano Altenesol LNG Terminal,,Import,Cancelled,Colombia,IAHL Corporation [100.00%],IAHL Corporation [100.00%],,,--,--,,,,,,2017.0,2019.0,El Viajano,Americas,2024/9/12,CapacityInBcm/y缺失(--),LOW
T0828,0,https://www.gem.wiki/Hoegh_Cyprus_FSRU,Hoegh Cyprus FSRU,,Import,Cancelled,Cyprus,Höegh Evi [100.00%],Morgan Stanley [100.00%],,,--,--,2021.0,,,,,,2021.0,Vasiliko,Asia,2024/6/4,CapacityInBcm/y缺失(--),LOW
T0787,0,https://www.gem.wiki/Akonikien_LNG_Terminal,Akonikien LNG Terminal,,Import,Cancelled,Equatorial Guinea,Corban Energy Group [100.00%],Corban Energy Group [100.00%],,,--,--,2020.0,,,,Presumed,2022.0,2024.0,,Africa,2024/7/17,CapacityInBcm/y缺失(--),LOW
T0720,0,https://www.gem.wiki/Rauma_LNG_terminal,Rauma LNG Terminal,,Import,Cancelled,Finland,Linde [100.00%],Linde [100.00%],,,--,--,,,,,,2021.0,2023.0,Rauma,Europe,2024/7/24,CapacityInBcm/y缺失(--),LOW
T0442,0,https://www.gem.wiki/Southern_Finland_LNG_Terminal,Southern Finland LNG Terminal,,Import,Cancelled,Finland,Gasum [100.00%],Gasum [100.00%],,,--,--,,,,,,,2015.0,,Europe,2024/7/24,CapacityInBcm/y缺失(--),LOW
T0910,0,https://www.gem.wiki/Kulevi_LNG_Terminal,Kulevi LNG Terminal,,Import,Cancelled,Georgia,SOCAR [100.00%],Government of Azerbaijan [100.00%],,,--,--,,,,,,,2016.0,,Asia,2024/6/3,CapacityInBcm/y缺失(--),LOW
T0665,0,https://www.gem.wiki/Maurice_Bonnefil_LNG_Terminal,Maurice Bonnefil LNG Terminal,,Import,Cancelled,Haiti,Haytrac Power & Gaz SA [100.00%],Haytrac Power & Gaz SA [100.00%],,,--,--,,,,,,2016.0,2018.0,Port-au-Prince,Americas,2024/9/12,CapacityInBcm/y缺失(--),LOW
T0863,0,https://www.gem.wiki/Aceh-Nias_LNG_Terminal,Aceh-Nias LNG Terminal,,Import,Cancelled,Indonesia,PT Perusahaan Gas Negara [100.00%],PT Perusahaan Gas Negara [100.00%],,,--,--,,,,,Presumed,2022.0,2024.0,Aceh,Asia,2024/7/12,CapacityInBcm/y缺失(--),LOW
T0700,0,https://www.gem.wiki/Bangka_Belitung-Pontianak_FSRU,Bangka Belitung-Pontianak FSRU,,Import,Cancelled,Indonesia,PT Perusahaan Gas Negara [100.00%],PT Perusahaan Gas Negara [100.00%],,,--,--,,,,,2023,2021.0,2023.0,Pontianak,Asia,2024/7/12,CapacityInBcm/y缺失(--),LOW
T0871,0,https://www.gem.wiki/Sorong-Manokwari-Nabira-Biak-Jayapura_LNG_Terminal,Sorong LNG Terminal,,Import,Cancelled,Indonesia,Pertamina [100.00%],Pertamina [100.00%],,,--,--,,,,,,,2021.0,East Indonesia,Asia,2024/7/12,CapacityInBcm/y缺失(--),LOW
T0878,0,https://www.gem.wiki/Ahlone_LNG_Terminal,Ahlone LNG Terminal,,Import,Cancelled,Myanmar,TTCL [100.00%],TTCL [100.00%],,,--,--,2024.0,,,,,2022.0,2024.0,Dala,Asia,2024/7/12,CapacityInBcm/y缺失(--),LOW
T0702,0,https://www.gem.wiki/Sittwe_LNG_Terminal,Sittwe LNG Terminal,,Import,Cancelled,Myanmar,Petronet LNG [100.00%],Petronet LNG [100.00%],,,--,--,,,,,,2021.0,2023.0,Sittwe,Asia,2024/7/12,CapacityInBcm/y缺失(--),LOW
T1065,0,https://www.gem.wiki/Thilawa_LNG_Terminal,Thilawa LNG Terminal,,Import,Cancelled,Myanmar,Eden Group [unknown %]; Marubeni Corporation [unknown %]; Mitsui & Co [unknown %]; Sumitomo Corporation [unknown %],Eden Group [unknown %]; Marubeni Corporation [unknown %]; Mitsui Group [unknown %]; Sumitomo Corporation [unknown %],,,--,--,2026.0,,,,Presumed,2022.0,2024.0,Thilawa Economic Zone of Yangon,Asia,2024/7/12,CapacityInBcm/y缺失(--),LOW
T0622,0,https://www.gem.wiki/Walvis_Bay_LNG_Terminal,Walvis Bay LNG Terminal (Import),,Import,Cancelled,Namibia,Excelerate Energy [100.00%],Excelerate Energy [100.00%],,,--,--,2019.0,,,,,2017.0,2019.0,Walvis Bay,Africa,2024/7/18,CapacityInBcm/y缺失(--),LOW
