ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,PipelineName,SegmentName,OtherEnglishNames,Status,Owner,Parent,StartYear1,StartYear2,StartYear3,StopYear,ShelvedYear,Capacity,CancelledYear,CapacityUnits,CapacityBcm/y,CapacityBOEd,LengthKnownKm,LengthEstimateKm,LengthMergedKm,Diameter,DiameterUnits,FuelSource,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,StartSubRegion,EndPrefecture/District,EndState/Province,EndRegion,FIDStatus,EndSubRegion,FIDYear,OtherLanguagePrimaryPipelineName,OtherLanguageSegmentName,Cost,CostUnits,CostUSD,LastUpdated
P5963,Gas,China,China,China,https://www.gem.wiki/Yacheng-Hong_Kong_Pipeline,Yacheng-Hong Kong Gas Pipeline,Shenzhen Branch,,proposed,CNOOC Energy Development Co Ltd (100%),unknown [unknown %],,,,,,,,,--,--,7,10.88,7,508,mm,,The sea area on the west side of Nanshan District,Shenzhen,Guangdong,Asia,Mawan Power Plant,Eastern Asia,Nanshan District,Shenzhen,Asia,,Eastern Asia,,中海油崖港输气管线（崖城-香港）,,1100000000,RMB,176000000,2024-07-31
P5964,Gas,China,China,China,https://www.gem.wiki/Guangdong_Pearl_River_Delta_gas_pipeline_network,Guangdong Pearl River Delta gas pipeline network,Jieyang Gas Pipeline Zhanlong Branch,,construction,"Jieyang PetroChina Kunlun Gas Co., Ltd. (100%)",unknown [unknown %],,,,,,,,,--,--,21.7,11.85,21.7,508,mm,,"Puning Distribution Station, Puning County",Jieyang,Guangdong,Asia,"Zhanlong Distribution Station, Nanjing Town, Puning County",Eastern Asia,Jieyang,Guangdong,Asia,,Eastern Asia,,广东输气管网,,,,--,2024-07-31
P5965,Gas,China,China,China,https://www.gem.wiki/Liaoning_Gas_Pipeline_Network,Liaoning Gas Pipeline Network,Lvshun-Dalian Gas Pipeline,,construction,"Dalian Natural Gas High Pressure Pipeline Co., Ltd. (100%)",unknown [unknown %],,,,,,0.55,,bcm/y,0.55,8784.21,68,51.55,68,700,mm,,"Qianmen Gate Station, Qianguan Street, Ganjingzi District",Dalian,Liaoning,Asia,"Longtou Street, Lushunkou District",Eastern Asia,Dalian,Liaoning,Asia,,Eastern Asia,,辽宁输气管网,,1960000000,RMB,313600000,2024-07-31
P5966,Gas,China,China,China,https://www.gem.wiki/Liaoning_Gas_Pipeline_Network,Liaoning Gas Pipeline Network,Wafangdian-Changxingdao Branch Gas Pipeline,,operating,PetroChina Kunlun Gas Company Limited (100%),Kunlun Energy Co Ltd [100.00%],2018,,,,,0.82,,bcm/y,0.82,13184.37,67.5,66.89,67.5,323.9,mm,gas transported by Dalian-Shenyang Pipeline ,"Wafangdian First Station, Wangdian Village, Taiyang Street Office，Wafangdian",Dalian,Liaoning,Asia,"Xietun Station, Gaotun Village, Paoya Township, Wafangdian",Eastern Asia,Dalian,Liaoning,Asia,,Eastern Asia,,辽宁输气管网,,276868000,RMB,44298880,2023-09-11
P5967,Gas,United States,United States,United States,https://www.gem.wiki/Gulf_South_Gas_Pipeline,Gulf South Gas Pipeline,GS Bastian Bay Extension,,operating,Boardwalk Pipeline Partners (100%),Loews Corp [100.00%],1997,,,,,735,,MMcf/d,7.51,121072.14,25.75,--,25.75,30,in,,,,Louisiana,Americas,,Northern America,,Louisiana,Americas,,Northern America,,,,21000000,USD,21000000,2023-09-11
P5968,Gas,United States,United States,United States,https://www.gem.wiki/Gulf_South_Gas_Pipeline,Gulf South Gas Pipeline,Haynesville/Perryville Expansion,,operating,Boardwalk Pipeline Partners (100%),Loews Corp [100.00%],2010,,,,,556,,MMcf/d,5.68,91586.54,0,--,0,,,,,,Louisiana,Americas,,Northern America,,Louisiana,Americas,,Northern America,,,,161000000,USD,161000000,2023-09-11
P5969,Gas,United States,United States,United States,https://www.gem.wiki/Gulf_South_Gas_Pipeline,Gulf South Gas Pipeline,Southeast Market Expansion,,operating,Boardwalk Pipeline Partners (100%),Loews Corp [100.00%],2014,,,,,510.5,,MMcf/d,5.22,84091.6,112.82,--,112.82,"20, 30",in,,,,Mississippi,Americas,,Northern America,,Alabama,Americas,,Northern America,,,,287000000,USD,287000000,2023-09-11
P5970,Gas,Canada,Canada,Canada,https://www.gem.wiki/BC_Gas_Pipeline,High Pine Expansion Project,BC Gas Pipeline,,operating,--,unknown [unknown %],2018,,,,,240,,MMcf/d,2.45,39533.76,39,1555.64,39,42,in,,,,British Columbia,Americas,,Northern America,,British Columbia,Americas,,Northern America,,,,,,--,2023-09-11
P5971,Gas,Oman,Oman,Oman,https://www.gem.wiki/Saih_Rawl-Salalah_Gas_Pipeline,Saih Rawl- Salalah Gas Pipeline,,,operating,--,unknown [unknown %],2004,,,,,4,,MMcf/d,0.04,658.9,700,551.8,700,24,in, Saih Rawl Field,,,Al Wusta,Asia,Salalah,Western Asia,,Dhofar ,Asia,,Western Asia,,خط غاز سيح رول- صلالة,,170000000,USD,170000000,2023-09-11
P5972,Gas,Oman,Oman,Oman,https://www.gem.wiki/Salalah_Gas_Pipeline,Salalah Gas Pipeline,,,construction,Oman Oil Company SAOC,OQ SAOC [unknown %],2023,,,,,,,,--,--,210,--,210,,,Salalah,,,Dhofar province,Asia,Salalah,Western Asia,,Dhofar ,Asia,,Western Asia,,,,72500000,EUR,79025000,2023-09-11
P5973,Gas,Oman,Oman,Oman,https://www.gem.wiki/Nimr-Marmul_Gas_Pipeline,Nimr-Marmul Gas Pipeline,,,operating,--,unknown [unknown %],,,,,,,,,--,--,85,79.62,85,32,in,,,,Dhofar province,Asia,Marmul,Western Asia,,Dhofar ,Asia,,Western Asia,,خط غاز نمير- مرمول,,200000000,EGP,12800000,2023-09-11
P5974,Gas,United States,United States,United States,https://www.gem.wiki/Gulf_South_Gas_Pipeline,Gulf South Gas Pipeline,Mobile Compressor Expansion,,operating,Boardwalk Pipeline Partners (100%),Loews Corp [100.00%],2008,,,,,250,,MMcf/d,2.56,41181,0,--,0,,,,,,Mississippi,Americas,,Northern America,,Alabama,Americas,,Northern America,,,,23000000,USD,23000000,2023-09-11
P5975,Gas,United States,United States,United States,https://www.gem.wiki/Gulf_South_Gas_Pipeline,Gulf South Gas Pipeline,GS Gulfstream Interconnect,,operating,Boardwalk Pipeline Partners (100%),Loews Corp [100.00%],2002,,,,,236,,MMcf/d,2.41,38874.86,46.67,--,46.67,"24, 30",in,,,,Alabama,Americas,,Northern America,,Alabama,Americas,,Northern America,,,,,,--,2023-09-11
P5976,Gas,United States,United States,United States,https://www.gem.wiki/Gulf_South_Gas_Pipeline,Gulf South Gas Pipeline,Westlake Expansion Project,,operating,Boardwalk Pipeline Partners (100%),Loews Corp [100.00%],2019,,,,,200,,MMcf/d,2.04,32944.8,0.48,--,0.48,16,in,,,,Louisiana,Americas,,Northern America,,Louisiana,Americas,,Northern America,,,,56000000,USD,56000000,2023-09-11
P5977,Gas,Australia,Australia,Australia,https://www.gem.wiki/Shenandoah_South%E2%80%93Amadeus_Gas_Pipeline_Connector,Shenandoah South–Amadeus Gas Pipeline Connector,,,proposed,--,unknown [unknown %],2025,,,,,,,,--,--,--,--,--,,,,,,,Oceania,,Australia and New Zealand,,,Oceania,,Australia and New Zealand,,,,,,--,2023-09-11
P5978,Gas,China,China,China,https://www.gem.wiki/Shanghai_Gas_Pipeline_Network,Shanghai Gas Pipeline Network,Shanghai LNG Terminal Expansion Project Export Pipeline,,proposed,Shenneng Yangshan Liquefied Natural Gas Co Ltd (100%),Shenergy (Group) Co Ltd [60.00%]; China National Offshore Oil Corp [20.00%]; Zhejiang Energy Group Co Ltd [18.00%]; Zhejiang Financial Development Co Ltd [2.00%],,,,,,50.4,,mill.Sm3/day,18.4,296503.2,66.6,62.24,66.6,1016,mm,Shanghai LNG Terminal Expansion Project,"Yangshan Town, Shengsi County",Zhoushan,Zhejiang,Asia,"Fengxin Transmission Station, Zhelin Town",Eastern Asia,Fengxian District,Shanghai,Asia,,Eastern Asia,,上海天然气主干管网,,,,--,2024-07-31
P5979,Gas,Australia,Australia,Australia,https://www.gem.wiki/Beetaloo%E2%80%93McArthur_River_Connecting_Pipeline,Beetaloo–McArthur River Connecting Pipeline,,,proposed,--,unknown [unknown %],,,,,,,,,--,--,--,--,--,,,,,,,Oceania,,Australia and New Zealand,,,Oceania,,Australia and New Zealand,,,,,,--,2023-09-11
P5980,Gas,China,China,China,https://www.gem.wiki/Shanghai_Gas_Pipeline_Network,Shanghai Gas Pipeline Network,Chongming-Wuhaogou Gas Pipeline,,operating,Shanghai Natural Gas Pipeline Network Co Ltd (100%),Shanghai Gas (Group) Co Ltd [50.00%]; Shenergy Co Ltd [50.00%],,,,,,,,,--,--,24.5,23.4,24.5,,,,Chongming Island,Chongming District,Shanghai,Asia,"Wuhaogou LNG Terminal, Caolu Town",Eastern Asia,Pudong New Area,Shanghai,Asia,,Eastern Asia,,上海天然气主干管网,,1840000000,RMB,294400000,2024-07-31
P5981,Gas,China,China,China,https://www.gem.wiki/Shanghai_Gas_Pipeline_Network,Shanghai Gas Pipeline Network,Wuhaogou LNG Terminal-Lingang Gas Pipeline,,operating,Shanghai Natural Gas Pipeline Network Co Ltd (100%),Shanghai Gas (Group) Co Ltd [50.00%]; Shenergy Co Ltd [50.00%],2023,,,,,2.4,,mill.Sm3/day,0.88,14119.2,54,49.69,54,800,mm,,"Wuhaogou LNG Terminal, Caolu Town",Pudong New Area,Shanghai,Asia,Lingang New Area,Eastern Asia,Pudong New District,Shanghai,Asia,,Eastern Asia,,上海天然气主干管网,,,,--,2023-09-12
P5982,Gas,China,China,China,https://www.gem.wiki/Shanghai-Suzhou_Connection_Gas_Pipeline,Shanghai-Suzhou Connection Gas Pipeline,Shanghai Section,,construction,Shanghai Natural Gas Pipeline Network Co Ltd (100%),Shanghai Gas (Group) Co Ltd [50.00%]; Shenergy Co Ltd [50.00%],,,,,,2,,bcm/y,2,32235.62,8.5,7.12,8.5,800,mm,,Daying Town,Qingpu District,Shanghai,Asia,Husu Gate Station,Eastern Asia,Qingpu District,Shanghai,Asia,,Eastern Asia,,沪苏天然气联络线,,650000000,,--,2024-07-31
P5983,Gas,China,China,China,https://www.gem.wiki/Shanghai-Suzhou_Connection_Gas_Pipeline,Shanghai-Suzhou Connection Gas Pipeline,Suzhou Section,,construction,Suzhou Sucheng Natural Gas Co Ltd (100%),Suzhou Urban Construction Investment Development Co Ltd [unknown %]; other [unknown %],,,,,,2,,bcm/y,2,32235.62,33,31.56,33,800,mm,,Husu Gate Station,Qingpu District,Shanghai,Asia,Chefang Town,Eastern Asia,Suzhou,Zhejiang,Asia,,Eastern Asia,,沪苏天然气联络线,,650000000,,--,2024-07-31
P5984,Gas,Iran,Azerbaijan,"Iran, Azerbaijan",https://www.gem.wiki/Rasht-Chelavend_Gas_Pipeline,Rasht-Chelavend Gas Pipeline,,,construction,National Iranian Oil Company,National Iranian Oil Co [unknown %],2024,,,,,5.5,,bcm/y,5.5,88647.95,150,157.77,150,42,in,Rasht,,,Gilan,Asia,,Southern Asia,,,Asia,,Western Asia,,Рашт-Челаванд,,,,--,2024-09-20
P5985,Gas,Poland,Slovakia,"Poland, Slovakia",https://www.gem.wiki/Poland-Slovakia_Gas_Pipeline,Poland-Slovakia Gas Pipeline,Expansion,"Polish-Slovak gas Interconnector, Poland - Slovakia interconnection",operating,--,unknown [unknown %],2024,,,,,5.7,,bcm/y,5.7,91871.51,0,--,0,1000,mm,,Strachocina,,Subcarpathian Voivodoship,Europe,Veľké Kapušany,Eastern Europe,,,Europe,FID,Eastern Europe,,,,,,--,2022-08-30
P5986,Gas,Poland,Poland,Poland,https://www.gem.wiki/Strachocina_Pog%C3%B3rska_Wola_Pipeline,Strachocina-Pogórska-Wola Gas Pipeline,Expansion,,operating,--,unknown [unknown %],2024,,,,,,,,--,--,0,--,0,39,in,,Strachocina,,,Europe,Pogórska Wola,Eastern Europe,,,Europe,FID,Eastern Europe,,,,,,--,2022-07-06
P5987,Gas,Poland,Poland,Poland,,Kędzierzyn-Racibórz Gas Pipeline,,,construction,--,unknown [unknown %],,,,,,,,,--,--,--,--,--,,,,,,,Europe,,Eastern Europe,,,Europe,,Eastern Europe,,,,,,--,2024-04-17
P5988,Gas,Poland,Lithuania,"Poland, Lithuania",https://www.gem.wiki/Gas_Interconnection_Poland-Lithuania_(GIPL),Gas Interconnection Poland-Lithuania,,GIPL,operating,--,unknown [unknown %],2024,,,,,,,,--,--,0,--,0,28,in,,Wysokoje,,,Europe,Jauniūnai,Eastern Europe,,Vilnius County,Europe,,Northern Europe,,,,,,--,2022-07-05
P5989,Gas,Russia,Ukraine,"Russia, Ukraine",https://www.gem.wiki/Taganrog-Melitopol_Gas_Pipeline#Location,Taganrog-Melitopol-Berdyansk Gas Pipeline,Taganrog-Melitopol Gas Pipeline,,construction,--,unknown [unknown %],,,,,,,,,--,--,--,272.73,272.73,,,,Taganrog,,Rostov,Europe,Melitopol,Eastern Europe,,Zaporizhzhia Oblast,Europe,,Eastern Europe,,,,,,--,2023-09-12
P5990,Gas,United States,United States,United States,https://www.gem.wiki/Header_Improvement_Project,Header Improvement Project,,,cancelled,Virginia Natural Gas (100%),Southern Co [unknown %],,,,,,,,,--,--,38.62,28.94,38.62,30,in,,,Prince William County,Virginia,Americas,,Northern America,Fauqier County,Virginia,Americas,,Northern America,,,,346000000,USD,346000000,2023-09-12
P5991,Gas,Australia,Australia,Australia,https://www.gem.wiki/Galilee_Gas_Pipeline,Galilee Gas Pipeline,Updated Route,,proposed,APA Group (100%),APA Group Ltd [100.00%],,,,,,,,,--,--,420,323.49,420,,,,Glenaras Gas Project,,,Oceania,Cooladdi,Australia and New Zealand,,Queensland,Oceania,,Australia and New Zealand,,,,,,--,2023-09-12
P5992,Gas,China,China,China,https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline,Jiangsu Coastal Gas Pipeline,Rudong LNG External Transmission Interconnection Line,,proposed,--,unknown [unknown %],,,,,,,,,--,--,42,30.97,42,1219,mm,,Rudong LNG,,Jiangsu,Asia,,Eastern Asia,Rudong County,Jiangsu,Asia,,Eastern Asia,,江苏沿海输气管道,,,,--,2024-07-31
P5993,Gas,China,China,China,https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline,Jiangsu Coastal Gas Pipeline,Huadian Lianyungang LNG External Transmission Interconnection Line,,proposed,--,unknown [unknown %],,,,,,,,,--,--,21,66.3,21,813,mm,,Huadian Lianyungang LNG,Lianyungang,Jiangsu,Asia,Haizhou District,Eastern Asia,Lianyungang,Jiangsu,Asia,,Eastern Asia,,江苏沿海输气管道,,,,--,2024-07-31
P5994,Gas,China,China,China,https://www.gem.wiki/West-East_Gas_Pipeline_1#Donghai_Branch_%E8%A5%BF%E6%B0%94%E4%B8%9C%E8%BE%93%E4%B8%9C%E6%B5%B7%E6%94%AF%E7%BA%BF,West-East Gas Pipeline 1,Donghai Branch,,operating,China Petroleum Pipeline and Natural Gas Investment Co (100%),unknown [unknown %],2017,,,,,0.11,,bcm/y,0.11,1692.37,31,42.98,31,323.8,mm,,Lianyungang,,Jiangsu,Asia,,Eastern Asia,Donghai County,Jiangsu,Asia,,Eastern Asia,,西气东输一线,,200000000,RMB,32000000,2023-09-13
P5995,Gas,China,China,China,https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline,Jiangsu Coastal Gas Pipeline,Rudong-Haimen-Chongming Island Gas Pipeline,,operating,--,unknown [unknown %],2017,,,,,1.84,,bcm/y,1.84,29656.77,88.77,138.69,88.77,610,mm,,Rudong LNG,,Jiangsu,Asia,Chongming District,Eastern Asia,,Jiangsu,Asia,,Eastern Asia,,江苏沿海输气管道,,,,--,2023-09-13
P5996,Gas,China,China,China,https://www.gem.wiki/West-East_Gas_Pipeline_1#Jiangdu-Rudong_Gas_Pipeline_%E8%A5%BF%E6%B0%94%E4%B8%9C%E8%BE%93%E6%B1%9F%E9%83%BD-%E5%A6%82%E4%B8%9C%E5%A4%A9%E7%84%B6%E6%B0%94%E7%AE%A1%E9%81%93,West-East Gas Pipeline 1,Jiangdu-Rudong Gas Pipeline,,operating,"National Petroleum and Natural Gas Pipeline Network Group Co., Ltd. (100%)",National Petroleum and Natural Gas Pipeline Network Group Co Ltd [100.00%],2011,,,,,13.5,,bcm/y,13.5,217590.41,276.1,220.67,276.1,1016,mm,Jiangsu LNG,Jiangdu District,Yangzhou City,Jiangsu,Asia,Rudong,Eastern Asia,,Jiangsu,Asia,,Eastern Asia,,西气东输一线,,,,--,2023-09-13
P5997,Gas,China,China,China,https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline,Jiangsu Coastal Gas Pipeline,Hai’an-Taizhou-Yangzhou Gas Pipeline (Segment A),,proposed,--,unknown [unknown %],,,,,,4.5,,bcm/y,4.5,72530.14,90.6,88.05,90.6,813,mm,,Xichang Distribution Station,Hai'an,Jiangsu,Asia,Gangyang Town,Eastern Asia,Hailing District,Jiangsu,Asia,,Eastern Asia,,江苏沿海输气管道,,1353128300,RMB,216500528,2024-07-31
P5999,Gas,China,China,China,https://www.gem.wiki/Jiangsu_Coastal_Gas_Pipeline,Jiangsu Coastal Gas Pipeline,Jingjiang Power Plant Branch,,proposed,--,unknown [unknown %],,,,,,0.32,,bcm/y,0.32,5077.11,77,64.37,77,323.8,mm,,Taizhou,,Jiangsu,Asia,Jingjiang Power Plant,Eastern Asia,,Jiangsu,Asia,,Eastern Asia,,江苏沿海输气管道,,,,--,2024-07-31
P6000,Gas,China,China,China,https://www.gem.wiki/China%E2%80%93Russia_East_Pipeline#Xiangshui_Branch_%E5%93%8D%E6%B0%B4%E6%94%AF%E7%BA%BF,China–Russia East Pipeline,Xiangshui Branch,,proposed,--,unknown [unknown %],,,,,,0.15,,bcm/y,0.15,2417.67,25.8,27.16,25.8,323.8,mm,,Guannan County,,Jiangsu,Asia,Xiangshui County,Eastern Asia,,Jiangsu,Asia,,Eastern Asia,,中俄东线天然气管道,,,,--,2024-07-31
P6001,Gas,China,China,China,https://www.gem.wiki/Shanghai_Gas_Pipeline_Network,Shanghai Gas Pipeline Network,Lingang-Shanghai Chemical Industry Zone Gas Pipeline,,operating,--,unknown [unknown %],2020,,,,,,,,--,--,40.9,37.96,40.9,800,mm,,Lingang New Area,Pudong New District,Shanghai,Asia,,Eastern Asia,Shanghai Chemical Industry Zone,Shanghai,Asia,,Eastern Asia,,上海天然气主干管网,,1240800900,RMB,198528144,2023-09-13
P6002,Gas,China,China,China,https://www.gem.wiki/Guizhou_Gas_Pipeline_Network,Guizhou Gas Pipeline Network,Zunyi-Hezhang Gas Pipeline,,operating,"Guizhou Kunlun Natural Gas Co., Ltd. (100%)",unknown [unknown %],,,,,,1.1,,bcm/y,1.1,17697.35,310.6,264.77,310.6,457,mm,Zhongwei-Guiyang Connecting Gas Pipeline,Bozhou District,Zunyi,Guizhou,Asia,"Baiguo Town, Hezhang County",Eastern Asia,Bijie,Guizhou,Asia,,Eastern Asia,,贵州天然气管网,,1255000000,RMB,200800000,2023-09-14
P6003,Gas,United States,United States,United States,https://www.gem.wiki/Eastern_Shore_Gas_Pipeline,Eastern Shore Gas Pipeline,Del-Mar Energy Pathway Project,,operating,Chesapeake Utilities (100%),Chesapeake Utilities Corp [100.00%],2021,,,,,14,,MMcf/d,0.14,2306.14,32.19,28.6,32.19,"8,10,16",in,,,,Delaware,Americas,,Northern America,,Maryland,Americas,,Northern America,,,,46000000,USD,46000000,2023-09-13
P6004,Gas,United States,United States,United States,https://www.gem.wiki/Chickahominy_Pipeline,Chickahominy Pipeline,,,shelved,Chickahominy Pipeline LLC (100%),unknown [unknown %],,,,,2022,,,,--,--,133.58,115.3,133.58,,,,,Louisa County,Virginia,Americas,,Northern America,Charles City County,Virginia,Americas,,Northern America,,,,,,--,2023-09-13
P6005,Gas,United States,United States,United States,https://www.gem.wiki/Kinetica_energy_express,Kinetica Energy Express,,,operating,Kinetica Partners (100%),Eckard Enterprises LLC [unknown %],1960,,,,,,,,--,--,1139,1622.17,1139,36,in,,Plaquemines,,Louisiana,Americas,,Northern America,Cameron,Louisiana,Americas,,Northern America,,,,,,--,2023-09-13
