ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,PipelineName,SegmentName,OtherEnglishNames,Status,Owner,Parent,StartYear1,StartYear2,StartYear3,StopYear,ShelvedYear,Capacity,CancelledYear,CapacityUnits,CapacityBcm/y,CapacityBOEd,LengthKnownKm,LengthEstimateKm,LengthMergedKm,Diameter,DiameterUnits,FuelSource,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,StartSubRegion,EndPrefecture/District,EndState/Province,EndRegion,FIDStatus,EndSubRegion,FIDYear,OtherLanguagePrimaryPipelineName,OtherLanguageSegmentName,Cost,CostUnits,CostUSD,LastUpdated
P0061,Gas,United States,United States,United States,https://www.gem.wiki/Double_E_Pipeline_Project,Double E Pipeline Project,,,operating,Summit Midstream Partners LP (70%); ExxonMobil (30%),Summit Midstream Partners LP [70.00%]; ExxonMobil Corp [30.00%],2021,,,,,1350,,MMcf/d,13.8,222377.4,217.6,190.3,217.6,"30, 42",in,Delaware Basin,,Eddy County,New Mexico,Americas,Waha,Northern America,,Texas,Americas,,Northern America,,,,450000000,USD,450000000,2023-08-21
P0143,Gas,United States,United States,United States,https://www.gem.wiki/Acadian_Gas_Pipeline_System,Acadian Gas Pipeline System,,,operating,Enterprise Products Partners (100%),Enterprise Products Partners LP [100.00%],,,,,,1000,,MMcf/d,10.22,164724,1609.34,1097.9,1609.34,,,Haynesville shale field,Haynesville shale field,,Louisiana,Americas,,Northern America,,Louisiana,Americas,,Northern America,,,,,,--,2023-08-18
P0144,Gas,United States,United States,United States,https://www.gem.wiki/Algonquin_Gas_Transmission_Pipeline,Algonquin Gas Transmission Pipeline,Access Northeast Gas Pipeline,,cancelled,Enbridge (100%),Enbridge Inc [100.00%],,,,,,925,2017,MMcf/d,9.45,152369.7,197.95,144.01,197.95,,,,,Boston,Massachusetts,Americas,,Northern America,Danbury,Connecticut,Americas,,Northern America,,,,3000000000,USD,3000000000,2023-08-21
P0145,Gas,United States,United States,United States,https://www.gem.wiki/Access_South_Gas_Pipeline,Access South Gas Pipeline,,,operating,Enbridge (100%),Enbridge Inc [100.00%],2017,,,,,320,,MMcf/d,3.27,52711.68,1287,1151.92,1287,,,,Uniontown,,Pennsylvania,Americas,Kosciusko,Northern America,,Mississippi,Americas,,Northern America,,,,256000000,USD,256000000,2023-08-21
P0146,Gas,United States,Canada,"United States, Canada",https://www.gem.wiki/Alaska_Gas_Pipeline,Alaska Gas Pipeline,,,cancelled,TC Energy; ExxonMobil,ExxonMobil Corp [unknown %]; TC Energy Corp [unknown %],,,,,,4100,2014,MMcf/d,41.9,675368.4,--,3092.29,3092.29,,,,Prudhoe Bay,,Alaska,Americas,Caroline,Northern America,,Alberta,Americas,,Northern America,,,,,,--,2023-09-06
P0147,Gas,United States,United States,United States,https://www.gem.wiki/Alaska_LNG_Pipeline_(AKLNG),Alaska LNG Pipeline (AKLNG),,Alaska Nikiski LNG project,proposed,Alaska Gasline Development Corporation (100%),Alaska Gasline Development Corp [100.00%],2029,,,,,3500,,MMcf/d,35.77,576534,1295.52,1393.59,1295.52,42,in,North Slope Borough,Prudhoe Bay,,Alaska,Americas,Nikiski,Northern America,,Alaska,Americas,Pre-FID,Northern America,2025,,,10700000000,USD,10700000000,2024-07-10
P0149,Gas,United States,United States,United States,https://www.gem.wiki/Algonquin_Gas_Transmission_Pipeline,Algonquin Gas Transmission Pipeline,,,operating,Enbridge (100%),Enbridge Inc [100.00%],1997,,,,,3120,,MMcf/d,31.89,513938.88,1816.95,1108.03,1816.95,,,,Lambertville,,New York,Americas,Boston,Northern America,,Massachusetts,Americas,,Northern America,,,,,,--,2023-08-21
P0150,Gas,United States,United States,United States,https://www.gem.wiki/Algonquin_Gas_Transmission_Pipeline,Algonquin Gas Transmission Pipeline,Algonquin Incremental Market (AIM) Gas Pipeline,,operating,Enbridge (100%),Enbridge Inc [100.00%],2016,,,,,342,,MMcf/d,3.5,56335.61,59.55,27.23,59.55,42,in,Marcellus/Utica natural gas,Rockland County,,New York,Americas,Westchester County,Northern America,,New York,Americas,,Northern America,,,,972000000,USD,972000000,2023-08-21
P0151,Gas,Canada,United States,"Canada, United States",https://www.gem.wiki/Alliance_Gas_Pipeline,Alliance Gas Pipeline,,,operating,Alliance USA (50%); Alliance Canada (50%),Pembina Pipeline Corp [100.00%],2000,,,,,1600,,MMcf/d,16.35,263558.4,3848,3641.8,3848,,,"Western Canadian Sedimentary Basin, Willis​ton Basin",,,British Columbia,Americas,Chicago,Northern America,,Illinois,Americas,,Northern America,,,,,,--,2023-09-14
P0152,Gas,United States,United States,United States,https://www.gem.wiki/ANR_Gas_Pipeline,ANR Gas Pipeline,,,operating,ANR Pipeline Company (100%),TC Energy Corp [100.00%],1949,,,,,6000,,MMcf/d,61.32,988344,2896.82,11727.75,2896.82,,,,,,Texas,Americas,Chicago,Northern America,,Illinois,Americas,,Northern America,,,,,,--,2024-07-22
P0153,Gas,United States,United States,United States,https://www.gem.wiki/Appalachian_Connector_Pipeline,Appalachian Connector Pipeline,,,operating,XcL Midstream LLC (100%),unknown [unknown %],2018,,,,,2000,,MMcf/d,20.44,329448,83.69,--,83.69,,,,,,Clarington,Americas,Ohio,Northern America,,Chatham,Americas,,Northern America,,,,,,--,2022-10-14
P0154,Gas,United States,United States,United States,https://www.gem.wiki/Atlantic_Bridge_Gas_Project,Atlantic Bridge Gas Project,Phase I,expansion of Algonquin Gas Transmission Pipeline; Maritimes & Northeast Pipeline ,operating,Enbridge (100%),Enbridge Inc [100.00%],2017,2021,,,,40,,MMcf/d,0.41,6588.96,--,--,--,,,,,,New Jersey,Americas,,Northern America,,Maine,Americas,,Northern America,,,,,,--,2023-08-16
P0155,Gas,United States,United States,United States,https://www.gem.wiki/Atlantic_Coast_Gas_Pipeline,Atlantic Coast Gas Pipeline,,,cancelled,Atlantic Coast Pipeline LLC (100%),Dominion Energy Inc [53.00%]; Duke Energy Corp [47.00%],2022,,,,,1500,2020,MMcf/d,15.33,247086,965.61,897.61,965.61,"20, 36, 42",in,Utica; Marcellus,Harrison County,,West Virginia,Americas,Robeson County,Northern America,,North Carolina,Americas,,Northern America,,,,,,--,2022-10-06
P0156,Gas,United States,United States,United States,https://www.gem.wiki/Atlantic_Sunrise_Gas_Pipeline,Atlantic Sunrise Gas Pipeline,,,operating,Williams Companies (60.8%); NextEra Energy (39.2%),Williams Companies Inc [60.80%]; NextEra Energy Inc [39.20%],2018,,,,,1700,,MMcf/d,17.37,280030.8,317.85,270.93,317.85,,,Marcellus Shale,,,Lancaster County,Americas,Pennsylvania,Northern America,,Susquehanna County,Americas,,Northern America,,,,3100000000,USD,3100000000,2023-08-22
P0157,Gas,Canada,United States,"Canada, United States",https://www.gem.wiki/BC_Gas_Pipeline,BC Gas Pipeline,,Westcoast Pipeline,operating,Enbridge (100%),Enbridge Inc [100.00%],1957,,,,,3400,,MMcf/d,34.75,560061.6,2953,1555.64,2953,,,,Fort Nelson,,British Columbia,Americas,Sumas,Northern America,,Washington,Americas,,Northern America,,,,,,--,2023-08-17
P0158,Gas,United States,United States,United States,https://www.gem.wiki/Bison_Gas_Pipeline,Bison Gas Pipeline,,,operating,TC Energy (100%),TC Energy Corp [100.00%],2011,,,,,477,,MMcf/d,4.87,78573.35,486.02,460.88,486.02,30,in,Powder River Basin,Gillette,,Wyoming,Americas,Glen Ullin,Northern America,,North Dakota,Americas,,Northern America,,,,610000000,USD,610000000,2023-08-22
P0159,Gas,United States,United States,United States,https://www.gem.wiki/Bridgeline_Gas_Pipeline,Bridgeline Gas Pipeline,,,operating,EnLink Midstream (100%),EnLink Midstream LLC [100.00%],2000,,,,,920,,MMcf/d,9.4,151546.08,1585,792.6,1585,,,,Larose,,Louisiana,Americas,,Northern America,,Louisiana,Americas,,Northern America,,,,,,--,2023-08-22
P0160,Gas,Canada,Canada,Canada,https://www.gem.wiki/Canadian_Mainline_Gas_Pipeline,Canadian Mainline Gas Pipeline,,,operating,TransCanada PipeLines Limited (100%),TC Energy Corp [100.00%],1955,,,,,195,,MMSCMD,71.18,1147185,14082,4775.65,14082,,,Western Canada Sedimentary Basin,,,Alberta-Saskatchewan boundary,Americas,,Northern America,,Ontario,Americas,,Northern America,,,,,,--,2023-09-06
P0161,Gas,United States,United States,United States,https://www.gem.wiki/Enable_Gas_Transmission,Enable Gas Transmission,,,operating,Enable Gas Transmission LLC (100%),Energy Transfer LP [100.00%],,,,,,6600,,MMcf/d,67.45,1087178.4,9495,8536.3,9495,,,,,,Texas,Americas,,Northern America,,Louisiana,Americas,,Northern America,,,,,,--,2022-10-11
P0162,Gas,United States,United States,United States,https://www.gem.wiki/Mississippi_River_Transmission,Mississippi River Transmission,,,operating,"Enable Midstream Partners, LP (100%)",Energy Transfer LP [100.00%],,,,,,1900,,MMcf/d,19.42,312975.6,2574,2149.14,2574,,,,,,Texas,Americas,,Northern America,,Illinois,Americas,,Northern America,,,,,,--,2023-08-22
P0163,Gas,United States,United States,United States,https://www.gem.wiki/Enable_Oklahoma_Instrastate_Transmission,Enable Oklahoma Instrastate Transmission (EOIT),,,operating,"Enable Midstream Partners, LP (100%)",Energy Transfer LP [100.00%],,,,,,2300,,MMcf/d,23.51,378865.2,3540,2313.06,3540,,,,Oklahoma,,Oklahoma,Americas,Oklahoma,Northern America,,Oklahoma,Americas,,Northern America,,,,,,--,2023-08-22
P0164,Gas,United States,United States,United States,https://www.gem.wiki/Southeast_Supply_Header,Southeast Supply Header,,,operating,"Enbridge (50%); Enable Midstream Partners, LP (50%)",Enbridge Inc [50.00%]; Energy Transfer LP [50.00%],2008,,,,,1140,,MMcf/d,11.65,187785.36,462,495.89,462,"36, 42",in,,Perryville Hub,,Louisiana,Americas,Gulf Stream Natural Gas Pipeline System,Northern America,Mobile County,Alabama,Americas,,Northern America,,,,842000000,USD,842000000,2023-08-23
P0165,Gas,United States,United States,United States,https://www.gem.wiki/Chandeleur_Gas_Pipeline,Chandeleur Gas Pipeline,,,operating,EnLink Midstream (100%),EnLink Midstream LLC [100.00%],1964,,,,,330,,MMcf/d,3.37,54358.92,346,149.02,346,,,Offshore Louisiana and Mississippi,offshore Gulf of Mexico,,"Louisiana, Mississippi",Americas,Pascagoula,Northern America,,Mississippi,Americas,,Northern America,,,,,,--,2023-08-23
P0166,Gas,United States,United States,United States,https://www.gem.wiki/Cheyenne_Plains_Gas_Pipeline,Cheyenne Plains Gas Pipeline,,,operating,El Paso Corporation (100%),Kinder Morgan Inc [100.00%],2005,,,,,800,,MMcf/d,8.18,131779.2,611.23,600.47,611.23,36,in,,Kit Carson,,Colorado,Americas,Sherman,Northern America,,Kansas,Americas,,Northern America,,,,,,--,2023-08-17
P0167,Gas,Canada,Canada,Canada,https://www.gem.wiki/Coastal_GasLink_Pipeline,Coastal GasLink Pipeline,,,construction,Alberta Investment Management Company (32.5%); TC Energy (35%); KKR Global Infrastructure Investors III (32.5%),TC Energy Corp [35.00%]; Alberta Investment Management Corp [32.50%]; KKR & Co. Inc [32.50%],2023,,,,,3000,,MMcf/d,30.66,494172,670,638.1,670,48,in,Montney Formation,Dawson Creek,,British Columbia,Americas,Kitimat,Northern America,,British Columbia,Americas,,Northern America,,,,11200000000,CAN,8960000000,2023-09-06
P0168,Gas,United States,United States,United States,https://www.gem.wiki/Colorado_Interstate_Gas_Pipeline,Colorado Interstate Gas Pipeline,,,operating,Kinder Morgan (100%),Kinder Morgan Inc [100.00%],2008,,,,,5150,,MMcf/d,52.63,848328.6,6920,--,6920,,,,,,"Rocky Mountains, Anadarko Basin",Americas,California,Northern America,,Colorado,Americas,,Northern America,,,,,,--,2023-08-23
P0169,Gas,United States,United States,United States,https://www.gem.wiki/Columbia_Gas_Transmission,Columbia Gas Transmission,SYSTEM/NETWORK INFO,,operating,Columbia Gas Transmission LLC (100%),TC Energy Corp [60.00%]; Global Infrastructure Partners [40.00%],1996,,,,,3000,,MMcf/d,30.66,494172,19312,14387.91,19312,,,,Midwest,,,Americas,,Northern America,,New York,Americas,,Northern America,,,,,,--,2022-10-06
P0170,Gas,United States,United States,United States,https://www.gem.wiki/Commonwealth_Gas_Pipeline,Commonwealth Gas Pipeline,,,cancelled,Inergy Holdings; UGI Corporation; Capitol Energy Group,Inergy LP [unknown %]; UGI Corp [unknown %]; unknown [unknown %],,,,,2015,1200,2017,MMcf/d,12.26,197668.8,--,197.07,197.07,,,"Marcellus and Utica Shale plays, Pennsylvania",Lycoming County,,Pennsylvania,Americas,Charles County,Northern America,,Maryland,Americas,,Northern America,,,,,,--,
P0171,Gas,United States,United States,United States,https://www.gem.wiki/Constitution_Gas_Pipeline,Constitution Gas Pipeline,,,cancelled,Williams Companies (51%); Coterra Energy Inc (25%); Duke Energy (24%),Williams Companies Inc [51.00%]; Coterra Energy Inc [25.00%]; Duke Energy Corp [24.00%],2022,,,,,650,2020,MMcf/d,6.64,107070.6,--,184.47,184.47,,,Marcellus shale,Susquehanna County,,Pennsylvania,Americas,Schoharie County,Northern America,,New Jersey,Americas,,Northern America,,,,,,--,
P0172,Gas,United States,United States,United States,https://www.gem.wiki/Crossroads_Gas_Pipeline,Crossroads Gas Pipeline,,,operating,TC Energy (100%),TC Energy Corp [100.00%],1995,,,,,300,,MMcf/d,3.07,49417.2,325.09,319.39,325.09,,,,Schererville,,Indiana,Americas,Cygnet,Northern America,,Ohio,Americas,,Northern America,,,,,,--,2023-08-23
P0173,Gas,United States,United States,United States,https://www.gem.wiki/Delfin_Offshore_Pipeline,Delfin Offshore Pipeline,,,proposed,Delfin LNG LLC (100%),Talisman Global Alternative Master LP [18.50%]; Talisman Global Capital Master LP [16.30%]; Enbridge Inc [1.50%],2027,,,,,657.5,,MMcf/d,6.72,108306.03,0.21,0.5,0.21,42,in,Onshore interstate pipeline grid,UTOS Gas Pipeline,,Gulf of Mexico,Americas,High Island Offshore Gas Pipeline,Northern America,,Gulf of Mexico,Americas,Pre-FID,Northern America,,,,8000000000,USD,8000000000,2024-07-16
P0174,Gas,United States,Canada,"United States, Canada",https://www.gem.wiki/Denali_Alaskan_Natural_Gas_Pipeline,Denali Alaskan Natural Gas Pipeline,,,cancelled,BP; ConocoPhillips,BP PLC [unknown %]; ConocoPhillips Corp [unknown %],2020,,,,,4500,2011,MMcf/d,45.99,741258,1126,2627.81,1126,,,,North Slope,,Alaska,Americas,,Northern America,,Alberta,Americas,,Northern America,,,,35000000000,USD,35000000000,2023-09-14
P0175,Gas,United States,United States,United States,https://www.gem.wiki/Destin_Gas_Pipeline,Destin Gas Pipeline,,,operating,"Enbridge (33%); Third Coast Midstream, LLC (67%)",Enbridge Inc [33.00%]; ArcLight Capital Holdings LLC [unknown %]; JPMorgan Infrastructure Investments Fund [unknown %],1998,,,,,1200,,MMcf/d,12.26,197668.8,619.6,171.08,619.6,"24, 36",in,,Gulf of Mexico,,Mississippi,Americas,"Pascagoula plant, Moss Point",Northern America,,Mississippi,Americas,,Northern America,,,,386000000,USD,386000000,2023-08-23
P0176,Gas,United States,United States,United States,https://www.gem.wiki/Dominion_Gas_Pipeline,Dominion Gas Pipeline,,,operating,Dominion Energy (100%),unknown [unknown %],2001,,,,,7200,,MMcf/d,73.58,1186012.8,6059,3293.6,6059,,,,"Dominion LNG in Maryland, gas from Ohio and Virginia",,,Americas,,Northern America,,New United Kingdom,Americas,,Northern America,,,,,,--,2023-08-11
P0177,Gas,United States,United States,United States,https://www.gem.wiki/Driftwood_LNG_Pipeline,Driftwood LNG Pipeline,,,proposed,Driftwood Pipeline LLC (100%),Tellurian Inc [100.00%],2029,,,,,4000,,MMcf/d,40.88,658896,159.97,159.92,159.97,"48, 42, 36, 30",in,Onshore interstate pipeline grid,Ville Platte,,Louisiana,Americas,Carlyss,Northern America,,Louisiana,Americas,Pre-FID,Northern America,2025,,,2200000000,USD,2200000000,2024-07-23
P0178,Gas,Canada,Canada,Canada,https://www.gem.wiki/Eagle_Mountain-Woodfibre_Gas_Pipeline,Eagle Mountain-Woodfibre Gas Pipeline,,,construction,Fortis B.C. (100%),Fortis Inc [100.00%],2023,,,,,228,,MMcf/d,2.33,37557.07,47,42.86,47,24,in,,Coquitlam,,British Columbia,Americas,"Woodfibre facility, Squamish",Northern America,,,Americas,,Northern America,,,,250000000,USD,250000000,2023-09-06
P0179,Gas,United States,United States,United States,https://www.gem.wiki/East_Tennessee_Gas_Pipeline,East Tennessee Gas Pipeline,SYSTEM/NETWORK INFO,,operating,Enbridge (100%),Enbridge Inc [100.00%],1996,,,,,1860,,MMcf/d,19.01,306386.64,2456,2300.29,2456,,,,,,Tennessee,Americas,Roanoke,Northern America,,Virginia,Americas,,Northern America,,,,,,--,2023-08-11
P0180,Gas,United States,United States,United States,https://www.gem.wiki/East_Texas_Gas_Pipeline,East Texas Gas Pipeline,,,operating,ETP Legacy (100%),Energy Transfer LP [unknown %],2008,,,,,2400,,MMcf/d,24.53,395337.6,595,218.03,595,,,,,,Texas,Americas,,Northern America,,Texas,Americas,,Northern America,,,,,,--,2023-08-23
P0182,Gas,United States,United States,United States,https://www.gem.wiki/Eastern_Shore_Gas_Pipeline,Eastern Shore Gas Pipeline,,,operating,Chesapeake Utilities (100%),Chesapeake Utilities Corp [100.00%],1959,,,,,100,,MMcf/d,1.02,16472.4,732,420.84,732,,,"Transcontinental Gas Pipeline Company, Columbia Gas Transmission Company",,,Pennsylvania,Americas,,Northern America,,Delaware,Americas,,Northern America,,,,,,--,2023-08-23
P0184,Gas,United States,United States,United States,https://www.gem.wiki/El_Paso_Gas_Pipeline,El Paso Gas Pipeline,,,operating,Kinder Morgan (100%),Kinder Morgan Inc [100.00%],1997,,,,,5600,,MMcf/d,57.23,922454.4,16318.75,15647.85,16318.75,,,"San Juan, Permian and Anadarko basins",,,Texas,Americas,,Northern America,,California,Americas,,Northern America,,,,,,--,2023-08-16
P0185,Gas,United States,United States,United States,https://www.gem.wiki/AlaTenn_Gas_Pipeline,AlaTenn Gas Pipeline,,BBT AlaTenn,operating,Black Bear Transmission LLC (100%),Project Tarpon Holdco LLC [100.00%],2002,,,,,200,,MMcf/d,2.04,32944.8,475,281.7,475,16,in,,,,Tennessee,Americas,,Northern America,,"Mississippi, Alabama",Americas,,Northern America,,,,,,--,2023-08-24
P0186,Gas,United States,United States,United States,https://www.gem.wiki/KPC_Gas_Pipeline,KPC Gas Pipeline,,,operating,KPC Pipeline (100%),MV Pipelines LLC [100.00%],1995,,,,,160,,MMcf/d,1.64,26355.84,1817,250.63,1817,,,,Laverne,,Oklahoma,Americas,Wichita,Northern America,,Kansas,Americas,,Northern America,,,,,,--,2023-08-24
P0187,Gas,United States,United States,United States,https://www.gem.wiki/Midla_Natchez_Pipeline,Midla Natchez Pipeline,,Natchez Pipeline,operating,"Third Coast Midstream, LLC (100%)",ArcLight Capital Holdings LLC [unknown %]; JPMorgan Infrastructure Investments Fund [unknown %],2017,,,,,48,,MMcf/d,0.49,7906.75,83.69,82.03,83.69,12,in,,Winnsboro,,Louisiana,Americas,Natchez,Northern America,,Mississippi,Americas,,Northern America,,,,66200000,USD,66200000,2023-08-24
P0188,Gas,United States,United States,United States,https://www.gem.wiki/UTOS_Gas_Pipeline,UTOS Gas Pipeline,,U-T Offshore System,idle,Delfin LNG LLC (100%),Talisman Global Alternative Master LP [18.50%]; Talisman Global Capital Master LP [16.30%]; Enbridge Inc [1.50%],1978,,,2011,,2000,,MMcf/d,20.44,329448,46.67,50.08,46.67,42,in,"High Island Offshore Gas Pipeline and WC Blocks 130B, 116, and 61",Gulf of Mexico,,Gulf of Mexico,Americas,Johnson's Bayou,Northern America,,Louisiana,Americas,,Northern America,,,,,,--,2024-07-16
P0189,Gas,United States,United States,United States,https://www.gem.wiki/Fayetteville_Express_Gas_Pipeline,Fayetteville Express Gas Pipeline,,,operating,ETP Legacy (50%); Kinder Morgan (50%),Kinder Morgan Inc [50.00%]; Energy Transfer LP [unknown %],2010,,,,,2000,,MMcf/d,20.44,329448,297.73,279.78,297.73,42,in,Fayetteville Gas Field,Conway County,,Arkansas,Americas,Panola County,Northern America,,Mississippi,Americas,,Northern America,,,,1010000000,USD,1010000000,2023-08-24
P0190,Gas,United States,United States,United States,https://www.gem.wiki/Florida_Gas_Transmission_Pipeline,Florida Gas Transmission Pipeline,SYSTEM/NETWORK INFO,,operating,Florida Gas Transmission Company LLC (100%),Energy Transfer Partners LP [50.00%]; Kinder Morgan Inc [50.00%],1998,,,,,1059.44,,MMcf/d,10.83,174515.19,8529.52,8608.62,8529.52,,,,Port Lavaca,,Texas,Americas,Miami,Northern America,,Florida,Americas,,Northern America,,,,,,--,2022-10-11
P0191,Gas,Canada,Canada,Canada,https://www.gem.wiki/Foothills_System_Gas_Pipeline,Foothills System Gas Pipeline,,,operating,TransCanada PipeLines Limited (100%),TC Energy Corp [100.00%],1981,2006,,,,3300,,MMcf/d,33.73,543589.2,1237,932.38,1237,,,Western Canadian Sedimentary Basin (WCSB),Caroline,,Alberta,Americas,Monchy,Northern America,,Saskatchewan,Americas,,Northern America,,,,,,--,2023-09-06
P0192,Gas,United States,United States,United States,https://www.gem.wiki/Garden_Banks_Gas_Pipeline,Garden Banks Gas Pipeline,,,operating,Enbridge (100%),Enbridge Inc [100.00%],1997,,,,,1000,,MMcf/d,10.22,164724,84,628.73,84,30,in,Cardamom oil and gas field,Gulf of Mexico,,Gulf of Mexico,Americas,Gulf of Mexico,Northern America,,Gulf of Mexico,Americas,,Northern America,,,,,,--,2023-08-24
P0193,Gas,United States,United States,United States,https://www.gem.wiki/Gator_Express_Gas_Pipeline,Gator Express Gas Pipeline,Phase I,,construction,Gator Express Pipeline LLC (100%),Venture Global Holdings Inc [unknown %],2024,,,,,1970,,MMcf/d,20.13,324506.28,24.14,40.65,24.14,42,in,"Tennessee Gas Pipeline Company connections , Texas Eastern Transmission",,,Louisiana,Americas,Plaquemines LNG project,Northern America,,Louisiana,Americas,,Northern America,,,,,,--,2024-08-15
P0194,Gas,Canada,United States,"Canada, United States",https://www.gem.wiki/Great_Lakes_Gas_Transmission_Pipeline,Great Lakes Gas Transmission Pipeline,,,operating,"TC Energy (53.55%); TC PipeLines, LP (46.45%)",TC Energy Corp [100.00%],1967,,,,,2400,,MMcf/d,24.53,395337.6,3403.76,1616.57,3403.76,,,,Emerson,Manitoba,,Americas,,Northern America,,"Minnesota, Wisconsin, Michigan, Eastern Canada",Americas,,Northern America,,,,,,--,2023-08-24
P0195,Gas,United States,United States,United States,https://www.gem.wiki/Guardian_Gas_Pipeline,Guardian Gas Pipeline,,,operating,OneOK Inc (100%),ONEOK Inc [100.00%],2002,,,,,750,,MMcf/d,7.67,123543,228.53,183.92,228.53,"16, 36",in,,Joliet,,Illinois,Americas,Ixonia,Northern America,,Wisconsin,Americas,,Northern America,,,,238000000,USD,238000000,2023-08-24
P0196,Gas,United States,United States,United States,https://www.gem.wiki/Gulf_Crossing_Pipeline,Gulf Crossing Pipeline,,,operating,Boardwalk Pipeline Partners (100%),Loews Corp [100.00%],2009,,,,,1726,,MMcf/d,17.64,284313.62,568.1,459.81,568.1,42,in,"Barnett Shale, Texas; Caney/Woodford Shale, Oklahoma",Sherman,,Texas,Americas,Perryville,Northern America,,Louisiana,Americas,,Northern America,,,,121000000,USD,121000000,2023-08-24
P0197,Gas,United States,United States,United States,https://www.gem.wiki/Gulf_South_Gas_Pipeline,Gulf South Gas Pipeline,,,operating,Boardwalk Pipeline Partners (100%),Loews Corp [100.00%],2008,,,,,2700,,MMcf/d,27.59,444754.8,12070.08,10034.91,12070.08,,,,,,Texas,Americas,,Northern America,,"Louisiana, Alabama, Mississippi, Florida",Americas,,Northern America,,,,,,--,2023-08-03
P0198,Gas,United States,United States,United States,https://www.gem.wiki/Gulf_South_Gas_Pipeline,Gulf South Gas Pipeline,Coastal Bend Header Pipeline,,operating,Boardwalk Pipeline Partners (100%),Loews Corp [100.00%],2018,,,,,1420,,MMcf/d,14.51,233908.08,104.61,72.42,104.61,"36, 42",in,,Wharton and Brazoria Counties,,Texas,Americas,Wharton and Brazoria Counties,Northern America,,Texas,Americas,,Northern America,,,,545000000,USD,545000000,2023-08-24
P0199,Gas,United States,United States,United States,https://www.gem.wiki/Gulfstream_Natural_Gas_Pipeline,Gulfstream Natural Gas Pipeline,,,operating,Williams Companies (50%); Enbridge (50%),Enbridge Inc [50.00%]; Williams Companies Inc [50.00%],2002,,,,,1310,,MMcf/d,13.39,215788.44,1199,1127.47,1199,,,,Mobile County,,Alabama,Americas,,Northern America,,Florida,Americas,,Northern America,,,,,,--,2022-10-11
P0200,Gas,United States,United States,United States,https://www.gem.wiki/High_Island_Offshore_Gas_Pipeline_System,High Island Offshore Gas Pipeline System,,,operating,Genesis Energy (100%),Genesis Energy LP [100.00%],1978,,,,,2000,,MMcf/d,20.44,329448,383.02,523.84,383.02,"42,36,30",in,Gulf of Mexico,Gulf of Mexico,,Gulf of Mexico,Americas,"Gulf of Mexico, UTOS Gas Pipeline",Northern America,,Gulf of Mexico,Americas,,Northern America,,,,353000000,USD,353000000,2024-07-16
P0201,Gas,United States,United States,United States,https://www.gem.wiki/Horizon_Gas_Pipeline,Horizon Gas Pipeline,,,operating,Natural Gas Pipeline Co of America LLC (NGPL) (50%); Nicor Gas (50%),Southern Co [50.00%]; Kinder Morgan Inc [18.75%]; Brookfield Corp [3.90%]; Royal Bank of Canada [1.15%]; The Capital Group Companies Inc [0.95%]; Bank of Montreal [0.80%]; 1832 Asset Management LP [0.70%]; ArcLight Capital Holdings LLC [unknown %],2002,,,,,380,,MMcf/d,3.88,62595.12,117,104.34,117,36,in,,Joliet,,Illinois,Americas,McHenry County,Northern America,,Illinois,Americas,,Northern America,,,,75000000,USD,75000000,2023-08-25
P0202,Gas,Canada,Canada,Canada,https://www.gem.wiki/Horn_River_Gas_Pipeline,Horn River Gas Pipeline,,,cancelled,TC Energy (100%),TC Energy Corp [100.00%],,,,,,1000,2013,MMcf/d,10.22,164724,100,669.97,100,,,Horn River play,Horn River Basin,,British Columbia,Americas,B.C. coast,Northern America,,British Columbia,Americas,,Northern America,,,,,,--,2023-09-06
P0203,Gas,United States,United States,United States,https://www.gem.wiki/Houston_Gas_Pipeline_(HPL)_System,Houston Gas Pipeline (HPL) System,,,operating,ETP Legacy (100%),Energy Transfer LP [unknown %],,,,,,5300,,MMcf/d,54.17,873037.2,6115.51,2024.15,6115.51,,,,Multiple,,Texas,Americas,Multiple,Northern America,,Texas,Americas,,Northern America,,,,,,--,2023-08-25
P0204,Gas,United States,United States,United States,https://www.gem.wiki/Independence_Trail_Natural_Gas_Pipeline,Independence Trail Natural Gas Pipeline,,,operating,Enterprise Products Partners (100%),Enterprise Products Partners LP [100.00%],2007,,,,,1000,,MMcf/d,10.22,164724,222.09,154.06,222.09,24,in,West Delta Block 68,West Delta Block 68,,Gulf of Mexico,Americas,Mississippi Canyon Block 920,Northern America,,Gulf of Mexico,Americas,,Northern America,,,,,,--,2023-08-25
P0205,Gas,Canada,United States,United States,https://www.gem.wiki/Iroquois_Gas_Pipeline,Iroquois Gas Pipeline,,,operating,Iroquois Pipeline Co (100%),Iroquois Gas Transmission System LP [100.00%],1992,,,,,500,,MMcf/d,5.11,82362,669,661.21,669,,,Canadian Mainline,Waddington,,New York,Americas,Bronx,Northern America,,New York,Americas,,Northern America,,,,,,--,2022-10-11
P0207,Gas,United States,United States,United States,https://www.gem.wiki/Kern_River_Gas_Pipeline,Kern River Gas Pipeline,,,operating,Kern River Gas Transmission Company (100%),Berkshire Hathaway Inc [91.10%]; unknown [8.90%],1991,,,,,2170,,MMcf/d,22.18,357451.08,2763.24,1243.02,2763.24,"36, 42",in,,Opal,,Wyoming,Americas,Daggett,Northern America,,California,Americas,,Northern America,,,,,,--,2023-08-08
