year,reporter,reporter_name,partner,partner_name,flow,flow_name,product_code,product_name,trade_value_raw_usd
2004,JPN,Japan,MNG,Mongolia,X,Export,2711,Petroleum gases and other gaseous hydrocarbons,4153.0
2004,JPN,Japan,MNP,N. Mariana Isds,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",25592.0
2004,JPN,Japan,MNP,N. Mariana Isds,X,Export,2711,Petroleum gases and other gaseous hydrocarbons,3746.0
2004,JPN,Japan,MUS,Mauritius,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",27380.0
2004,JPN,Japan,MUS,Mauritius,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",29948.0
2004,JPN,Japan,MYS,Malaysia,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",1085858.0
2004,JPN,Japan,MYS,Malaysia,X,Export,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",26776.0
2004,JPN,Japan,MYS,Malaysia,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,354829547.0
2004,JPN,Japan,MYS,Malaysia,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",488353593.0
2004,JPN,Japan,MYS,Malaysia,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",7148737.0
2004,JPN,Japan,MYS,Malaysia,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,3192094877.0
2004,JPN,Japan,MYS,Malaysia,X,Export,2711,Petroleum gases and other gaseous hydrocarbons,64466.0
2004,JPN,Japan,NER,Niger,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,24074920.0
2004,JPN,Japan,NGA,Nigeria,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1333020044.0
2004,JPN,Japan,NGA,Nigeria,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,72044069.0
2004,JPN,Japan,NLD,Netherlands,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",12942822.0
2004,JPN,Japan,NLD,Netherlands,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",1563395.0
2004,JPN,Japan,NOR,Norway,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,40445227.0
2004,JPN,Japan,NOR,Norway,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",16999530.0
2004,JPN,Japan,NOR,Norway,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",77581.0
2004,JPN,Japan,NZL,New Zealand,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",73076489.0
2004,JPN,Japan,NZL,New Zealand,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",59952636.0
