source,target,weight,data_source
ABW,BEL,2.076,import_reported
ABW,CUW,9281.564,export_mirrored
ABW,GRD,46092.596,import_reported
ABW,GUY,8417369.807,import_reported
ABW,JOR,99957.746,import_reported
ABW,KOR,17866.0,import_reported
ABW,NLD,209.766,import_reported
ABW,THA,959.501,import_reported
ABW,USA,134.078,export_mirrored
ABW,_X ,57364.245,export_mirrored
BEL,AFG,5456.719,export_mirrored
BEL,AGO,138827315.59600002,import_reported
BEL,ALB,2826274.973,import_reported
BEL,AND,56.342,import_reported
BEL,ARE,39733790.370000005,import_reported
BEL,ARG,67826431.52,import_reported
BEL,ARM,1498917.44,import_reported
BEL,ATG,11.991,export_mirrored
BEL,AUS,10499652.09,import_reported
BEL,AUT,106688147.57,import_reported
BEL,AZE,23332850.75,import_reported
BEL,BDI,97561.981,export_mirrored
BEL,BEN,17322488.851,import_reported
BEL,BFA,153409654.1,import_reported
BEL,BGD,785896.006,export_mirrored
BEL,BGR,26139888.892,import_reported
BEL,BHR,1734224.527,import_reported
BEL,BHS,128691.0,import_reported
BEL,BIH,7939842.314,import_reported
BEL,BLM,0.249,export_mirrored
BEL,BLR,3405909.889,export_mirrored
BEL,BMU,1215.778,export_mirrored
BEL,BOL,133778819.0,import_reported
BEL,BRA,312317487.0,import_reported
BEL,BRB,1240.496,export_mirrored
BEL,BRN,247238.508,import_reported
BEL,BWA,3274.241,import_reported
BEL,CAN,438080883.291,import_reported
BEL,CHE,430583705.083,import_reported
BEL,CHL,5060691.441000001,import_reported
BEL,CHN,11154885.0,import_reported
BEL,CIV,486936615.027,import_reported
BEL,CMR,233000968.931,import_reported
BEL,COD,1064616875.92,import_reported
BEL,COG,251163.206,export_mirrored
BEL,COL,225654971.39,import_reported
BEL,COM,1001.19,export_mirrored
BEL,CPV,24325570.36,import_reported
BEL,CRI,66368291.4,import_reported
BEL,CUB,5651776.544,export_mirrored
BEL,CYP,22380503.37,import_reported
BEL,CZE,79583461.0,import_reported
BEL,DEU,6179864810.17,import_reported
BEL,DJI,3281.553,export_mirrored
BEL,DNK,211647355.30600002,import_reported
BEL,DOM,36950911.51,import_reported
BEL,DZA,16853134.29,export_mirrored
BEL,ECU,1748482.9,import_reported
BEL,EGY,148250000.0,import_reported
BEL,ESH,5174.746,export_mirrored
BEL,ESP,538384078.063,import_reported
BEL,EST,8369524.26,import_reported
BEL,ETH,235076.479,import_reported
BEL,FIN,156029482.784,import_reported
BEL,FRA,4739596405.905,import_reported
BEL,FRO,1518348.829,export_mirrored
BEL,GAB,24914916.49,import_reported
BEL,GBR,2034626138.6100001,import_reported
BEL,GEO,4846232.837,import_reported
BEL,GHA,323776639.3,import_reported
BEL,GIB,40066129.28,export_mirrored
BEL,GIN,253262130.234,export_mirrored
BEL,GMB,64432081.8,import_reported
BEL,GNB,69253.482,export_mirrored
BEL,GNQ,903991.473,export_mirrored
BEL,GRC,43149329.372,import_reported
BEL,GRL,154881.696,export_mirrored
BEL,GTM,2202779.0,import_reported
BEL,GUY,2886115.817,import_reported
BEL,HKG,1231017.161,import_reported
BEL,HND,496353.52999999997,import_reported
BEL,HRV,22340948.0,import_reported
BEL,HTI,40200.313,export_mirrored
BEL,HUN,36848468.0,import_reported
BEL,IDN,8228246.0,import_reported
BEL,IND,72908254.37,import_reported
BEL,IRL,309642830.959,import_reported
BEL,IRN,3096.624,export_mirrored
BEL,IRQ,1081445.992,export_mirrored
BEL,ISL,10156587.96,import_reported
BEL,ISR,20718000.0,import_reported
BEL,ITA,356516977.1190001,import_reported
BEL,JAM,979593.65,import_reported
BEL,JOR,1248464.461,import_reported
BEL,JPN,3297799.219,import_reported
BEL,KAZ,41118112.99,import_reported
BEL,KEN,2536524.309,import_reported
BEL,KGZ,8846535.0,import_reported
BEL,KHM,761.32,import_reported
BEL,KOR,105194062.0,import_reported
BEL,KWT,20317392.682,import_reported
BEL,LAO,8878.73,import_reported
BEL,LBN,4097120.0,import_reported
BEL,LBR,122794.92,import_reported
BEL,LBY,249626451.7,export_mirrored
BEL,LCA,20973.886,export_mirrored
BEL,LKA,94005.561,import_reported
BEL,LTU,66783442.0,import_reported
BEL,LUX,1368876444.674,import_reported
BEL,LVA,4041273.905,import_reported
BEL,MAC,23374.411,import_reported
BEL,MAR,16412351.221,import_reported
BEL,MDA,1881430.0,import_reported
BEL,MDG,1674584.58,import_reported
BEL,MDV,81164.78,import_reported
BEL,MEX,4712617.0,import_reported
BEL,MKD,3086850.3559999997,import_reported
BEL,MLI,507567.926,export_mirrored
BEL,MLT,838176.728,import_reported
BEL,MMR,54385.09,import_reported
BEL,MNE,3393170.977,import_reported
BEL,MNG,5269542.097,export_mirrored
BEL,MOZ,968000.0,import_reported
BEL,MRT,346816623.2,import_reported
BEL,MSR,33.919,import_reported
BEL,MUS,289883.289,import_reported
BEL,MWI,35507.18,import_reported
BEL,MYS,8512560.003999999,import_reported
BEL,NAM,1667468.474,import_reported
BEL,NCL,833806.337,export_mirrored
BEL,NER,1105355.678,import_reported
BEL,NGA,5778422270.013,import_reported
BEL,NIC,141352.78,import_reported
BEL,NLD,9256097224.4,import_reported
BEL,NOR,503241331.92700005,import_reported
BEL,NPL,38301.962,export_mirrored
BEL,NZL,6471508.303,import_reported
BEL,OMN,18790244.44,import_reported
BEL,PAK,52348912.85,import_reported
BEL,PAN,340791.0,import_reported
BEL,PER,6810042.1,import_reported
BEL,PHL,860641.0,import_reported
BEL,POL,562678981.0,import_reported
BEL,PRT,91893477.777,import_reported
BEL,PRY,91380226.81,import_reported
BEL,PSE,3152145.315,import_reported
BEL,PYF,465145.357,export_mirrored
BEL,QAT,10869367.712,import_reported
BEL,ROU,64536945.31,import_reported
BEL,RUS,417377.159,export_mirrored
BEL,RWA,207415.715,export_mirrored
BEL,S19,2453121.275,import_reported
BEL,SAU,198251261.966,import_reported
BEL,SDN,6432.586,export_mirrored
BEL,SEN,484376605.189,import_reported
BEL,SGP,182090566.467,import_reported
BEL,SGS,145.106,export_mirrored
BEL,SLE,13716664.05,export_mirrored
BEL,SLV,2208644.78,import_reported
BEL,SRB,33873858.0,import_reported
BEL,SSD,877.017,export_mirrored
BEL,SUR,3688.13,import_reported
BEL,SVK,10066077.787,import_reported
BEL,SVN,93914634.87,import_reported
BEL,SWE,363704822.691,import_reported
BEL,SWZ,570112.19,import_reported
BEL,SXM,93.422,export_mirrored
BEL,SYC,13113.05,import_reported
BEL,SYR,63511.416,export_mirrored
BEL,TCD,510202.243,export_mirrored
BEL,TGO,12864772.83,import_reported
BEL,THA,3345329.371,import_reported
BEL,TJK,36068.0,import_reported
BEL,TKM,186577.928,export_mirrored
BEL,TLS,148.37,import_reported
BEL,TTO,38163038.94,import_reported
BEL,TUN,22746184.089999996,import_reported
BEL,TUR,78665256.0,import_reported
BEL,TZA,577480.71,import_reported
BEL,UGA,726268.69,import_reported
BEL,UKR,33806302.44,import_reported
BEL,URY,611963.33,import_reported
BEL,USA,1523999505.0,import_reported
