country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,15,20,63020828.396,123799652.30600002,186820480.70200002
BHR,Bahrain,Middle_East,66,58,12873243543.692001,5422147218.816,18295390762.508003
COL,Colombia,Latin_America,83,64,22802609755.539,4483168841.016001,27285778596.555
CRI,Costa Rica,Other,29,53,2021644.1799999997,1631103029.7489998,1633124673.929
CUW,Cura_o,Other,25,24,37235793.19800001,186646211.248,223882004.446
DOM,Dominican Rep.,Other,41,65,536157114.628,3819320563.423,4355477678.051
GUY,Guyana,Other,7,38,327929.045,619487804.016,619815733.061
JOR,Jordan,Other,28,58,120893529.073,3457358531.3400006,3578252060.4130006
MYS,Malaysia,Asia_Pacific,133,84,50704384598.432976,29172592431.854008,79876977030.28699
NLD,Netherlands,Europe,190,138,72138423874.078,69016497778.342,141154921652.41998
PAN,Panama,Other,55,73,1011374532.762,2503927326.96,3515301859.722
SUR,Suriname,Other,10,43,130100730.427,189680270.16799998,319781000.59499997
USA,USA,North_America,193,135,162129643902.0199,138761846016.039,300891489918.0589
VEN,Venezuela,Latin_America,25,39,16464643603.262999,959138025.692,17423781628.954998
YEM,Yemen,Other,9,42,1073158481.4849999,1349427672.02,2422586153.505
_X ,"Areas, nes",Other,69,63,19001591370.060997,41472159831.50201,60473751201.563
AFG,Afghanistan,Other,8,36,91975747.16199999,1175581861.8329997,1267557608.9949996
ARE,United Arab Emirates,Middle_East,168,115,93261297245.71703,31184469021.576996,124445766267.29402
CHL,Chile,Latin_America,40,64,801601927.007,11598690512.184004,12400292439.191004
CYP,Cyprus,Other,45,72,985665530.2609998,1753815595.1790004,2739481125.44
ESP,Spain,Europe,163,117,15090874882.142998,47599297886.258026,62690172768.401024
MLI,Mali,Other,17,49,6831045.474,1393448398.9529998,1400279444.4269998
PAK,Pakistan,Other,41,76,465275421.97000015,14224768899.232998,14690044321.202997
UZB,Uzbekistan,Former_USSR,17,52,2164139051.823,745097194.473,2909236246.296
AGO,Angola,Africa,39,63,12576154202.773,1967770243.835001,14543924446.608002
BEL,Belgium,Europe,188,115,35109608253.575,34727780768.73601,69837389022.311
BRA,Brazil,Latin_America,146,75,12173254446.670996,24361457353.312,36534711799.982994
BRN,Brunei Darussalam,Other,29,49,6337053465.956001,1615383576.9389994,7952437042.895
CAN,Canada,North_America,160,114,31692617251.257,31583845311.173996,63276462562.431
CHN,China,Asia_Pacific,197,111,30757105726.64198,187583169177.095,218340274903.73697
COD,Dem. Rep. of the Congo,Other,26,65,648044588.2460002,347487949.0670001,995532537.3130002
COG,Congo,Other,29,48,7744613527.223,89056485.908,7833670013.131
FRA,France,Europe,190,138,10508224101.308998,63549893665.94001,74058117767.24901
GBR,United Kingdom,Europe,182,113,34347001642.769993,56021166932.89601,90368168575.666
GRC,Greece,Other,156,86,8321055797.369998,16043146640.457994,24364202437.82799
IDN,Indonesia,Asia_Pacific,97,64,36292567173.73599,22399216303.739998,58691783477.47599
