country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
A59,"North America and Central America, nes",Other,1,2,5948.0,12125516956.0,12125522904.0
BGD,Bangladesh,Other,7,42,16282207.0,371504451.0,387786658.0
A79,"LAIA, nes",Other,1,3,50583.0,1332389856.0,1332440439.0
ABW,Aruba,Other,14,9,1144892262.841,74635470.0,1219527732.841
BRA,Brazil,Latin_America,69,68,1950877615.808,8067882991.786,10018760607.594
COL,Colombia,Latin_America,54,44,4962146952.167,176047980.11,5138194932.276999
ESP,Spain,Europe,135,86,3357931862.7720003,16875933131.156,20233864993.928
FRA,France,Europe,177,112,4113281770.283,27148835640.028,31262117410.311
GBR,United Kingdom,Europe,175,105,21025403948.109,14245464513.86,35270868461.969
GTM,Guatemala,Other,11,43,108799710.0,753641959.0,862441669.0
GUY,Guyana,Other,6,25,25925.0,129378553.0,129404478.0
HND,Honduras,Other,9,48,3297527.91,403903432.24,407200960.15000004
IRN,Iran,Middle_East,78,46,26025969322.997997,522702108.0,26548671430.997997
MEX,Mexico,North_America,86,66,13465742955.955,4971866815.0,18437609770.955
NIC,Nicaragua,Other,11,37,36951144.0,299541489.0,336492633.0
PAN,Panama,Other,33,62,138572005.912,805561701.21,944133707.122
USA,USA,North_America,185,121,11131112218.139002,117999665490.415,129130777708.554
VEN,Venezuela,Latin_America,71,50,23401362895.676,520120808.79,23921483704.466
AFG,Afghanistan,Other,3,13,2191461.702,6105020.0,8296481.702
IDN,Indonesia,Asia_Pacific,64,47,15490569695.53,5448647748.0,20939217443.53
VCT,Saint Vincent and the Grenadines,Other,5,37,3470.0,38016123.462,38019593.462
AGO,Angola,Africa,22,25,5940302274.43,107799111.265,6048101385.695001
BEN,Benin,Other,6,32,10582682.957,77578811.0,88161493.957
BFA,Burkina Faso,Other,18,49,6696142.0,196620686.491,203316828.491
CAN,Canada,North_America,124,84,31800040546.058,10891386094.726,42691426640.784
CHN,China,Asia_Pacific,137,78,6305837916.120999,16878355841.54,23184193757.661
CPV,Cabo Verde,Other,1,24,97.0,15266619.321,15266716.321
DEU,Germany,Europe,172,94,7587461354.973999,40484826431.721,48072287786.695
ITA,Italy,Europe,161,92,4669290423.577999,19644330684.023003,24313621107.601
JPN,Japan,Asia_Pacific,146,81,1136882509.848,69682383458.685,70819265968.533
KOR,Rep. of Korea,Asia_Pacific,109,81,8003232751.297001,33573678490.0,41576911241.297
NAM,Namibia,Other,19,20,6888220.5879999995,159424860.56399998,166313081.15199998
NLD,Netherlands,Europe,162,92,18686303734.522,18086462726.23,36772766460.752
PRT,Portugal,Other,62,58,400987031.98300004,3718666630.83,4119653662.8129997
S19,"Other Asia, nes",Other,95,59,1703645157.342,11754255974.0,13457901131.342
STP,Sao Tome and Principe,Other,0,19,0.0,5324604.767,5324604.767
THA,Thailand,Asia_Pacific,69,71,1652985032.525,7365067426.0,9018052458.525
ZAF,South Africa,Africa,116,66,4130058951.1150007,3693715554.935,7823774506.050001
AIA,Anguilla,Other,6,11,424188.709,6496103.0,6920291.709
ANT,Netherlands Antilles (...2010),Other,35,30,1176002058.159,2759791369.836,3935793427.995
AZE,Azerbaijan,Former_USSR,45,33,1622422312.369,188387194.82999998,1810809507.199
FJI,Fiji,Other,8,19,5265312.0,66337117.0,71602429.0
MWI,Malawi,Other,6,21,1100096.257,88832759.94999999,89932856.20699999
VGB,Br. Virgin Isds,Other,6,14,79828579.0,3456122667.0,3535951246.0
ALB,Albania,Other,10,33,3705705.5609999998,73154414.0,76860119.561
AUT,Austria,Other,112,57,484634472.262,3118367867.65,3603002339.912
GRC,Greece,Other,130,68,1017587399.79,4261104352.407,5278691752.1970005
MAR,Morocco,Other,25,44,337745529.094,1886998553.0759995,2224744082.1699996
MKD,North Macedonia,Other,32,32,8253376.15,247066601.00999996,255319977.15999997
SCG,Serbia and Montenegro (...2005),Other,22,60,37539119.55199999,883592653.15,921131772.702
AND,Andorra,Other,4,14,2852942.59,46391860.0,49244802.59
PER,Peru,Latin_America,42,46,415223649.0,943975795.0,1359199444.0
PNG,Papua New Guinea,Other,6,48,1041051318.0,293961729.94,1335013047.94
AUS,Australia,Asia_Pacific,119,58,17259947164.798004,5415852656.3029995,22675799821.101006
BEL,Belgium,Europe,168,86,6156712671.026001,14527929517.418,20684642188.444
BHS,Bahamas,Other,22,45,208916897.07,394245802.946,603162700.016
BRB,Barbados,Other,24,36,173202991.0,126870864.103,300073855.103
CRI,Costa Rica,Other,46,37,36431759.169,451377440.0,487809199.169
CUB,Cuba,Other,10,35,95728192.0,972149472.0,1067877664.0
