source,target,weight,data_source
ABW,BHS,752880.0,import_reported
ABW,CAN,18542479.76,import_reported
ABW,COL,17682300.0,import_reported
ABW,DOM,63952164.78,import_reported
ABW,ECU,3388743.0,import_reported
ABW,HND,533352.0,import_reported
ABW,IND,3175248.0,import_reported
ABW,KWT,1475.909,import_reported
ABW,MMR,8264.99,import_reported
ABW,NIC,3025906.05,import_reported
ABW,NLD,150.45,import_reported
ABW,SDN,1806433.0,import_reported
ABW,SEN,1191374.0,import_reported
ABW,SLV,2506254.85,import_reported
ABW,USA,340746.0,import_reported
ABW,VEN,29617.3,export_mirrored
ABW,_X ,68766.32,export_mirrored
BHS,BEL,5268.577,import_reported
BHS,CHN,32074341.0,import_reported
BHS,COL,11258532.0,import_reported
BHS,DEU,157856.215,import_reported
BHS,DOM,47292294.63,import_reported
BHS,ESP,958.48,import_reported
BHS,FRA,2595299.0,import_reported
BHS,GBR,15.0,export_mirrored
BHS,IND,35781.0,import_reported
BHS,JAM,29894879.0,import_reported
BHS,JPN,26446065.0,import_reported
BHS,MOZ,2801007.32,import_reported
BHS,MYS,6167574.0,import_reported
BHS,NAM,18612529.0,import_reported
BHS,NLD,300.901,import_reported
BHS,PER,46878341.099999994,import_reported
BHS,SGP,1.448,import_reported
BHS,TCA,6438277.0,export_mirrored
BHS,USA,22793795.0,import_reported
BHS,ZAF,34134.606,import_reported
BHS,_X ,332.0,export_mirrored
CAN,AGO,5718.66,import_reported
CAN,ALB,76511.0,import_reported
CAN,ARE,727493.353,import_reported
CAN,ARG,17283150.78,import_reported
CAN,ARM,293.0,import_reported
CAN,ASM,417.281,export_mirrored
CAN,ATA,240.71,export_mirrored
CAN,ATG,174.0,import_reported
CAN,AUS,1787217.0,import_reported
CAN,AUT,236600.134,import_reported
CAN,AZE,1197995.37,import_reported
CAN,BDI,15366.0,import_reported
CAN,BEL,5621552.62,import_reported
CAN,BEN,2154.292,import_reported
CAN,BFA,79945.0,import_reported
CAN,BGD,1595.932,export_mirrored
CAN,BGR,3504.109,import_reported
CAN,BHR,84054.007,import_reported
CAN,BHS,482262.0,import_reported
CAN,BIH,51281.0,import_reported
CAN,BLR,71500.0,import_reported
CAN,BLZ,4238.0,import_reported
CAN,BMU,72814.0,import_reported
CAN,BOL,24584.92,import_reported
CAN,BRA,114036621.0,import_reported
CAN,BRB,31445.0,import_reported
CAN,BRN,1897.0,import_reported
CAN,BWA,378.0,import_reported
CAN,CHE,1489329.835,import_reported
CAN,CHL,54573319.575,import_reported
CAN,CHN,550796837.0,import_reported
CAN,CIV,83557.596,import_reported
CAN,CMR,7570.0,import_reported
CAN,COD,27839.074,import_reported
CAN,COL,2239355.0,import_reported
CAN,CRI,1834077.0,import_reported
CAN,CUB,476768.70999999996,import_reported
CAN,CUW,6782.145,export_mirrored
CAN,CYM,2650.832,export_mirrored
CAN,CYP,2643.284,import_reported
CAN,CZE,2207168.0,import_reported
CAN,DEU,170200183.01,import_reported
CAN,DNK,66025793.150000006,import_reported
CAN,DOM,357217.455,import_reported
CAN,DZA,137007.0,import_reported
CAN,ECU,70511.0,import_reported
CAN,EGY,31417175.26,import_reported
CAN,ESP,119650101.318,import_reported
CAN,EST,216452.11,import_reported
CAN,FIN,117975888.0,import_reported
CAN,FJI,2783.029,import_reported
CAN,FRA,177296468.0,import_reported
CAN,GAB,3423.895,import_reported
CAN,GBR,456076626.0,import_reported
