country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
A59,"North America and Central America, nes",Other,1,2,795.0,14138298990.0,14138299785.0
BGD,Bangladesh,Other,6,50,19030105.0,606712547.0,625742652.0
ABW,Aruba,Other,16,10,935699721.041,219710053.949,1155409774.99
BEL,Belgium,Europe,167,83,7369209658.154001,14790531803.292,22159741461.446
BRA,Brazil,Latin_America,74,74,2456075392.25,7174529797.0,9630605189.25
CAN,Canada,North_America,128,78,28672883022.211,10271701208.42,38944584230.631
CRI,Costa Rica,Other,33,46,37228454.93,459533681.0,496762135.93
ECU,Ecuador,Latin_America,27,39,2256025454.13,220881601.0,2476907055.13
ESP,Spain,Europe,147,96,2813511356.1919994,17437306162.102,20250817518.294
FRA,France,Europe,178,116,3637985612.0209994,26894069502.934,30532055114.954998
GBR,United Kingdom,Europe,166,94,20758147827.756,14410589619.373,35168737447.129
HND,Honduras,Other,11,46,3493009.62,389541504.177,393034513.797
MEX,Mexico,North_America,81,54,15516477800.353,4168676700.0,19685154500.353
MLT,Malta,Other,26,54,222259416.788,330011333.181,552270749.969
NIC,Nicaragua,Other,10,40,7532197.36,272062080.29499996,279594277.655
NLD,Netherlands,Europe,166,90,18326248476.088997,18192463439.6,36518711915.688995
PAN,Panama,Other,40,60,129978724.05399999,713974948.48,843953672.534
SLV,El Salvador,Other,12,40,18286857.1,473707580.9699999,491994438.06999993
USA,USA,North_America,185,119,10601828125.738,117845226859.45999,128447054985.198
AFG,Afghanistan,Other,3,21,5752.0,12803102.242,12808854.242
DMA,Dominica,Other,3,18,2269.0,10910633.0,10912902.0
TUN,Tunisia,Other,52,41,631635508.704,864090171.0,1495725679.704
AGO,Angola,Africa,25,25,7338437287.299999,40983089.127000004,7379420376.426999
AUT,Austria,Other,115,64,632613962.4280001,3273381426.01,3905995388.438
CHN,China,Asia_Pacific,143,88,7073593565.422999,18480709427.0,25554302992.423
CIV,C_e d'Ivoire,Other,70,51,713986472.878,537118097.0,1251104569.878
CPV,Cabo Verde,Other,2,26,4908107.0,22839473.871,27747580.871
DEU,Germany,Europe,176,95,8296425635.82,39098824034.964,47395249670.784
ITA,Italy,Europe,162,90,4225034831.558,19735018362.042,23960053193.6
