source,target,weight,data_source
ABW,ARG,21878326.0,import_reported
ABW,BEL,14156063.0,import_reported
ABW,BOL,17473.0,import_reported
ABW,BRA,103534085.0,import_reported
ABW,CAN,30951045.0,import_reported
ABW,CRI,62204540.0,import_reported
ABW,DEU,5310000.0,import_reported
ABW,ESP,23162816.78,import_reported
ABW,FRA,114298123.0,import_reported
ABW,GBR,25023531.0,import_reported
ABW,GTM,12739739.0,import_reported
ABW,GUY,478899.0,import_reported
ABW,HND,1371670.0,import_reported
ABW,MEX,71381311.0,import_reported
ABW,NLD,9118633.0,import_reported
ABW,PAN,16161090.0,import_reported
ABW,SLV,5465418.29,import_reported
ABW,SUR,358829.0,import_reported
ABW,TTO,51049738.0,import_reported
ABW,USA,1818237618.0,import_reported
ABW,YEM,2697.0,import_reported
ARG,AGO,3756161.01,import_reported
ARG,ANT,40113851.0,export_mirrored
ARG,ARM,190.0,import_reported
ARG,AUS,20.0,export_mirrored
ARG,BEL,30373.0,import_reported
ARG,BHS,7553.0,import_reported
ARG,BOL,77453291.0,import_reported
ARG,BRA,1148315441.0,import_reported
ARG,CHE,202.903,import_reported
ARG,CHL,2251069151.9399996,import_reported
ARG,CHN,205220977.0,import_reported
ARG,CIV,730650.0,export_mirrored
ARG,COL,314635.0,import_reported
ARG,CPV,2743.0,import_reported
ARG,CRI,198001.0,import_reported
ARG,CUB,1072878.0,import_reported
ARG,CYP,2584140.0,export_mirrored
ARG,DEU,6685000.0,import_reported
ARG,DJI,1070.0,export_mirrored
ARG,DNK,56.0,import_reported
ARG,DOM,393028.883,import_reported
ARG,ECU,15442616.0,import_reported
ARG,ESP,13270379.027999999,import_reported
ARG,FRA,4615015.0,import_reported
ARG,GBR,1654.0,import_reported
ARG,GHA,1092569.0,export_mirrored
ARG,GTM,7269781.0,export_mirrored
ARG,HKG,733389.0,export_mirrored
ARG,HND,5409585.0,import_reported
ARG,IND,3931820.0,import_reported
ARG,ISR,1334.0,export_mirrored
ARG,ITA,188.0,export_mirrored
ARG,JPN,15855814.0,import_reported
ARG,KOR,41671929.0,import_reported
ARG,MAR,2882847.989,import_reported
ARG,MEX,45607447.0,import_reported
ARG,NGA,38898428.0,export_mirrored
ARG,NLD,2151032.0,export_mirrored
ARG,PAN,148607.0,import_reported
ARG,PER,12336453.0,import_reported
ARG,PHL,1053.0,import_reported
ARG,POL,67.0,export_mirrored
ARG,PRY,368881731.0,import_reported
ARG,SLV,23626284.52,import_reported
ARG,SVN,345.0,import_reported
ARG,SWE,409.0,import_reported
ARG,TUR,310.0,import_reported
ARG,URY,63795884.0,import_reported
ARG,USA,1680120080.0,import_reported
ARG,VEN,225396.0,import_reported
ARG,VNM,51.0,export_mirrored
BEL,AGO,134707.473,import_reported
BEL,ALB,52744.0,import_reported
BEL,ANT,14608.0,export_mirrored
BEL,ARE,3723716.0,import_reported
BEL,ARG,2683972.0,import_reported
BEL,ARM,86237.0,import_reported
BEL,AUS,4206821.0,import_reported
BEL,AUT,131159053.0,import_reported
BEL,AZE,6062733.0,import_reported
BEL,BDI,31683.0,import_reported
BEL,BEN,1778552.0,import_reported
BEL,BFA,249359.0,import_reported
BEL,BGD,189318.0,import_reported
BEL,BGR,4360779.0,import_reported
BEL,BHR,729972.0,import_reported
BEL,BIH,790133.0,import_reported
BEL,BLR,4207000.0,import_reported
BEL,BOL,2902.0,import_reported
BEL,BRA,7246230.0,import_reported
BEL,BRB,61946.0,import_reported
BEL,BRN,393.0,import_reported
BEL,CAF,212247.0,import_reported
BEL,CAN,57623078.0,import_reported
BEL,CHE,344254849.103,import_reported
BEL,CHL,814980.59,import_reported
BEL,CHN,10067770.0,import_reported
BEL,CIV,1826852.0,import_reported
BEL,CMR,2091833.0,import_reported
BEL,COD,779948.0,export_mirrored
BEL,COG,50250.0,export_mirrored
BEL,COL,769473.0,import_reported
BEL,CPV,1312613.0,import_reported
BEL,CRI,116431.0,import_reported
BEL,CUB,2138009.0,import_reported
BEL,CYP,10503678.0,import_reported
BEL,CZE,12579295.0,import_reported
BEL,DEU,1573628000.0,import_reported
BEL,DJI,12249.0,export_mirrored
BEL,DNK,28645614.0,import_reported
BEL,DOM,438055.75800000003,import_reported
BEL,DZA,3056283.0,import_reported
BEL,ECU,31025.0,import_reported
BEL,EGY,188835.176,import_reported
BEL,ERI,1101.0,export_mirrored
BEL,ESP,101696739.01300001,import_reported
BEL,EST,1194536.79,import_reported
BEL,ETH,28223.404000000002,import_reported
BEL,FIN,20110486.0,import_reported
BEL,FRA,3233653927.0,import_reported
BEL,FRO,160015.0,import_reported
BEL,GAB,398906.147,import_reported
BEL,GBR,1005631088.0,import_reported
BEL,GEO,69818.0,import_reported
BEL,GHA,4777009.0,import_reported
BEL,GIB,17504701.0,export_mirrored
BEL,GIN,7576500.0,import_reported
BEL,GMB,1848.384,import_reported
BEL,GNB,19963.0,export_mirrored
BEL,GNQ,832310.0,export_mirrored
BEL,GRC,13862180.0,import_reported
BEL,GRL,55421.0,export_mirrored
BEL,GTM,57344.0,import_reported
BEL,GUY,118474.0,import_reported
BEL,HKG,3324164.0,import_reported
BEL,HND,1197.0,import_reported
BEL,HRV,4567446.0,import_reported
BEL,HUN,7913000.0,import_reported
BEL,IDN,5840343.0,import_reported
BEL,IND,518.0,import_reported
BEL,IRL,13973227.389,import_reported
BEL,IRN,1692780.0,import_reported
BEL,IRQ,197328.0,export_mirrored
BEL,ISL,451859.0,import_reported
BEL,ISR,7125000.0,import_reported
BEL,ITA,97196291.673,import_reported
BEL,JAM,62932.0,import_reported
BEL,JOR,235622.0,import_reported
BEL,JPN,4359590.0,import_reported
BEL,KAZ,5035778.0,import_reported
BEL,KEN,1147932.0,export_mirrored
BEL,KGZ,491501.0,export_mirrored
BEL,KOR,1219736.0,import_reported
BEL,KWT,1663051.0,import_reported
BEL,LBN,2772000.0,import_reported
BEL,LBR,143697.0,export_mirrored
BEL,LBY,1435293.0,export_mirrored
BEL,LKA,110735.0,import_reported
BEL,LTU,2691375.0,import_reported
BEL,LUX,992527197.0,import_reported
BEL,LVA,910164.569,import_reported
BEL,MAR,31870391.485,import_reported
BEL,MDA,234570.0,import_reported
BEL,MDG,217873.116,import_reported
BEL,MDV,1179.0,export_mirrored
BEL,MEX,13586529.0,import_reported
BEL,MKD,643434.28,import_reported
BEL,MLI,1284434.0,import_reported
BEL,MLT,378521.0,import_reported
BEL,MMR,79234.0,export_mirrored
BEL,MOZ,206.0,import_reported
BEL,MRT,714537.0,import_reported
BEL,MUS,100548.0,import_reported
BEL,MYS,18555159.0,import_reported
BEL,MYT,5466.0,import_reported
BEL,NCL,54797.0,import_reported
BEL,NER,5370319.0,import_reported
BEL,NGA,4771327.0,export_mirrored
BEL,NIC,7260.0,import_reported
BEL,NLD,2639821834.0,import_reported
BEL,NOR,51541056.84,import_reported
BEL,NZL,764064.0,import_reported
BEL,OMN,386533.0,import_reported
BEL,PAK,415863.0,import_reported
BEL,PAN,1638555.0,export_mirrored
BEL,PER,214104.0,import_reported
BEL,PHL,272802.0,import_reported
BEL,POL,15155119.0,import_reported
BEL,PRK,3235.0,export_mirrored
BEL,PRT,12303621.0,import_reported
BEL,PRY,456.0,import_reported
BEL,PYF,55654.0,import_reported
BEL,QAT,189966.46,import_reported
BEL,ROU,7575596.46,import_reported
BEL,RUS,21105601.0,import_reported
BEL,RWA,12220.0,import_reported
BEL,S19,3206304.0,import_reported
BEL,SAU,2180803.0,import_reported
BEL,SCG,2234654.0,import_reported
BEL,SDN,54762.995,import_reported
BEL,SEN,7465040.0,import_reported
BEL,SGP,13505526.0,import_reported
BEL,SLE,425999.0,export_mirrored
BEL,SLV,7939.85,import_reported
BEL,STP,3213.0,import_reported
BEL,SUR,484.0,import_reported
BEL,SVK,3348935.0,import_reported
BEL,SVN,20047564.0,import_reported
BEL,SWE,44364928.0,import_reported
BEL,SYR,22466956.0,export_mirrored
BEL,TCD,1138.0,export_mirrored
BEL,TGO,164726.0,import_reported
BEL,THA,1508589.0,import_reported
BEL,TTO,55500.0,import_reported
BEL,TUN,845202.0,import_reported
BEL,TUR,15427344.0,import_reported
BEL,TZA,202512.0,import_reported
BEL,UGA,160509.0,import_reported
BEL,UKR,4872150.0,import_reported
BEL,URY,20534.0,import_reported
BEL,USA,1685358677.0,import_reported
BEL,UZB,1053279.0,export_mirrored
BEL,VEN,13662493.0,import_reported
BEL,VNM,721130.0,import_reported
BEL,X1 ,1530758659.0,export_mirrored
BEL,YEM,12353.0,import_reported
BEL,ZAF,15703195.0,import_reported
BEL,ZMB,19894.0,import_reported
BEL,ZWE,4993.06,import_reported
BOL,ARG,103738351.0,import_reported
