source,target,weight,data_source
ABW,CAN,4368881.0,import_reported
ABW,COL,85666944.0,import_reported
ABW,CRI,13.0,import_reported
ABW,CUW,49.0,export_mirrored
ABW,DOM,53362277.0,import_reported
ABW,ECU,131314620.0,import_reported
ABW,FRA,18963692.0,import_reported
ABW,GBR,11.0,export_mirrored
ABW,JOR,7004.0,import_reported
ABW,KWT,4256.0,import_reported
ABW,MEX,57.0,import_reported
ABW,MYS,80313317.0,import_reported
ABW,PAN,170.0,export_mirrored
ABW,PER,44982842.46,import_reported
ABW,SDN,218200.0,import_reported
ABW,SGP,47285967.94,import_reported
ABW,SLV,7435752.06,import_reported
ABW,SUR,10589571.0,import_reported
ABW,TTO,21268744.34,import_reported
ABW,USA,7960744.0,import_reported
ABW,VCT,233069.1,import_reported
ABW,YEM,67763.0,import_reported
ABW,_X ,3075.0,export_mirrored
CAN,AFG,23602.0,export_mirrored
CAN,AGO,10640.0,import_reported
CAN,ALB,981861.0,import_reported
CAN,ARE,737550.322,import_reported
CAN,ARG,5367845.0,import_reported
CAN,ARM,1061.0,import_reported
CAN,AUS,1120397.0,import_reported
CAN,AUT,287519.001,import_reported
CAN,AZE,42544.0,import_reported
CAN,BEL,107343952.2,import_reported
CAN,BFA,1016251.872,import_reported
CAN,BGD,108.0,import_reported
CAN,BGR,2234.0,import_reported
CAN,BHR,124019.0,import_reported
CAN,BHS,805.0,import_reported
CAN,BIH,113388.0,import_reported
CAN,BLR,315300.0,import_reported
CAN,BMU,80706.0,import_reported
CAN,BOL,22376.72,import_reported
CAN,BRA,301429329.0,import_reported
CAN,BRB,17852.0,import_reported
CAN,BRN,512.0,import_reported
CAN,CHE,2100288.892,import_reported
CAN,CHL,726170209.94,import_reported
CAN,CHN,2047571499.0,import_reported
CAN,CIV,23557.069,import_reported
CAN,CMR,50649.0,import_reported
CAN,COD,41.0,export_mirrored
CAN,COG,433.0,import_reported
CAN,COL,3454521.0,import_reported
CAN,CRI,1894328.0,import_reported
CAN,CUB,1347145.0,export_mirrored
CAN,CUW,23006497.0,export_mirrored
CAN,CYM,4222.0,export_mirrored
CAN,CYP,4190.2119999999995,import_reported
CAN,CZE,2125458.0,import_reported
CAN,DEU,360579619.54,import_reported
CAN,DJI,19.0,export_mirrored
CAN,DMA,126.022,import_reported
CAN,DNK,118344119.0,import_reported
CAN,DOM,1539999.0,import_reported
CAN,DZA,76328.0,import_reported
CAN,ECU,159938.0,import_reported
CAN,EGY,1512792.0,export_mirrored
CAN,ESP,235691694.90399998,import_reported
CAN,EST,18759.0,import_reported
CAN,ETH,424.483,import_reported
CAN,FIN,70396009.0,import_reported
CAN,FJI,4153.0,import_reported
CAN,FRA,540572869.0,import_reported
CAN,GAB,3461.942,import_reported
CAN,GBR,1360378200.0,import_reported
CAN,GEO,119.0,import_reported
CAN,GHA,258592.0,import_reported
CAN,GIB,107656742.0,export_mirrored
CAN,GMB,90.073,import_reported
CAN,GRC,37144291.0,import_reported
CAN,GRD,1381.48,import_reported
CAN,GTM,434768.0,import_reported
CAN,GUY,534.0,import_reported
CAN,HKG,279340.0,import_reported
CAN,HND,44289.0,export_mirrored
CAN,HRV,21964479.0,import_reported
CAN,HTI,5664.0,export_mirrored
