country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,13,23,53070595.455000006,75854328.16800001,128924923.62300003
COL,Colombia,Latin_America,80,64,26262785876.309002,3506651758.8619995,29769437635.171
CRI,Costa Rica,Other,24,53,2504076.1730000004,1697727303.628,1700231379.801
CUW,Cura_o,Other,30,25,302523801.26799995,524704050.168,827227851.4359999
HND,Honduras,Other,15,46,133940056.31999998,1483586913.55,1617526969.87
NIC,Nicaragua,Other,10,45,11206006.561,1039315732.6109998,1050521739.1719998
NLD,Netherlands,Europe,185,139,79477821564.29594,74023803682.68503,153501625246.98096
PAN,Panama,Other,50,78,872959165.74,2729175838.898,3602135004.6379995
SDN,Sudan,Other,16,62,1081481551.4760003,1345660974.5960002,2427142526.0720005
SLV,El Salvador,Other,24,41,78287468.846,1649376515.8909998,1727663984.7369998
SUR,Suriname,Other,15,38,113853548.064,98866288.20899998,212719836.27299997
USA,USA,North_America,197,130,160447611376.143,150110170709.403,310557782085.546
VEN,Venezuela,Latin_America,43,39,32467967504.519005,4667979390.904,37135946895.423004
_X ,"Areas, nes",Other,63,62,5813850994.704,58950907089.718025,64764758084.42203
AFG,Afghanistan,Other,9,37,98118282.386,476649693.41699994,574767975.803
ARE,United Arab Emirates,Middle_East,169,120,109144859418.10301,15466894839.002003,124611754257.10501
CAN,Canada,North_America,163,121,32862446417.209,35840289035.841,68702735453.05
CYP,Cyprus,Other,50,71,1388283932.3079998,2264723706.0740004,3653007638.382
ESP,Spain,Europe,167,106,17698826600.244003,53738897098.001015,71437723698.24503
MOZ,Mozambique,Other,47,67,2883220442.27,1380565681.5170002,4263786123.787
PAK,Pakistan,Other,37,80,676807378.2199999,16881929290.988998,17558736669.209
PRY,Paraguay,Other,5,45,26158226.507,1787315849.5479999,1813474076.0549998
PYF,French Polynesia,Other,15,32,106545.31,213950264.49000004,214056809.80000004
THA,Thailand,Asia_Pacific,128,89,7519453414.818001,39929015902.26301,47448469317.08101
AGO,Angola,Africa,43,60,17315464960.184002,2415490443.8580003,19730955404.042004
AUS,Australia,Asia_Pacific,128,85,98369356046.12204,30250839914.332993,128620195960.45503
BEL,Belgium,Europe,182,119,42682778773.62198,44957548827.98499,87640327601.60696
BEN,Benin,Other,21,49,187726585.967,457502045.39500004,645228631.362
BFA,Burkina Faso,Other,57,60,61664646.923,1071871900.1660002,1133536547.0890002
BRA,Brazil,Latin_America,132,70,30327041669.989998,26165276421.864002,56492318091.854004
CHN,China,Asia_Pacific,200,115,25831873212.063004,213024983428.8,238856856640.86298
CMR,Cameroon,Other,48,66,2097976318.6970003,1260923096.4759998,3358899415.1730003
COD,Dem. Rep. of the Congo,Other,25,62,600179302.9379998,255129631.254,855308934.1919999
COG,Congo,Other,33,49,9098586628.330002,219451001.12300003,9318037629.453001
DEU,Germany,Europe,178,118,31097336857.284992,77802316288.249,108899653145.53398
DNK,Denmark,Europe,128,77,4003072693.23,5584949519.340001,9588022212.570002
FRA,France,Europe,192,134,13104869061.389996,71324412063.52602,84429281124.91602
GAB,Gabon,Other,58,53,5421156790.030001,259162721.80599996,5680319511.836
GBR,United Kingdom,Europe,190,111,40372267145.96399,67399152395.64599,107771419541.60999
IDN,Indonesia,Asia_Pacific,90,69,43575468684.006996,30299743126.426003,73875211810.433
IND,India,Asia_Pacific,165,125,36508428416.326004,119795978335.967,156304406752.293
ISR,Israel,Other,84,66,3743892123.9020004,11480151524.185001,15224043648.087002
ITA,Italy,Europe,176,106,17601444092.512997,64579941890.451004,82181385982.964
JPN,Japan,Asia_Pacific,166,84,9377777184.457,121070249715.49304,130448026899.95004
KEN,Kenya,Other,62,67,227845461.21099997,3312825404.0299997,3540670865.2409997
KOR,Rep. of Korea,Asia_Pacific,177,113,37513879365.219,121632752875.29599,159146632240.51498
KWT,Kuwait,Middle_East,64,54,80908857215.15399,969320577.938,81878177793.092
MAR,Morocco,Other,48,77,514932930.8299999,8201741294.107,8716674224.937
MYS,Malaysia,Asia_Pacific,137,87,53639316432.70101,30301156259.108997,83940472691.81001
NAM,Namibia,Other,71,62,36360975.043,847708667.7419997,884069642.7849997
PHL,Philippines,Other,36,64,1138587418.8430002,13893403713.331999,15031991132.175
PRT,Portugal,Other,110,71,4240898364.8219995,11192894774.296005,15433793139.118004
S19,"Other Asia, nes",Other,134,74,6095714279.443997,51709481034.310036,57805195313.754036
SGP,Singapore,Asia_Pacific,168,127,54450239695.72901,87821026802.47797,142271266498.20697
STP,Sao Tome and Principe,Other,2,16,579.542,31945097.986999992,31945677.52899999
UGA,Uganda,Other,33,66,113404475.829,1288348445.5390003,1401752921.3680003
URY,Uruguay,Other,19,48,30745166.987999998,1234551962.8160005,1265297129.8040004
ZAF,South Africa,Africa,136,115,10098003681.567,16429591807.720995,26527595489.287994
AIA,Anguilla,Other,3,4,36459.259999999995,11972436.777,12008896.037
DMA,Dominica,Other,5,22,42076048.497,33840886.793000005,75916935.29
LTU,Lithuania,Other,115,49,4121661971.9590006,6357728953.113001,10479390925.072002
MSR,Montserrat,Other,5,14,444194.228,9293415.300999999,9737609.529
ALB,Albania,Other,39,39,227339752.888,207404033.577,434743786.46500003
AUT,Austria,Other,153,87,3155676714.8540006,13177499681.867996,16333176396.721996
