country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
E19,"Other Europe, nes",Other,10,9,88776915.712,18630344365.925,18719121281.637
ESH,Western Sahara,Other,1,0,2532.0,0.0,2532.0
FLK,Falkland Isds (Malvinas),Other,0,3,0.0,12815043.667,12815043.667
UMI,United States Minor Outlying Islands,Other,3,3,27495.84,14017821.0,14045316.84
TKL,Tokelau,Other,2,3,1472267.956,1706383.0,3178650.9560000002
A79,"LAIA, nes",Other,0,2,0.0,1914320143.0,1914320143.0
MNP,N. Mariana Isds,Other,2,3,34252.0,47243496.0,47277748.0
SWZ,Eswatini,Other,6,4,10695835.0,101702084.0,112397919.0
LSO,Lesotho,Other,1,4,21782.273999999998,52028456.286,52050238.559999995
NIU,Niue,Other,1,2,7843.0,21962.0,29805.0
PCN,Pitcairn,Other,0,1,0.0,17041.0,17041.0
TUV,Tuvalu,Other,1,2,168.0,6800.0,6968.0
BVT,Bouvet Island,Other,0,1,0.0,206832.0,206832.0
