country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,21,15,2386901645.0699997,1757101136.9390001,4144002782.009
ARG,Argentina,Latin_America,51,59,6085921912.273,631036256.7,6716958168.973
BEL,Belgium,Europe,158,89,14002952627.014997,25677594550.988,39680547178.003
BOL,Bolivia (Plurinational State of),Other,14,36,1006038037.779,121829064.82499999,1127867102.604
BRA,Brazil,Latin_America,86,77,4700871309.1119995,11442745409.91,16143616719.022
CAN,Canada,North_America,149,93,8883945099.845,18610966181.097,27494911280.942
CRI,Costa Rica,Other,20,47,1161923.9940000002,736916896.23,738078820.224
DEU,Germany,Europe,180,104,17022093939.139004,62385964771.785,79408058710.92401
ESP,Spain,Europe,142,100,5547918019.698001,28108590163.363995,33656508183.061996
FRA,France,Europe,179,121,6706636502.141998,44855214554.468994,51561851056.61099
GBR,United Kingdom,Europe,177,106,28506525447.366,28600004501.933002,57106529949.299
GTM,Guatemala,Other,22,46,215571915.25,1263344037.9,1478915953.15
GUY,Guyana,Other,10,21,277982.0,181896883.0,182174865.0
HND,Honduras,Other,16,53,12058953.693,583830335.245,595889288.938
MEX,Mexico,North_America,71,57,24674259520.835,7111455091.64,31785714612.475
NLD,Netherlands,Europe,160,100,28382548218.60001,28155636328.253002,56538184546.85301
PAN,Panama,Other,37,64,209062461.94099998,865431357.273,1074493819.214
SLV,El Salvador,Other,17,44,25513422.687000003,658540119.8499999,684053542.537
SUR,Suriname,Other,15,29,15957077.0,102632123.0,118589200.0
TTO,Trinidad and Tobago,Other,46,41,5475872344.662,1178611127.0,6654483471.662
USA,USA,North_America,186,130,18826265988.059,130649130938.187,149475396926.246
YEM,Yemen,Other,37,38,3952206268.743,499832885.318,4452039154.061
AFG,Afghanistan,Other,6,24,8396420.0,161941315.38300002,170337735.38300002
CZE,Czechia,Other,76,58,750081242.9530001,3948419165.85,4698500408.8029995
IDN,Indonesia,Asia_Pacific,66,59,22891906477.746002,11709939963.918,34601846441.664
PAK,Pakistan,Other,23,54,338243717.979,3266546911.186,3604790629.165
AGO,Angola,Africa,24,41,14119041396.226,60350439.37300001,14179391835.598999
CHL,Chile,Latin_America,26,49,718117792.533,5027773495.505999,5745891288.038999
CHN,China,Asia_Pacific,167,95,9642712734.771002,46460642310.345,56103355045.116005
CIV,C_e d'Ivoire,Other,75,55,1405248359.5640001,1089542520.996,2494790880.5600004
