country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
A59,"North America and Central America, nes",Other,1,2,69982063.0,904359873.0,974341936.0
SGP,Singapore,Asia_Pacific,133,91,38528616406.93301,52519199792.472,91047816199.405
ABW,Aruba,Other,19,18,4281093551.0740004,1787998382.453,6069091933.527
ARG,Argentina,Latin_America,56,53,6971364655.7890005,2186238810.212,9157603466.001
ATG,Antigua and Barbuda,Other,38,35,57546613.0,58237886.588,115784499.588
BEL,Belgium,Europe,172,93,32192286579.687,45939424868.861,78131711448.548
BRA,Brazil,Latin_America,92,69,12992933470.116999,22572706634.440002,35565640104.557
CAN,Canada,North_America,164,113,16339011355.937,33851847834.59,50190859190.527
COL,Colombia,Latin_America,72,50,12230256034.449,958905615.0,13189161649.449
CRI,Costa Rica,Other,32,51,40967203.143,1514362951.44,1555330154.583
DOM,Dominican Rep.,Other,22,55,72906438.926,3359235827.604,3432142266.53
ECU,Ecuador,Latin_America,36,49,8252095872.056999,1916580155.399,10168676027.456
FRA,France,Europe,184,117,13890225354.453,79410731110.775,93300956465.228
GBR,United Kingdom,Europe,173,112,49902187586.898994,56065191242.914,105967378829.81299
GTM,Guatemala,Other,21,49,237107213.068,2399983160.745,2637090373.8129997
MEX,Mexico,North_America,100,73,11533122912.629002,18717367809.3,30250490721.929
PAN,Panama,Other,47,71,501686582.975,1165280773.051,1666967356.026
PER,Peru,Latin_America,36,49,2552535970.038,3729687602.0,6282223572.038
SDN,Sudan (...2011),Other,22,60,7874384206.808,299750239.84400004,8174134446.651999
TZA,United Rep. of Tanzania,Other,25,54,60107867.723,1760985349.827,1821093217.55
USA,USA,North_America,187,133,39415964216.197,170234805827.07098,209650770043.26797
YEM,Yemen,Other,34,45,7039401135.49,1954279778.0110002,8993680913.501
AFG,Afghanistan,Other,6,30,16173.0,497670508.11300004,497686681.11300004
ARE,United Arab Emirates,Middle_East,139,82,74831455452.76001,1316984331.769,76148439784.529
HND,Honduras,Other,12,49,105257979.16,1293951356.749,1399209335.9090002
MOZ,Mozambique,Other,9,42,476849128.64500004,383385692.788,860234821.4330001
PAK,Pakistan,Other,33,58,799158400.7330002,8185462373.313,8984620774.046
TUN,Tunisia,Other,52,52,2592116170.1650004,2375514441.988,4967630612.153
AGO,Angola,Africa,32,66,40124781688.53,130633067.0,40255414755.53
CHE,Switzerland,Other,162,73,2042635469.3770003,9632088668.551,11674724137.928001
CHL,Chile,Latin_America,38,53,1426087948.227,12401864663.193003,13827952611.420002
CHN,China,Asia_Pacific,180,99,12690496459.33,102014355062.985,114704851522.315
COG,Congo,Other,42,44,7736968359.979,166749740.59800002,7903718100.577
DEU,Germany,Europe,189,103,28723753053.604996,77356912838.26999,106080665891.87498
ESP,Spain,Europe,150,104,10732418566.081999,57153610819.56999,67886029385.65199
GAB,Gabon,Other,38,44,4532565452.964001,93670906.633,4626236359.597001
IND,India,Asia_Pacific,148,103,18631272515.309998,71503161336.331,90134433851.64099
ITA,Italy,Europe,167,99,15416856126.953997,56771253282.44801,72188109409.40201
JPN,Japan,Asia_Pacific,154,84,7405768498.599998,114403330016.882,121809098515.482
KOR,Rep. of Korea,Asia_Pacific,144,94,21549057391.43,94307048570.65,115856105962.07999
MAR,Morocco,Other,33,58,600378403.006,6232653533.974999,6833031936.980999
NLD,Netherlands,Europe,170,107,55029475109.49401,53597228560.82,108626703670.31401
NOR,Norway,Europe,99,66,67326631141.82199,2757557567.4710007,70084188709.293
PRT,Portugal,Other,78,71,2008448494.7740002,10185548913.158,12193997407.932001
S19,"Other Asia, nes",Other,125,68,12097718578.055,42479451829.94,54577170407.995
STP,Sao Tome and Principe,Other,1,12,2243883.0,16623389.0,18867272.0
THA,Thailand,Asia_Pacific,100,76,6200717797.214001,25093754385.283,31294472182.497
ZAF,South Africa,Africa,140,86,8773730446.183,14521994572.549002,23295725018.732002
_X ,"Areas, nes",Other,50,58,17687246658.43,86348001994.73901,104035248653.169
AIA,Anguilla,Other,3,10,106013.0,27374859.0,27480872.0
ANT,Netherlands Antilles (...2010),Other,49,36,3282648375.936,2494049618.55,5776697994.486
KNA,Saint Kitts and Nevis,Other,2,28,14453.0,30671767.67,30686220.67
ALB,Albania,Other,14,45,102298003.391,362536336.0,464834339.39100003
CYP,Cyprus,Other,25,63,857054363.019,1863374884.763,2720429247.782
