country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
A59,"North America and Central America, nes",Other,1,2,86494357.0,489792005.0,576286362.0
SGP,Singapore,Asia_Pacific,129,94,58386661177.32201,87530117723.417,145916778900.739
ABW,Aruba,Other,20,14,5279720232.757999,1803455010.464,7083175243.221999
AGO,Angola,Africa,40,55,47394910837.607,3030637600.5290008,50425548438.136
BEL,Belgium,Europe,169,111,43860011237.53802,47750441577.770996,91610452815.30902
BRA,Brazil,Latin_America,93,83,22180794722.212,34629647654.22,56810442376.43201
CAN,Canada,North_America,168,102,23899028301.593998,47880609824.5,71779638126.094
COL,Colombia,Latin_America,75,62,20614036728.114998,1796879085.134,22410915813.248997
CRI,Costa Rica,Other,35,53,74523801.07,2195742288.48,2270266089.55
DOM,Dominican Rep.,Other,23,53,597770986.1500001,4262960642.9020004,4860731629.052
ECU,Ecuador,Latin_America,34,51,12539240287.085,2690486651.7200003,15229726938.805
ESP,Spain,Europe,159,102,16033109933.882998,79571204610.22098,95604314544.10397
FRA,France,Europe,179,126,20127535993.616,114184128851.00499,134311664844.62099
GBR,United Kingdom,Europe,178,105,58722588622.48601,55474388078.223,114196976700.70901
KOR,Rep. of Korea,Asia_Pacific,149,95,33087832217.931,112341107523.367,145428939741.298
MEX,Mexico,North_America,104,84,13744598053.335,28212507114.32,41957105167.655
NLD,Netherlands,Europe,165,118,66722009490.961,72625002213.662,139347011704.623
PAK,Pakistan,Other,40,58,773870362.081,13916200099.441,14690070461.522
PER,Peru,Latin_America,34,55,2602513589.453,5318025934.32,7920539523.773
SDN,Sudan (...2011),Other,20,60,12362674436.24,784650007.3290004,13147324443.569
USA,USA,North_America,182,133,74677852795.77798,201436079118.646,276113931914.42395
YEM,Yemen,Other,28,47,9538353486.012,3342867212.97,12881220698.981998
ZAF,South Africa,Africa,137,86,10986440805.255003,19012896293.093002,29999337098.348007
AFG,Afghanistan,Other,10,42,18090721.704,582603127.745,600693849.449
ARE,United Arab Emirates,Middle_East,136,98,83079084494.81898,1816104170.834,84895188665.65298
FIN,Finland,Other,100,61,6562653664.846001,15110746175.528,21673399840.374
IND,India,Asia_Pacific,148,106,26017827458.447998,113524547680.64699,139542375139.09497
LBN,Lebanon,Other,52,58,31022038.948999997,4008666074.9700003,4039688113.919
MOZ,Mozambique,Other,22,42,440506740.91400003,691766497.38,1132273238.2940001
NGA,Nigeria,Africa,63,77,53768665722.61099,1861993572.442,55630659295.05299
SVN,Slovenia,Other,50,64,138180149.173,3862110471.0,4000290620.173
BEN,Benin,Other,17,54,234837858.90399998,205730232.83600003,440568091.74
BFA,Burkina Faso,Other,22,49,56469615.54399999,548048164.7429999,604517780.287
BHS,Bahamas,Other,19,51,952425283.54,1635864975.258,2588290258.798
BLZ,Belize,Other,9,38,151057277.37,139015048.16500002,290072325.535
CHL,Chile,Latin_America,35,53,1504738949.225,18618472422.378998,20123211371.603996
CIV,C_e d'Ivoire,Other,68,57,3499007538.8560004,2812896167.6150002,6311903706.471001
CMR,Cameroon,Other,27,45,3135114175.537,72759276.326,3207873451.8630004
COG,Congo,Other,33,48,11529505666.593998,192481133.09,11721986799.683998
DEU,Germany,Europe,186,104,35702353661.70601,91452223346.083,127154577007.789
GTM,Guatemala,Other,24,45,457331107.444,2801039937.0,3258371044.4440002
HND,Honduras,Other,10,32,155719316.98999998,1168615550.085,1324334867.075
ITA,Italy,Europe,164,100,18867310086.652,74537503288.20303,93404813374.85504
JPN,Japan,Asia_Pacific,151,85,15355860193.194002,180704025868.697,196059886061.891
NAM,Namibia,Other,56,26,25193569.921000004,630798319.9530001,655991889.8740001
NER,Niger,Other,19,47,74465422.39,180641182.252,255106604.64200002
NIC,Nicaragua,Other,15,45,34230047.866000004,902760836.0,936990883.866
NOR,Norway,Europe,95,65,66635319055.43399,3507168426.1699996,70142487481.60399
PRT,Portugal,Other,82,74,2761736211.7380004,14161792086.721,16923528298.459002
S19,"Other Asia, nes",Other,131,80,17038075689.834,63519409533.262,80557485223.09601
SLV,El Salvador,Other,24,48,67764623.74000001,1793623642.3600001,1861388266.1000001
STP,Sao Tome and Principe,Other,1,11,4945460.0,27294995.0,32240455.0
SWE,Sweden,Europe,133,69,11499864338.447998,23102616153.915,34602480492.363
TUR,T_kiye,Other,167,83,8989968522.277,14785581749.985,23775550272.262
URY,Uruguay,Other,12,36,186971703.808,2757389396.693,2944361100.501
_X ,"Areas, nes",Other,55,61,26745555391.642994,86000348894.497,112745904286.13998
AIA,Anguilla,Other,2,9,34284.0,38544591.0,38578875.0
ANT,Netherlands Antilles (...2010),Other,43,36,2741377496.1169996,16263996057.154999,19005373553.272
ALB,Albania,Other,21,41,126946114.445,524590806.0,651536920.4449999
BOL,Bolivia (Plurinational State of),Other,26,35,3553430117.3200006,553209409.3429999,4106639526.6630006
CYP,Cyprus,Other,32,69,714908462.136,2887734286.478,3602642748.6140003
GRC,Greece,Other,146,79,4312721579.879999,19739622085.224,24052343665.103996
HRV,Croatia,Other,62,61,1153913443.71,4639924341.441999,5793837785.151999
IRL,Ireland,Other,66,57,770103412.893,9366374159.048002,10136477571.941002
KNA,Saint Kitts and Nevis,Other,5,24,4818.0,33427681.854000002,33432499.854000002
MKD,North Macedonia,Other,28,42,24545651.83,1013817015.6699998,1038362667.4999999
MNE,Montenegro,Other,8,44,15310259.942,335624022.0,350934281.942
PAN,Panama,Other,49,72,560620537.237,1258546649.05,1819167186.287
ROU,Romania,Other,113,62,3849134585.9269986,9699413106.08,13548547692.006998
SRB,Serbia,Other,52,57,114918664.68,4038475169.0,4153393833.68
SVK,Slovakia,Other,49,54,3247910358.613,8883755994.0,12131666352.612999
UKR,Ukraine,Other,116,60,4805218695.792999,22087082490.809998,26892301186.602997
AND,Andorra,Other,18,11,3143164.0349999997,155644822.235,158787986.27
BGD,Bangladesh,Other,21,52,255415817.784,1739854542.464,1995270360.248
BIH,Bosnia Herzegovina,Other,21,45,14795877.669,1762102278.0,1776898155.669
