source,target,weight,data_source
ABW,COL,1187.151,export_mirrored
ABW,CRI,93.57,import_reported
ABW,CUW,5198.883,export_mirrored
ABW,HND,297987.25,import_reported
ABW,NIC,36103562.11,import_reported
ABW,NLD,47.23,import_reported
ABW,PAN,6.704,export_mirrored
ABW,SDN,17241.0,import_reported
ABW,SLV,12016275.79,import_reported
ABW,SUR,3300.081,import_reported
ABW,USA,4592932.0,import_reported
ABW,VEN,19580.446,export_mirrored
ABW,_X ,13183.24,export_mirrored
COL,ABW,93.855,import_reported
COL,ARE,6802911.383,import_reported
COL,ARG,63876901.480000004,import_reported
COL,AUS,5065382.44,import_reported
COL,AUT,4908263.416,import_reported
COL,BEL,7170108.607,import_reported
COL,BES,118736247.9,export_mirrored
COL,BHS,353550839.85,export_mirrored
COL,BIH,9431685.08,import_reported
COL,BLZ,30279.75,import_reported
COL,BOL,32115.23,import_reported
COL,BRA,692913982.0,import_reported
COL,BRB,1270765.58,export_mirrored
COL,CAN,317560511.357,import_reported
COL,CHE,13918.905,import_reported
COL,CHL,822854991.407,import_reported
COL,CHN,5113698014.0,import_reported
COL,CIV,250700788.9,import_reported
COL,CRI,136694.39,import_reported
COL,CUB,19172.66,import_reported
COL,CUW,2630094.77,export_mirrored
COL,CZE,886311.0,import_reported
COL,DEU,361261796.1,import_reported
COL,DNK,6495200.0,export_mirrored
COL,DOM,110212400.36,import_reported
COL,ECU,61741772.7,import_reported
COL,EGY,1594.07,export_mirrored
COL,ESP,659714630.8610001,import_reported
COL,FIN,867549.539,import_reported
COL,FRA,287841775.86,import_reported
COL,GAB,763204.0,export_mirrored
COL,GBR,67312924.93,import_reported
COL,GIB,25819622.66,export_mirrored
COL,GTM,225393832.0,import_reported
COL,HND,472846.59,import_reported
COL,HRV,6400157.0,import_reported
COL,IDN,4302.0,import_reported
COL,IND,433446015.09000003,import_reported
COL,IRL,98853100.86,import_reported
COL,ISL,813156.665,import_reported
COL,ISR,8983000.0,import_reported
COL,ITA,268515456.0,import_reported
COL,JAM,312695770.39,import_reported
COL,JPN,310248444.11,import_reported
COL,KOR,610349101.0,import_reported
COL,LCA,797966169.1,export_mirrored
COL,MAR,7148219.677,import_reported
COL,MEX,642776377.0,import_reported
COL,MNG,208.45,import_reported
COL,MYS,71581636.88,import_reported
COL,NGA,588.71,export_mirrored
COL,NIC,129716348.59,import_reported
COL,NLD,376677423.056,import_reported
COL,NOR,35852289.04,import_reported
COL,OMN,196.05,export_mirrored
COL,PAK,9274160.375,import_reported
COL,PAN,27876466.0,import_reported
COL,PER,524161625.86,import_reported
COL,POL,157662023.0,import_reported
COL,PRT,340033510.4,import_reported
COL,PRY,2349393.5,export_mirrored
COL,ROU,1529.11,export_mirrored
COL,RUS,6465511.29,import_reported
COL,S19,34908918.52,import_reported
COL,SGP,441616902.6,import_reported
COL,SLV,316961.45,import_reported
COL,SUR,83542.42,import_reported
COL,SVK,10546530.95,import_reported
COL,SVN,214818.73,import_reported
COL,SWE,460.702,import_reported
COL,TGO,22568.647,import_reported
COL,THA,1138715.17,import_reported
COL,TTO,595415061.91,import_reported
COL,TUR,1810056556.0,import_reported
COL,UKR,969916.95,import_reported
COL,URY,81320520.0,import_reported
COL,USA,8467432077.0,import_reported
COL,VEN,57597413.57,export_mirrored
COL,X2 ,411.18,export_mirrored
COL,ZAF,1103097.677,import_reported
CRI,ALB,183319.69,export_mirrored
CRI,ARG,73.4,export_mirrored
CRI,BEL,1465.5,export_mirrored
CRI,BHS,21210.95,import_reported
CRI,CAN,62.527,import_reported
CRI,COL,128165.82,export_mirrored
CRI,CUB,134.7,export_mirrored
CRI,DOM,67670.56,import_reported
CRI,FRA,20659.083,import_reported
CRI,GTM,127951.0,import_reported
CRI,HND,36341.41,import_reported
CRI,IRL,426.12,export_mirrored
CRI,KOR,1356409.0,import_reported
CRI,MEX,757.0,import_reported
CRI,NIC,13276.76,import_reported
CRI,NLD,36293.28,export_mirrored
CRI,PAN,70755.0,import_reported
CRI,PER,2456.1,import_reported
CRI,S19,41101.15,export_mirrored
CRI,SLV,17247.14,export_mirrored
CRI,URY,36.7,export_mirrored
CRI,USA,152324.0,import_reported
CRI,VEN,225853.05,export_mirrored
CRI,ZAF,86.233,import_reported
CUW,ABW,48391.619,import_reported
CUW,BEL,139221.641,import_reported
CUW,BES,3296.08,export_mirrored
CUW,BLZ,15057879.8,import_reported
CUW,BMU,2664013.74,import_reported
CUW,BOL,1393983.62,import_reported
CUW,CHE,28825.735,import_reported
CUW,CHN,10245.0,import_reported
CUW,COL,29541705.19,import_reported
CUW,DMA,1492.9589999999998,import_reported
CUW,DOM,66183816.75,import_reported
CUW,ECU,106317.907,import_reported
CUW,GRD,24797.753,import_reported
CUW,GTM,33989852.0,import_reported
CUW,IDN,105593.0,import_reported
CUW,JPN,151491.119,import_reported
CUW,MOZ,27697.946,import_reported
CUW,MSR,1373.652,import_reported
CUW,NIC,44718237.53,import_reported
CUW,NLD,1954.144,import_reported
CUW,PER,94412.92,import_reported
CUW,POL,79020.0,import_reported
CUW,RUS,1022041.47,import_reported
CUW,S19,2597144.29,import_reported
CUW,SGP,50815885.23,import_reported
CUW,SUR,783043.533,import_reported
CUW,THA,2703.97,import_reported
CUW,TTO,10.929,import_reported
CUW,USA,52914656.0,import_reported
CUW,VCT,14695.741,import_reported
HND,BLZ,10998144.83,import_reported
HND,CAN,4188.548000000001,import_reported
HND,CRI,318845.98,import_reported
HND,DEU,2018.78,export_mirrored
HND,DOM,1362.33,import_reported
HND,FRA,5597.97,export_mirrored
HND,GTM,100205319.0,import_reported
HND,IND,717.42,export_mirrored
HND,ITA,46326.72,export_mirrored
HND,MEX,3131.0,export_mirrored
HND,NER,35879.71,import_reported
HND,NIC,22222452.27,import_reported
HND,NLD,1857.322,import_reported
HND,SLV,13791.44,import_reported
HND,USA,80423.0,import_reported
NIC,CRI,3884657.0,import_reported
NIC,FIN,1491.131,import_reported
NIC,GTM,2316995.0,import_reported
NIC,HND,860031.6,import_reported
NIC,NLD,30.1,export_mirrored
NIC,NPL,112.74,import_reported
NIC,PAN,207721.0,import_reported
NIC,RUS,4277.0,export_mirrored
