year,country_name,ppr_us_export_influence,ppr_influence_on_us
2001,MDV,0.00011398284862907738,0.08702538233586662
2001,DEU,0.01905481627321862,0.09851001800346738
2001,ISR,0.00386360588510743,0.10045643471833365
2001,TLS,1.1319052036705368e-05,0.06574276597421165
2001,SLV,0.0011110808202456004,0.17241365693805838
2001,NOR,0.0012003744336156834,0.13111249196326943
2001,SEN,0.00047510016485557337,0.12203933944627676
2001,SHN,2.0424650899224076e-05,0.09168985940852434
2001,TKL,2.0408560771788087e-05,0.17113167384265823
2001,COG,4.1264402664216176e-05,0.12324485198911787
2001,SYC,1.1707946368858477e-05,0.06806699898204965
2001,IND,0.016872513532486918,0.09130418651012477
2001,SMR,2.7179443696382696e-07,0.08885820170461255
2001,UKR,0.000820533103843156,0.10164019408042406
2001,NFK,1.096314541704271e-06,9.037866132864214e-05
2001,MNG,5.4441050097003595e-05,0.08728356645627108
2001,CRI,0.0024515721147944057,0.18447838114859577
2001,MYS,0.004756088037478999,0.0877812909251646
2001,FRA,0.014666012474809729,0.12614940856304185
2001,SVN,0.001601193673861924,0.06483388590397302
2001,PRT,0.004837911135205376,0.17233275131060308
2001,BGR,0.0007717129477733072,0.11445123788757018
2001,PLW,8.623211235322576e-06,9.037866132864214e-05
2001,ZWE,0.00012566496960143811,0.14028071410548265
2001,SOM,9.615377176706064e-08,0.12925200057432246
2001,ISL,0.00016261378596483085,0.09136767242429293
2001,A79,2.097759835719626e-05,0.1281926000589222
2001,MOZ,1.9148652387464875e-05,0.11953509920377552
2001,ETH,1.3928177147079332e-05,0.10611853685462977
2001,JAM,0.005244551196070562,0.12083029220598235
2001,RUS,0.0005078856910257218,0.08424128106118481
2001,WSM,3.788152215533823e-05,0.1705076496818629
2001,GIB,0.0014789738973896458,0.09869051583422835
2001,PHL,0.002799505661632774,0.08078979154471648
2001,BDI,7.112954559655669e-06,0.11998823365417463
2001,HND,0.008527039893397578,0.15202476099292592
2001,BOL,0.0008069250472381512,0.1834447126177547
2001,RWA,2.2000126864646087e-05,0.008189747246554814
2001,ZMB,0.00023404622894797323,0.2014648555340054
2001,BTN,3.951226715314043e-07,0.08296650761952526
2001,HRV,0.0009055102345465986,0.07341387270363951
2001,CYM,0.0003009011484643247,0.18263976639183388
2001,WLF,2.142837680746823e-06,0.08669198212672942
2001,BEN,0.00011460160273340738,0.092187105320207
2001,TCA,6.4771859029293615e-06,0.167967483506081
2001,TTO,0.00262304165979812,0.2098433932685827
2001,BRN,1.1941497730965304e-05,0.09313116674943271
2001,ERI,4.0883542296370286e-07,9.037866132864214e-05
2001,QAT,2.371507687991647e-05,0.08606053898318627
2001,ROU,0.0011930519192229067,0.10456181893085699
2001,NGA,0.0015589089766827751,0.17630671976890547
2001,SWE,0.003237206285020705,0.12507208693412267
2001,SGS,1.3075737631996805e-08,9.037866132864214e-05
2001,CIV,0.0008254999586902961,0.1304734881077179
2001,AND,0.0001608000141932772,0.08402376364612942
2001,BWA,0.00010881487536864186,0.12314098543630483
2001,EST,0.0005803580390965968,0.13533054109154385
2001,AIA,8.360093257899616e-05,0.08034722965293016
2001,CYP,0.0013699568727359368,0.07971842781586035
2001,ATF,8.104747041120796e-06,9.037866132864214e-05
2001,SPM,1.5180396855333122e-06,9.037866132864214e-05
2001,BGD,0.0005782837430002456,0.1508844986954484
2001,GNB,1.4479614889170674e-05,0.09174124503426626
2001,LBY,0.0009267572168942228,0.10060557099190272
2001,AZE,0.00012259955568666116,0.0937622886799167
2001,ARG,0.002331853928892848,0.190704792113194
2001,LUX,0.0011908292175961753,0.10285592859830386
2001,IRQ,1.6408995677625356e-05,0.18886700528339448
2001,KAZ,9.077599115953895e-05,0.09291879120318486
2001,MSR,4.729828068783691e-05,0.13962797661289142
2001,NER,0.00011838757685249663,0.09453549498202023
2001,KEN,0.00019866362815715617,0.08381237635694601
2001,E19,0.0027650132943312458,0.10848329119207721
2001,AUS,0.006577741254954165,0.09063856051638321
2001,LBR,0.00010163900536797305,0.14210701109690832
2001,JPN,0.04223848014632787,0.10308766615519102
2001,HTI,0.0002738408980901198,0.058016943180160305
2001,VAT,5.5168693881844516e-06,9.037866132864214e-05
2001,BIH,0.0023192771274153467,0.06597418292125659
2001,DZA,0.0006318058457827616,0.14126044059183726
2001,GAB,0.00012905892661527345,0.2192898502114323
2001,KIR,1.4005964500039586e-07,0.1529962603278087
2001,ABW,0.0008793130277030899,0.2549549852333471
2001,SGP,0.019538995996740367,0.07741450013886372
2001,PCN,3.306562052823469e-06,9.037866132864214e-05
2001,USA,0.3154403681838289,0.0
2001,GRD,7.448357420808071e-05,0.1727075271810783
2001,COD,0.00021173220998826046,0.26069888538878744
2001,SYR,0.0012603799736941338,0.09582010944441564
2001,GMB,3.0255793985722998e-05,0.0864508889720489
2001,GHA,0.00566647003103025,0.18961925240505587
2001,NRU,3.596075885402942e-07,0.08977765744805667
2001,BEL,0.014930756073332122,0.12491293092550497
2001,MAR,0.0026114181455399606,0.12832949748830985
2001,MEX,0.09379225593156025,0.23296019137250715
2001,EGY,0.0006512322059531584,0.10399182650118007
2001,SAU,0.00040422376971673614,0.116461812814047
2001,UMI,9.83087029872283e-05,0.22072038971310007
2001,FLK,6.353921117192661e-05,9.037866132864214e-05
2001,SUR,0.000844944042890373,0.1760026165499825
2001,MKD,0.0005227820079023921,0.09953592276150207
2001,DNK,0.0010834339799158598,0.11101906725283299
2001,FIN,0.0020691795870176567,0.13065104263594363
2001,CUB,0.0005909159828838398,0.11567401560184744
2001,VCT,8.674264430407945e-05,0.15835570737605392
