country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,19,19,3761388470.53,2155424124.73,5916812595.26
ATG,Antigua and Barbuda,Other,33,33,59906944.70,145349981.83,205256926.54
BEL,Belgium,Europe,158,87,20525972992.56,37221109505.25,57747082497.81
BHS,Bahamas,Other,16,50,502415710.66,931755030.18,1434170740.85
BMU,Bermuda,Other,3,25,1129267.00,91335144.43,92464411.43
BRA,Brazil,Latin_America,83,79,7338942458.41,13815821068.85,21154763527.26
BRB,Barbados,Other,30,36,62200559.38,286665976.17,348866535.55
CAN,Canada,North_America,150,90,12162981312.72,27702819616.00,39865800928.72
COL,Colombia,Latin_America,49,50,8763743659.75,733572259.19,9497315918.94
CRI,Costa Rica,Other,27,48,15154799.76,952535389.82,967690189.58
CUB,Cuba,Other,6,31,18759796.56,2061435496.00,2080195292.56
ESP,Spain,Europe,134,94,4545325009.13,39582743225.02,44128068234.15
FRA,France,Europe,170,111,9466020145.40,62183876165.66,71649896311.06
GBR,United Kingdom,Europe,172,95,37775565309.90,27240317124.97,65015882434.87
MEX,Mexico,North_America,84,65,8682575855.27,11421509870.69,20104085725.96
NLD,Netherlands,Europe,156,95,40563204943.68,40913024378.28,81476229321.96
SWE,Sweden,Europe,127,59,5041948389.29,12512661039.12,17554609428.42
TTO,Trinidad and Tobago,Other,46,48,8121927084.74,1990494240.84,10112421325.58
USA,USA,North_America,185,123,26867489131.17,137276421264.16,164143910395.33
ZWE,Zimbabwe,Other,11,32,4911938.44,441968033.14,446879971.58
AFG,Afghanistan,Other,6,27,1204911.00,462965150.39,464170061.39
HND,Honduras,Other,12,48,6444552.03,795234405.39,801678957.42
KEN,Kenya,Other,55,60,416210241.13,1317006224.71,1733216465.85
KGZ,Kyrgyzstan,Other,30,38,57189434.00,313398260.00,370587694.00
PAK,Pakistan,Other,22,53,559474373.60,5242722931.34,5802197304.94
VEN,Venezuela,Latin_America,56,43,15575159967.69,55531419.00,15630691386.69
AGO,Angola,Africa,26,56,21184691922.00,411129273.27,21595821195.27
CHL,Chile,Latin_America,25,49,798482809.03,6404169148.73,7202651957.76
CHN,China,Asia_Pacific,164,90,11378486871.01,61949738930.44,73328225801.45
COD,Dem. Rep. of the Congo,Other,10,28,248209774.35,254831327.75,503041102.10
DEU,Germany,Europe,174,92,19271520506.94,63274148426.12,82545668933.06
ECU,Ecuador,Latin_America,31,39,6219602077.64,559073181.70,6778675259.34
HKG,"China, Hong Kong SAR",Other,81,45,88996964.41,7010998710.06,7099995674.47
IND,India,Asia_Pacific,115,71,7282607039.59,7409844967.36,14692452006.95
ISR,Israel,Other,61,48,1029928421.12,2674776880.34,3704705301.46
ITA,Italy,Europe,164,90,10506506128.18,42154497777.83,52661003906.01
JPN,Japan,Asia_Pacific,143,72,2916380993.19,85594262077.86,88510643071.06
NOR,Norway,Europe,79,54,44419280565.82,1902034084.47,46321314650.29
PER,Peru,Latin_America,35,43,1230769905.60,2358105382.24,3588875287.84
PRT,Portugal,Other,63,65,816268450.52,8144143084.75,8960411535.27
SGP,Singapore,Asia_Pacific,119,75,28229000957.52,33122962022.25,61351962979.77
STP,Sao Tome and Principe,Other,1,12,1195.00,13713551.00,13714746.00
THA,Thailand,Asia_Pacific,79,74,4214777785.06,20463345608.30,24678123393.36
TUR,T_kiye,Other,111,81,2183969814.93,5757907801.54,7941877616.47
URY,Uruguay,Other,11,28,142427805.85,946518503.26,1088946309.11
ZAF,South Africa,Africa,125,71,5777804217.90,7730352037.76,13508156255.66
AIA,Anguilla,Other,1,4,291470.00,23055869.00,23347339.00
BGD,Bangladesh,Other,17,51,46842593.00,1253855240.00,1300697833.00
ALB,Albania,Other,10,37,44894019.98,212462581.20,257356601.18
BGR,Bulgaria,Other,89,52,956756109.96,939708671.91,1896464781.87
GRC,Greece,Other,114,73,1325052730.25,9554717312.14,10879770042.39
HRV,Croatia,Other,63,53,767182341.01,2642890318.77,3410072659.77
KOR,Rep. of Korea,Asia_Pacific,132,88,12493769083.51,65923232567.73,78417001651.24
MKD,North Macedonia,Other,27,38,3814480.54,514737206.97,518551687.51
PAN,Panama,Other,37,61,361734799.50,435007493.75,796742293.25
PRK,Dem. People's Rep. of Korea,Other,17,20,139776738.14,716954197.77,856730935.91
AND,Andorra,Other,10,7,409707.84,104396579.90,104806287.74
BFA,Burkina Faso,Other,25,48,5274877.07,255146488.40,260421365.47
DZA,Algeria,Africa,57,50,39751123181.93,132898812.91,39884021994.85
MYS,Malaysia,Asia_Pacific,82,56,16558998242.51,8900577374.91,25459575617.42
POL,Poland,Other,99,59,2717777090.15,11266672111.00,13984449201.15
SVK,Slovakia,Other,37,45,1784858213.49,4270821797.22,6055680010.71
TLS,Timor-Leste,Other,5,6,65860982.00,34384905.00,100245887.00
ARE,United Arab Emirates,Middle_East,122,73,33544447826.09,693426177.94,34237874004.04
ARM,Armenia,Other,7,33,20678.00,294882791.12,294903469.12
AUS,Australia,Asia_Pacific,112,76,28379306168.50,12922752973.57,41302059142.07
AUT,Austria,Other,110,65,1109297578.94,8017200607.06,9126498186.00
AZE,Azerbaijan,Former_USSR,51,40,4026944516.01,440153680.83,4467098196.84
BDI,Burundi,Other,3,17,43213.00,21417046.61,21460259.61
BEN,Benin,Other,10,31,161282142.78,130927622.61,292209765.40
BHR,Bahrain,Middle_East,47,47,2349122306.03,59703240.12,2408825546.15
BIH,Bosnia Herzegovina,Other,12,39,68420240.56,804516606.00,872936846.56
BRN,Brunei Darussalam,Other,10,16,5752667060.00,72947542.83,5825614602.83
CIV,C_e d'Ivoire,Other,69,55,1893816075.23,1650034900.57,3543850975.80
CMR,Cameroon,Other,33,42,1965421390.98,849589418.86,2815010809.84
COG,Congo,Other,21,30,4891688230.93,44109440.88,4935797671.81
COM,Comoros,Other,0,17,0.00,12613211.34,12613211.34
CYP,Cyprus,Other,21,57,29421419.76,1309562988.29,1338984408.05
DJI,Djibouti,Other,4,10,69616.30,21512030.17,21581646.46
DNK,Denmark,Europe,112,59,7336798911.21,4427760965.53,11764559876.74
EGY,Egypt,Africa,81,59,5530010290.30,2749647366.61,8279657656.91
ERI,Eritrea,Other,1,12,22.00,4192572.68,4192594.68
EST,Estonia,Other,86,41,1479796657.32,1080627272.78,2560423930.10
ETH,Ethiopia,Other,3,41,474.10,670196354.28,670196828.38
FIN,Finland,Other,82,51,2843439277.33,7283889306.41,10127328583.74
FJI,Fiji,Other,15,27,175398615.00,461129521.00,636528136.00
GAB,Gabon,Other,34,41,4133440215.98,49945428.00,4183385643.98
GEO,Georgia,Other,22,36,398834169.02,429370866.95,828205035.97
GHA,Ghana,Other,22,47,188184783.72,650677444.49,838862228.21
GIN,Guinea,Other,6,35,84945435.00,128257248.62,213202683.62
GMB,Gambia,Other,1,31,521228.00,52649621.55,53170849.55
GNQ,Equatorial Guinea,Other,19,23,5743925042.41,103790436.68,5847715479.10
HUN,Hungary,Other,55,42,1126002197.97,6106289735.26,7232291933.23
IDN,Indonesia,Asia_Pacific,75,48,26029990208.04,17289105981.26,43319096189.30
IRN,Iran,Middle_East,77,50,37205922316.54,4133116589.49,41339038906.03
IRQ,Iraq,Middle_East,23,33,17214049880.65,557166531.47,17771216412.12
JAM,Jamaica,Other,18,36,1355557.44,1361312462.00,1362668019.44
JOR,Jordan,Other,14,48,29741221.08,2347883269.72,2377624490.80
KAZ,Kazakhstan,Former_USSR,54,52,17147943315.11,1770824793.00,18918768108.11
KHM,Cambodia,Other,3,21,483524.00,186095994.89,186579518.89
KWT,Kuwait,Middle_East,54,40,32193745198.84,181393199.09,32375138397.92
LBN,Lebanon,Other,41,54,7987606.78,2109804405.03,2117792011.81
LBR,Liberia,Other,8,37,14186169.10,135067693.59,149253862.69
LBY,Libya,Africa,34,36,27629087226.07,786574895.28,28415662121.35
LKA,Sri Lanka,Other,10,38,367348.00,1108740041.00,1109107389.00
MAR,Morocco,Other,29,52,495636388.85,4347354290.49,4842990679.33
MDG,Madagascar,Other,31,30,30335572.11,263702767.04,294038339.15
MDV,Maldives,Other,5,29,37260561.33,115373529.19,152634090.52
MLI,Mali,Other,14,40,6783673.88,369817843.56,376601517.44
MLT,Malta,Other,20,53,144723136.47,511202659.91,655925796.38
MMR,Myanmar,Other,5,22,1569982209.00,310481947.10,1880464156.10
MOZ,Mozambique,Other,11,25,126910232.70,44054375.05,170964607.74
MRT,Mauritania,Other,3,38,20942.00,26153192.40,26174134.40
MUS,Mauritius,Other,13,36,3040072.78,515182519.87,518222592.65
MWI,Malawi,Other,5,18,1667147.53,120796533.40,122463680.94
MYT,Mayotte (Overseas France),Other,2,20,34992.00,40579380.00,40614372.00
NER,Niger,Other,19,36,82178207.00,98076063.03,180254270.03
NGA,Nigeria,Africa,44,47,22123155044.98,2337238022.17,24460393067.15
NPL,Nepal,Other,0,14,0.00,339724678.10,339724678.10
NZL,New Zealand,Other,50,50,542489066.43,2938041852.00,3480530918.43
OMN,Oman,Middle_East,39,34,14690588312.45,362430230.71,15053018543.16
PHL,Philippines,Other,56,41,693769693.01,5809405261.20,6503174954.21
PSE,State of Palestine,Other,1,4,550548.00,99743.54,650291.54
QAT,Qatar,Middle_East,39,42,22229241709.46,11876040.52,22241117749.98
RUS,Russian Federation,Former_USSR,115,59,137042840362.94,1125738121.43,138168578484.37
RWA,Rwanda,Other,13,18,2551807.00,4937816.00,7489623.00
SAU,Saudi Arabia,Middle_East,85,56,86784697952.17,348874309.63,87133572261.79
SDN,Sudan (...2011),Other,12,40,4636340416.58,102430088.41,4738770504.99
SEN,Senegal,Other,29,45,101829398.45,805440730.54,907270128.99
SLE,Sierra Leone,Other,1,28,2159099.00,90946679.88,93105778.88
SOM,Somalia,Other,4,8,1423220.00,4161798.00,5585018.00
SVN,Slovenia,Other,52,53,13374515.57,1635911267.28,1649285782.85
SYC,Seychelles,Other,16,31,264111448.41,300099714.26,564211162.67
SYR,Syria,Other,46,40,3739124728.79,481103557.06,4220228285.85
TCD,Chad,Other,5,14,1940253138.00,15645879.57,1955899017.57
TGO,Togo,Other,11,47,112423247.41,184341453.07,296764700.48
TJK,Tajikistan,Other,1,18,1127992.00,96547344.46,97675336.46
TKM,Turkmenistan,Former_USSR,24,21,4331300717.45,8493425.00,4339794142.45
TUN,Tunisia,Other,57,44,1211531083.61,1764354123.60,2975885207.21
TZA,United Rep. of Tanzania,Other,31,50,87791666.56,723280186.33,811071852.89
UGA,Uganda,Other,8,36,9924995.28,342061111.66,351986106.93
UKR,Ukraine,Other,95,52,2636435082.94,10444787040.99,13081222123.93
UZB,Uzbekistan,Former_USSR,20,26,612462545.28,90619414.44,703081959.72
VNM,Viet Nam,Other,52,40,8377695831.80,4736766181.39,13114462013.18
YEM,Yemen,Other,31,34,5413866511.83,1060423810.39,6474290322.21
ZMB,Zambia,Other,10,28,13285243.03,258502224.00,271787467.03
ARG,Argentina,Latin_America,48,50,6944684005.94,1035846028.83,7980530034.76
BOL,Bolivia (Plurinational State of),Other,9,33,1453568201.41,238333486.72,1691901688.13
DOM,Dominican Rep.,Other,18,41,229199796.54,86374755.76,315574552.30
GTM,Guatemala,Other,21,45,217084337.98,1367470922.00,1584555259.98
LCA,Saint Lucia,Other,12,21,101052233.00,246603182.59,347655415.59
NIC,Nicaragua,Other,7,37,12936360.37,362248522.00,375184882.37
PRY,Paraguay,Other,4,20,16062.65,533235416.28,533251478.93
SLV,El Salvador,Other,24,41,26330709.89,833715594.58,860046304.47
ASM,American Samoa,Other,4,5,16372.00,4059683.00,4076055.00
WSM,Samoa,Other,4,12,1053555.91,36993249.00,38046804.91
ATA,Antarctica,Other,1,3,458.00,10482137.00,10482595.00
ATF,Fr. South Antarctic Terr.,Other,1,5,15356407.00,19311384.00,34667791.00
BLZ,Belize,Other,12,31,33327049.22,86730077.43,120057126.65
DMA,Dominica,Other,5,20,73401.00,26194225.50,26267626.50
GIB,Gibraltar,Other,5,30,28070070.15,2396927922.46,2424997992.61
GRD,Grenada,Other,5,17,14264.00,24226428.00,24240692.00
GUY,Guyana,Other,10,17,81997.00,203075489.00,203157486.00
KNA,Saint Kitts and Nevis,Other,2,16,6138.00,28697358.00,28703496.00
MSR,Montserrat,Other,3,8,5241.00,7548734.46,7553975.46
SUR,Suriname,Other,12,30,20393744.27,146277103.12,166670847.39
VCT,Saint Vincent and the Grenadines,Other,6,33,9337.00,63646312.90,63655649.90
VGB,Br. Virgin Isds,Other,3,13,24186510.00,3448006242.00,3472192752.00
BWA,Botswana,Other,8,6,17829687.03,386352974.00,404182661.03
CCK,Cocos Isds,Other,0,2,0.00,1235475.00,1235475.00
CHE,Switzerland,Other,144,69,1383746218.40,8222842997.59,9606589215.99
COK,Cook Isds,Other,0,10,0.00,7348799.00,7348799.00
CXR,Christmas Isds,Other,0,3,0.00,3745726.00,3745726.00
CZE,Czechia,Other,80,58,1058487492.85,4574618275.70,5633105768.56
FSM,FS Micronesia,Other,0,10,0.00,20169193.00,20169193.00
GUM,Guam,Other,5,8,16301469.00,530205767.00,546507236.00
IRL,Ireland,Other,50,45,677026172.65,4961696568.21,5638722740.86
ISL,Iceland,Other,50,39,38709490.14,480180029.65,518889519.79
KIR,Kiribati,Other,1,9,611.00,12566053.00,12566664.00
LAO,Lao People's Dem. Rep.,Other,2,8,3970091.00,195096133.00,199066224.00
MAC,"China, Macao SAR",Other,3,27,3157725.59,341735669.50,344893395.09
MNG,Mongolia,Other,12,26,39183652.00,304369247.86,343552899.86
MNP,N. Mariana Isds,Other,1,4,3062.00,92824021.00,92827083.00
NCL,New Caledonia,Other,6,25,10858779.00,278143559.00,289002338.00
NFK,Norfolk Isds,Other,0,4,0.00,1976550.00,1976550.00
NRU,Nauru,Other,1,3,21199.00,12179116.00,12200315.00
PLW,Palau,Other,1,3,1336.00,82030.00,83366.00
PNG,Papua New Guinea,Other,10,14,1079902320.00,489778260.00,1569680580.00
PYF,French Polynesia,Other,6,18,5083.00,160555269.00,160560352.00
ROU,Romania,Other,101,55,2344267108.79,5268576179.45,7612843288.24
SHN,Saint Helena,Other,1,4,77.00,8015894.66,8015971.66
SLB,Solomon Isds,Other,4,14,37986.00,4012236.59,4050222.59
TON,Tonga,Other,1,10,15.00,25091063.00,25091078.00
TUV,Tuvalu,Other,2,7,4472.00,2730299.65,2734771.65
VUT,Vanuatu,Other,2,11,22900.00,18885820.96,18908720.96
