country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
CRI,Costa Rica,Other,44,35,36375355.17,448694487.00,485069842.17
CUB,Cuba,Other,9,32,95727147.00,960421584.00,1056148731.00
DOM,Dominican Rep.,Other,9,22,4289337.00,1167976291.60,1172265628.60
SLV,El Salvador,Other,8,30,26794919.00,218432989.66,245227908.66
SVN,Slovenia,Other,38,47,11682244.89,740205139.64,751887384.53
SWE,Sweden,Europe,121,62,2069889587.31,5311232400.80,7381121988.11
ASM,American Samoa,Other,3,4,61339.00,17574490.00,17635829.00
TON,Tonga,Other,2,15,51.00,14647650.80,14647701.80
ATG,Antigua and Barbuda,Other,3,23,212616.00,29506410.81,29719026.81
DMA,Dominica,Other,6,14,40187.00,12593561.00,12633748.00
KNA,Saint Kitts and Nevis,Other,2,9,517241.00,14041664.00,14558905.00
ATF,Fr. South Antarctic Terr.,Other,0,3,0.00,325814.00,325814.00
BGR,Bulgaria,Other,83,49,292791387.01,343963930.00,636755317.01
BRN,Brunei Darussalam,Other,14,19,3175379086.00,2286418.00,3177665504.00
CCK,Cocos Isds,Other,0,1,0.00,78717.00,78717.00
COK,Cook Isds,Other,1,4,1507.00,4624759.00,4626266.00
CXR,Christmas Isds,Other,0,4,0.00,1787196.00,1787196.00
FRO,Faroe Isds,Other,3,21,129640.55,59204576.00,59334216.55
FSM,FS Micronesia,Other,1,6,9940.00,11077765.00,11087705.00
GUM,Guam,Other,3,6,2716725.00,333170543.00,335887268.00
ISL,Iceland,Other,16,36,1968444.70,341718427.00,343686871.70
ISR,Israel,Other,56,45,431791410.09,907833439.64,1339624849.73
KHM,Cambodia,Other,3,23,51665.00,210909822.81,210961487.81
KIR,Kiribati,Other,1,3,12.00,211023.00,211035.00
LUX,Luxembourg,Other,31,26,23082001.43,581925256.24,605007257.67
MHL,Marshall Isds,Other,1,12,2738513.00,14334836.20,17073349.20
MNP,N. Mariana Isds,Other,0,4,0.00,40297481.97,40297481.97
NCL,New Caledonia,Other,9,21,5195941.00,123819069.00,129015010.00
NFK,Norfolk Isds,Other,0,3,0.00,2273180.00,2273180.00
NRU,Nauru,Other,3,2,19533.00,333754.00,353287.00
PLW,Palau,Other,0,4,0.00,1897903.00,1897903.00
PYF,French Polynesia,Other,6,21,16549.00,88121343.25,88137892.25
SLB,Solomon Isds,Other,1,5,6405.00,12979730.00,12986135.00
TLS,Timor-Leste,Other,1,5,2927.00,23563149.00,23566076.00
TTO,Trinidad and Tobago,Other,81,37,2339236224.36,914771212.00,3254007436.36
TUV,Tuvalu,Other,2,6,37796.00,3395661.00,3433457.00
UMI,United States Minor Outlying Islands,Other,2,5,1754210.00,1986892.00,3741102.00
VUT,Vanuatu,Other,3,14,8565.00,5777007.98,5785572.98
WLF,Wallis and Futuna Isds,Other,1,9,719600.00,3736395.00,4455995.00
WSM,Samoa,Other,6,6,109617.00,16810475.00,16920092.00
ZWE,Zimbabwe,Other,8,29,6602345.77,261787356.61,268389702.38
BIH,Bosnia Herzegovina,Other,3,23,1143105.00,187122746.13,188265851.13
BLR,Belarus,Other,29,33,543641145.89,2058625950.00,2602267095.89
BLZ,Belize,Other,5,34,27246195.00,76484541.79,103730736.79
CZE,Czechia,Other,70,48,538362149.72,3136392308.00,3674754457.72
JAM,Jamaica,Other,20,36,12251960.00,607052828.00,619304788.00
LTU,Lithuania,Other,54,40,825335759.32,1282577344.71,2107913104.03
LVA,Latvia,Other,34,33,779326254.97,226862811.85,1006189066.82
MDA,Rep. of Moldova,Other,5,34,7803.00,213294427.99,213302230.99
POL,Poland,Other,58,48,1366742469.78,4869261230.61,6236003700.39
PRK,Dem. People's Rep. of Korea,Other,20,21,41812368.78,260352290.21,302164658.99
SVK,Slovakia,Other,41,39,745166846.95,2176240811.94,2921407658.89
GIB,Gibraltar,Other,4,27,4370286.62,742442675.85,746812962.47
BRB,Barbados,Other,22,34,130818930.00,126801243.10,257620173.10
CAF,Central African Rep.,Other,3,10,34375.00,5302183.11,5336558.11
GNB,Guinea-Bissau,Other,2,6,65536182.00,4491831.13,70028013.13
GNQ,Equatorial Guinea,Other,11,16,1617437593.80,36687232.80,1654124826.60
GRD,Grenada,Other,3,14,4054.00,18424119.61,18428173.61
GRL,Greenland,Other,3,7,832.00,61587699.00,61588531.00
HTI,Haiti,Other,2,9,272600.00,11833879.00,12106479.00
LAO,Lao People's Dem. Rep.,Other,3,8,1903661.42,76472251.20,78375912.62
SLE,Sierra Leone,Other,5,23,344731.00,54166208.34,54510939.34
SUR,Suriname,Other,20,25,25864877.00,44117040.00,69981917.00
CYM,Cayman Isds,Other,2,17,3830624.00,25913230.27,29743854.27
TCA,Turks and Caicos Isds,Other,2,5,26791.11,592752.50,619543.61
BMU,Bermuda,Other,7,17,13546429.00,1372523398.71,1386069827.71
LCA,Saint Lucia,Other,3,17,10159543.00,80120436.00,90279979.00
BTN,Bhutan,Other,2,1,46059.00,100753.00,146812.00
BWA,Botswana,Other,6,13,1089502.17,122925055.22,124014557.39
SPM,Saint Pierre and Miquelon,Other,0,2,0.00,1064461.00,1064461.00
FLK,Falkland Isds (Malvinas),Other,0,4,0.00,17799923.45,17799923.45
MAC,"China, Macao SAR",Other,1,15,122664.00,136547723.50,136670387.50
LSO,Lesotho,Other,3,5,46444.93,25297109.39,25343554.33
ATA,Antarctica,Other,0,1,0.00,219000.00,219000.00
PSE,State of Palestine,Other,1,3,447219.00,27084.00,474303.00
MSR,Montserrat,Other,3,5,181160.00,1426969.00,1608129.00
SMR,San Marino,Other,1,2,2525.39,8279705.00,8282230.39
SHN,Saint Helena,Other,1,5,117.00,8138987.28,8139104.28
TKL,Tokelau,Other,1,2,11686.00,116800.00,128486.00
PCN,Pitcairn,Other,0,3,0.00,203436.00,203436.00
SGS,South Georgia and the South Sandwich Islands,Other,0,1,0.00,6258.00,6258.00
VAT,Holy See (Vatican City State),Other,0,1,0.00,1976613.09,1976613.09
IOT,Br. Indian Ocean Terr.,Other,0,3,0.00,13897824.00,13897824.00
NIU,Niue,Other,1,1,8420.00,1846.00,10266.00
ESH,Western Sahara,Other,0,1,0.00,680.00,680.00
BVT,Bouvet Island,Other,0,1,0.00,124526347.00,124526347.00
SWZ,Eswatini,Other,6,2,6291528.00,86132830.84,92424358.84
