source,target,weight,data_source
ABW,ARE,77543.90,import_reported
ABW,BEL,111.89,import_reported
ABW,CAN,13.97,import_reported
ABW,GUY,11401986.75,import_reported
ABW,ITA,1604.85,import_reported
ABW,KOR,11906.00,import_reported
ABW,NLD,347.51,import_reported
ABW,USA,102.79,export_mirrored
ARE,AFG,48059592.59,export_mirrored
ARE,AGO,76018673.36,import_reported
ARE,ALB,27550.45,export_mirrored
ARE,ARG,821063036.60,import_reported
ARE,ARM,807723.21,import_reported
ARE,ATG,47254.52,export_mirrored
ARE,AUS,315977919.68,import_reported
ARE,AUT,38487620.59,import_reported
ARE,AZE,3866812.89,import_reported
ARE,BDI,127360625.79,import_reported
ARE,BEL,37059240.41,import_reported
ARE,BEN,92946416.58,import_reported
ARE,BFA,115739703.36,import_reported
ARE,BGD,60478910.65,export_mirrored
ARE,BGR,10175.03,import_reported
ARE,BHR,36114604.18,import_reported
ARE,BIH,375939.79,import_reported
ARE,BLR,82804.90,export_mirrored
ARE,BOL,48094.00,import_reported
ARE,BRA,2326204345.00,import_reported
ARE,BRN,1111924035.39,import_reported
ARE,BWA,295962.90,import_reported
ARE,CAF,1003217.37,import_reported
ARE,CAN,59511802.26,import_reported
ARE,CCK,10379.85,export_mirrored
ARE,CHE,1553.66,export_mirrored
ARE,CHL,2010824.96,import_reported
ARE,CHN,7497611164.00,import_reported
ARE,CIV,14024007.30,import_reported
ARE,CMR,95401900.19,import_reported
ARE,COD,644063244.12,import_reported
ARE,COG,4054732.82,import_reported
ARE,COL,1176136.92,import_reported
ARE,COM,12782141.85,export_mirrored
ARE,CPV,187760771.50,import_reported
ARE,CRI,742048.42,import_reported
ARE,CUB,1575.75,export_mirrored
ARE,CUW,593322.32,export_mirrored
ARE,CYM,80431.58,export_mirrored
ARE,CYP,200229.83,import_reported
ARE,CZE,92.63,export_mirrored
ARE,DEU,346904826.67,import_reported
ARE,DJI,35701496.63,import_reported
ARE,DMA,5224.07,import_reported
ARE,DNK,30164640.14,import_reported
ARE,DOM,46697.02,import_reported
ARE,DZA,13697556.33,export_mirrored
ARE,ECU,274898.30,import_reported
ARE,EGY,995281062.40,import_reported
ARE,ERI,11503486.41,export_mirrored
ARE,ESP,1025141832.37,import_reported
ARE,EST,240963.23,import_reported
ARE,ETH,177206618.06,import_reported
ARE,FIN,94.78,import_reported
ARE,FJI,494924.84,import_reported
ARE,FRA,1935627005.82,import_reported
ARE,GAB,2215331.08,import_reported
ARE,GBR,2814143535.34,import_reported
ARE,GEO,1597490.62,import_reported
ARE,GHA,107263839.32,import_reported
ARE,GIN,20278659.87,export_mirrored
ARE,GMB,55725716.69,import_reported
ARE,GNB,601455.12,export_mirrored
ARE,GNQ,1336632.34,export_mirrored
ARE,GRC,195628.00,import_reported
ARE,GRD,7033.36,export_mirrored
ARE,GTM,2450472.00,import_reported
ARE,GUY,1274550.26,import_reported
ARE,HKG,31183025.14,import_reported
ARE,HND,1652896.52,export_mirrored
ARE,HTI,643259.18,export_mirrored
ARE,HUN,230.00,import_reported
ARE,IDN,1872165294.00,import_reported
ARE,IND,9418427250.60,import_reported
ARE,IRL,576747305.36,import_reported
ARE,IRN,149173533.00,import_reported
ARE,IRQ,5294139730.94,export_mirrored
ARE,ISL,19937801.12,import_reported
ARE,ISR,94552000.00,import_reported
ARE,ITA,875133511.40,import_reported
ARE,JAM,438347.34,import_reported
ARE,JOR,482631204.50,import_reported
ARE,JPN,5802431530.00,import_reported
ARE,KAZ,2887807.88,import_reported
ARE,KEN,3025986224.76,import_reported
ARE,KGZ,334309.00,import_reported
ARE,KHM,2489046.61,import_reported
ARE,KOR,14564199448.00,import_reported
ARE,KWT,98734740.55,import_reported
ARE,LAO,1499073.60,import_reported
ARE,LBN,106393201.00,import_reported
ARE,LBR,2939255.84,import_reported
ARE,LBY,9463887.22,export_mirrored
ARE,LKA,653070429.47,import_reported
ARE,LSO,4419472.79,import_reported
ARE,LTU,662216.00,import_reported
ARE,LUX,7126.65,import_reported
ARE,LVA,651.84,import_reported
ARE,MAR,140325824.20,import_reported
ARE,MDA,1838320.00,import_reported
ARE,MDG,81298652.93,import_reported
ARE,MDV,45560525.11,import_reported
ARE,MEX,22900.87,export_mirrored
ARE,MKD,168970.96,import_reported
ARE,MLI,24768098.18,export_mirrored
ARE,MLT,28361.76,import_reported
ARE,MMR,24835263.07,import_reported
ARE,MNG,848512.01,import_reported
ARE,MOZ,1318378791.97,import_reported
ARE,MRT,879283441.52,import_reported
ARE,MUS,528361111.75,import_reported
ARE,MWI,132734154.13,import_reported
ARE,MYS,3345735409.00,import_reported
ARE,NER,1071527.53,import_reported
ARE,NGA,1174271189.33,import_reported
ARE,NIC,36242.50,import_reported
ARE,NLD,932880185.67,import_reported
ARE,NOR,165882359.60,import_reported
ARE,NPL,7149297.28,import_reported
ARE,NZL,529930914.65,import_reported
ARE,OMN,887085002.54,import_reported
ARE,PAK,6750901033.70,import_reported
ARE,PAN,717845.00,import_reported
ARE,PER,7146800.97,import_reported
ARE,PHL,1565342418.00,import_reported
ARE,PNG,511849.92,export_mirrored
ARE,POL,69056402.00,import_reported
ARE,PRT,361.46,export_mirrored
ARE,PRY,198961173.30,import_reported
ARE,PSE,2156230.84,import_reported
ARE,QAT,4571383.25,import_reported
ARE,ROU,1327320.07,import_reported
ARE,RUS,10506094.36,export_mirrored
ARE,RWA,307343885.27,import_reported
ARE,SAU,1876634947.99,import_reported
ARE,SDN,108210876.32,export_mirrored
ARE,SEN,293224576.60,import_reported
ARE,SGP,14112845750.64,import_reported
ARE,SLE,1939367.68,export_mirrored
ARE,SLV,98442.34,import_reported
ARE,SOM,90172129.17,export_mirrored
ARE,SRB,215758.00,import_reported
ARE,SSD,6506438.21,export_mirrored
ARE,STP,103586.21,import_reported
ARE,SUR,535733.50,import_reported
ARE,SVK,12.64,import_reported
ARE,SVN,36805690.83,import_reported
ARE,SWE,11843090.80,import_reported
ARE,SWZ,30991823.05,import_reported
ARE,SYC,264723071.65,import_reported
ARE,SYR,7197978.83,export_mirrored
ARE,TCD,23771672.20,export_mirrored
ARE,TGO,10345156.09,import_reported
ARE,THA,16069175961.36,import_reported
ARE,TJK,739521.00,import_reported
ARE,TKM,7889302.83,export_mirrored
ARE,TON,37153.60,export_mirrored
ARE,TTO,349100.80,import_reported
ARE,TUN,4099624.51,import_reported
ARE,TUR,340483464.00,import_reported
ARE,TZA,2050332092.88,import_reported
ARE,UGA,1224409288.19,import_reported
ARE,UKR,28585263.11,import_reported
ARE,URY,40518644.31,import_reported
ARE,USA,1816898500.00,import_reported
ARE,UZB,1725200.31,import_reported
ARE,VEN,14006442.20,export_mirrored
ARE,VGB,34207.42,export_mirrored
ARE,VNM,136243053.08,import_reported
ARE,WSM,166050.10,export_mirrored
ARE,YEM,151728114.18,export_mirrored
