source,target,weight,data_source
ABW,ARG,13817092.00,import_reported
ABW,BEL,9802128.00,import_reported
ABW,BRA,37068418.00,import_reported
ABW,COL,930893.00,import_reported
ABW,CRI,16388751.00,import_reported
ABW,ECU,7621782.00,import_reported
ABW,FRA,39021903.00,import_reported
ABW,GBR,20662089.00,import_reported
ABW,GTM,8546571.00,import_reported
ABW,HND,11427972.00,import_reported
ABW,LBN,211671.00,import_reported
ABW,MEX,6735545.00,import_reported
ABW,PER,14855.00,import_reported
ABW,TTO,71533.00,import_reported
ABW,USA,961855354.00,import_reported
ABW,VEN,16761.00,import_reported
ARG,AGO,2300455.00,export_mirrored
ARG,BHS,11653.00,import_reported
ARG,BOL,70665391.00,import_reported
ARG,BRA,929783862.00,import_reported
ARG,BRB,8291.00,import_reported
ARG,CAN,20786827.00,import_reported
ARG,CHL,2232831792.08,import_reported
ARG,CHN,70788301.00,import_reported
ARG,COL,14316130.00,import_reported
ARG,CRI,295250.00,import_reported
ARG,CUB,241296.00,import_reported
ARG,DEU,520.00,export_mirrored
ARG,DJI,505.00,export_mirrored
ARG,DOM,416167.91,import_reported
ARG,ECU,9958470.00,import_reported
ARG,ESP,45583850.00,import_reported
ARG,FRA,9998.00,export_mirrored
ARG,GBR,1522.00,export_mirrored
ARG,GTM,130.00,import_reported
ARG,HND,36976.00,import_reported
ARG,ITA,5826.04,import_reported
ARG,JPN,17231762.00,import_reported
ARG,KEN,1.00,export_mirrored
ARG,KOR,212285561.00,import_reported
ARG,KWT,6714.00,import_reported
ARG,LBR,2467270.00,export_mirrored
ARG,MAR,4660.43,import_reported
ARG,MEX,12688.00,import_reported
ARG,MUS,24979.00,import_reported
ARG,MYT,20998.00,import_reported
ARG,NGA,11826330.00,export_mirrored
ARG,NLD,3988713.00,import_reported
ARG,NZL,30.00,import_reported
ARG,PAN,24822600.00,export_mirrored
ARG,PER,32338526.00,import_reported
ARG,PRY,226037029.00,import_reported
ARG,ROU,24.98,import_reported
ARG,RUS,21339.00,import_reported
ARG,SLV,266774.86,import_reported
ARG,SWE,868.00,import_reported
ARG,THA,259.00,import_reported
ARG,TTO,9190.00,import_reported
ARG,TUR,21408851.00,import_reported
ARG,URY,118663909.00,import_reported
ARG,USA,1427619652.00,import_reported
ARG,VEN,159228.00,import_reported
BEL,ABW,1630.00,export_mirrored
BEL,AFG,1548.00,export_mirrored
BEL,AGO,778126.00,export_mirrored
