country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,21,15,2386901645.07,1757101136.94,4144002782.01
ARG,Argentina,Latin_America,50,56,6045808061.27,444716095.70,6490524156.97
BEL,Belgium,Europe,154,85,12466738402.01,25667313584.99,38134051987.00
BOL,Bolivia (Plurinational State of),Other,13,35,1005779326.54,121829042.82,1127608369.36
BRA,Brazil,Latin_America,83,74,4683909143.11,11437315018.91,16121224162.02
CAN,Canada,North_America,146,89,8811961268.84,18585136172.10,27397097440.94
CRI,Costa Rica,Other,19,44,1157010.99,702896773.23,704053784.22
DEU,Germany,Europe,173,98,11701481983.14,44406036888.79,56107518871.92
ESP,Spain,Europe,135,96,3361349008.52,28052144687.08,31413493695.60
FRA,France,Europe,173,116,6592901209.14,44852231311.47,51445132520.61
GBR,United Kingdom,Europe,174,103,28503836820.37,28594326450.93,57098163271.30
GTM,Guatemala,Other,22,44,215571915.25,1263335230.90,1478907146.15
GUY,Guyana,Other,9,20,277940.00,124090124.00,124368064.00
HND,Honduras,Other,15,50,12043681.69,489030836.25,501074517.94
MEX,Mexico,North_America,70,53,6000727139.84,7033527081.64,13034254221.48
NLD,Netherlands,Europe,155,94,26919491543.60,28026491948.25,54945983491.85
PAN,Panama,Other,37,60,209062461.94,512848903.27,721911365.21
SLV,El Salvador,Other,17,42,25513422.69,597124369.73,622637792.42
SUR,Suriname,Other,14,28,15849502.00,86142208.00,101991710.00
TTO,Trinidad and Tobago,Other,44,37,5422993423.66,1173325133.00,6596318556.66
USA,USA,North_America,182,126,18523302543.06,95160003856.19,113683306399.25
YEM,Yemen,Other,35,36,3925451175.74,499438984.32,4424890160.06
AFG,Afghanistan,Other,6,24,8396420.00,161941315.38,170337735.38
CZE,Czechia,Other,75,54,748757615.95,3948183816.85,4696941432.80
IDN,Indonesia,Asia_Pacific,65,56,20403481318.75,11626840688.92,32030322007.66
PAK,Pakistan,Other,22,53,328120753.98,3265931468.19,3594052222.16
AGO,Angola,Africa,21,39,12753927804.63,60241006.17,12814168810.79
CHL,Chile,Latin_America,25,46,487356227.19,4586469925.73,5073826152.92
