country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,19,18,4281093551.07,1787998382.45,6069091933.53
ARG,Argentina,Latin_America,54,50,6938183237.79,1423153002.21,8361336240.00
ATG,Antigua and Barbuda,Other,37,34,27464101.00,40321147.59,67785248.59
BEL,Belgium,Europe,167,90,28355817002.69,45906440331.86,74262257334.55
BRA,Brazil,Latin_America,90,67,12225041266.12,22420768684.44,34645809950.56
CAN,Canada,North_America,162,110,16177457198.94,33829743341.59,50007200540.53
COL,Colombia,Latin_America,70,47,12228917348.45,955504204.00,13184421552.45
CRI,Costa Rica,Other,32,49,40967203.14,1367144269.44,1408111472.58
DOM,Dominican Rep.,Other,22,52,72906438.93,2909315829.84,2982222268.77
ECU,Ecuador,Latin_America,33,46,7918174241.06,1899797312.40,9817971553.46
FRA,France,Europe,179,113,13671766235.45,79231424416.77,92903190652.23
GBR,United Kingdom,Europe,170,109,49842127808.90,37658456842.91,87500584651.81
GTM,Guatemala,Other,21,46,237107213.07,1927756553.74,2164863766.81
MEX,Mexico,North_America,97,69,11498761080.63,18140099117.30,29638860197.93
PAN,Panama,Other,45,68,501184923.98,678857791.05,1180042715.03
PER,Peru,Latin_America,34,46,2452095612.04,3726944064.00,6179039676.04
SDN,Sudan (...2011),Other,21,58,7870249810.81,299230837.37,8169480648.18
TZA,United Rep. of Tanzania,Other,25,53,60107867.72,1760985125.83,1821092993.55
USA,USA,North_America,184,130,38459646653.20,168899781022.07,207359427675.27
YEM,Yemen,Other,32,43,7008537765.49,1953752791.01,8962290556.50
AFG,Afghanistan,Other,6,30,16173.00,497670508.11,497686681.11
ARE,United Arab Emirates,Middle_East,134,79,52486906620.76,1118995514.77,53605902135.53
HND,Honduras,Other,11,47,105243832.16,1230074767.75,1335318599.91
MOZ,Mozambique,Other,8,39,441262222.65,111519542.79,552781765.43
PAK,Pakistan,Other,32,55,698414199.73,8183124750.31,8881538950.05
TUN,Tunisia,Other,51,50,2590821668.17,2373399179.99,4964220848.15
AGO,Angola,Africa,30,63,37093345935.53,122490092.00,37215836027.53
CHE,Switzerland,Other,159,73,2006546009.10,9632088668.55,11638634677.65
CHL,Chile,Latin_America,37,50,996170923.92,11459038554.42,12455209478.34
CHN,China,Asia_Pacific,178,97,11486388375.33,101015675754.99,112502064130.32
COG,Congo,Other,40,44,7326099763.98,166749740.60,7492849504.58
DEU,Germany,Europe,183,101,24097180386.60,60856698680.27,84953879066.88
ESP,Spain,Europe,144,101,6333501287.78,56923190775.32,63256692063.10
GAB,Gabon,Other,38,44,4532565452.96,93670906.63,4626236359.60
IND,India,Asia_Pacific,145,99,16952590522.31,71153261560.33,88105852082.64
ITA,Italy,Europe,162,95,15330771560.51,56660139988.03,71990911548.54
JPN,Japan,Asia_Pacific,153,80,7218598343.60,114196505327.88,121415103671.48
KOR,Rep. of Korea,Asia_Pacific,142,91,21324130742.43,75913711654.65,97237842397.08
MAR,Morocco,Other,31,57,448863072.21,6211236312.86,6660099385.07
NLD,Netherlands,Europe,162,103,52649777584.49,53544345709.82,106194123294.31
NOR,Norway,Europe,98,64,48887060636.82,2711707076.24,51598767713.06
PRT,Portugal,Other,73,69,1345733163.77,10185459871.16,11531193034.93
SGP,Singapore,Asia_Pacific,129,85,37983321914.93,49502649808.47,87485971723.40
STP,Sao Tome and Principe,Other,1,12,2243883.00,16623389.00,18867272.00
THA,Thailand,Asia_Pacific,98,74,5895389394.21,25090153010.28,30985542404.50
ZAF,South Africa,Africa,136,83,8056698339.18,14295834012.55,22352532351.73
AIA,Anguilla,Other,2,9,105312.00,25725992.00,25831304.00
KNA,Saint Kitts and Nevis,Other,2,27,14453.00,30664158.67,30678611.67
ALB,Albania,Other,14,44,102298003.39,362535539.00,464833542.39
CYP,Cyprus,Other,23,61,381137172.02,1863355147.76,2244492319.78
GRC,Greece,Other,129,77,2922099282.74,10992873801.54,13914973084.28
MKD,North Macedonia,Other,30,39,20806942.29,682151862.39,702958804.68
MNE,Montenegro,Other,7,33,7096823.00,216808861.00,223905684.00
SRB,Serbia,Other,52,53,99879501.74,2766497118.00,2866376619.74
SWE,Sweden,Europe,139,66,6373780589.41,16024452707.14,22398233296.55
TUR,T_kiye,Other,151,78,5796095951.25,10007376871.85,15803472823.10
UGA,Uganda,Other,12,49,1741290.88,637381633.97,639122924.85
URY,Uruguay,Other,10,32,26203731.22,1204815668.61,1231019399.83
AND,Andorra,Other,10,12,6641240.41,97944036.32,104585276.73
LCA,Saint Lucia,Other,7,20,51982645.00,1236561323.93,1288543968.93
MLI,Mali,Other,8,41,6687065.00,476940091.48,483627156.48
MYS,Malaysia,Asia_Pacific,84,62,29626689107.58,12615058779.17,42241747886.75
POL,Poland,Other,101,59,2511453223.77,15644350407.22,18155803630.99
SVK,Slovakia,Other,48,46,2451197323.91,5970084251.48,8421281575.38
ZWE,Zimbabwe,Other,11,39,12702955.42,571535246.19,584238201.60
ARM,Armenia,Other,5,38,1313235.43,458200940.93,459514176.36
AUS,Australia,Asia_Pacific,122,65,35276746855.34,19187638706.00,54464385561.34
AUT,Austria,Other,118,68,1513306005.88,10272390567.94,11785696573.82
AZE,Azerbaijan,Former_USSR,56,43,14197940138.78,125871363.18,14323811501.96
BDI,Burundi,Other,5,14,5925979.00,116693553.00,122619532.00
BEN,Benin,Other,15,42,131183888.64,297027194.90,428211083.55
BFA,Burkina Faso,Other,22,46,60558355.00,400520580.12,461078935.12
BGD,Bangladesh,Other,18,48,180944607.00,1790577859.00,1971522466.00
BGR,Bulgaria,Other,104,62,1695541475.46,5780746568.71,7476288044.16
BHR,Bahrain,Middle_East,36,43,2609299260.55,72117874.00,2681417134.55
BIH,Bosnia Herzegovina,Other,15,39,13339282.74,1165566598.00,1178905880.74
BRN,Brunei Darussalam,Other,17,28,7423861042.00,43127713.00,7466988755.00
BWA,Botswana,Other,7,14,22870465.13,557648452.00,580518917.13
CAF,Central African Rep.,Other,1,16,9519.00,36353884.00,36363403.00
CIV,C_e d'Ivoire,Other,63,59,2285000412.74,2045395076.18,4330395488.92
CMR,Cameroon,Other,33,44,3183600649.75,78348546.15,3261949195.90
COM,Comoros,Other,2,16,2555.06,2204909.52,2207464.58
DJI,Djibouti,Other,5,18,26983459.00,192013998.18,218997457.18
DNK,Denmark,Europe,116,71,8296539266.95,4586626835.09,12883166102.05
DZA,Algeria,Africa,73,52,53345136206.88,144781696.20,53489917903.08
EGY,Egypt,Africa,93,59,9300006411.40,4156435855.15,13456442266.55
ERI,Eritrea,Other,0,14,0.00,94194027.48,94194027.48
EST,Estonia,Other,79,43,1419417940.36,2338036490.80,3757454431.16
