country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
GUM,Guam,Other,5,11,27822486.00,690554472.74,718376958.74
HRV,Croatia,Other,65,46,855484775.62,3021631477.07,3877116252.69
ISL,Iceland,Other,70,37,61175103.28,564608621.84,625783725.12
KIR,Kiribati,Other,0,8,0.00,15523116.00,15523116.00
MNG,Mongolia,Other,16,26,62768521.00,426066332.36,488834853.36
MNP,N. Mariana Isds,Other,1,4,37216.00,94628012.00,94665228.00
NCL,New Caledonia,Other,7,30,271625.48,298283818.00,298555443.49
NFK,Norfolk Isds,Other,0,2,0.00,636253.00,636253.00
NRU,Nauru,Other,0,2,0.00,11264104.00,11264104.00
PNG,Papua New Guinea,Other,11,14,1286503838.00,532956274.00,1819460112.00
PYF,French Polynesia,Other,7,22,8204.07,197198583.00,197206787.07
SLB,Solomon Isds,Other,2,12,3055552.12,26303048.74,29358600.87
TLS,Timor-Leste,Other,3,4,24315081.00,10247489.00,34562570.00
TUV,Tuvalu,Other,0,7,0.00,4160191.00,4160191.00
WLF,Wallis and Futuna Isds,Other,1,9,648.00,7327802.00,7328450.00
BLR,Belarus,Other,58,36,4440854225.35,7174861120.00,11615715345.35
BLZ,Belize,Other,13,27,77368150.49,47384216.65,124752367.14
FRO,Faroe Isds,Other,17,20,9480803.00,144838344.00,154319147.00
LTU,Lithuania,Other,60,42,3198269664.33,4269724977.36,7467994641.69
LUX,Luxembourg,Other,28,35,62573778.84,1879796416.58,1942370195.42
LVA,Latvia,Other,64,40,2600299280.99,1314266538.36,3914565819.35
PRK,Dem. People's Rep. of Korea,Other,28,18,196931388.24,958464738.53,1155396126.76
UZB,Uzbekistan,Former_USSR,27,23,831782096.00,141005140.16,972787236.16
GIB,Gibraltar,Other,2,30,19762544.17,3915499296.49,3935261840.65
BMU,Bermuda,Other,4,21,70284613.00,96860828.22,167145441.22
CPV,Cabo Verde,Other,16,24,50247556.00,47150078.40,97397634.40
CYM,Cayman Isds,Other,5,19,103548439.00,106227502.17,209775941.17
GRD,Grenada,Other,2,17,11100.00,17518337.00,17529437.00
HTI,Haiti,Other,4,17,4705.96,395643050.30,395647756.26
SGS,South Georgia and the South Sandwich Islands,Other,1,3,4603377.85,28337.41,4631715.26
VCT,Saint Vincent and the Grenadines,Other,9,29,504991.93,62286963.29,62791955.22
MHL,Marshall Isds,Other,1,22,1746.00,56948661.99,56950407.99
VGB,Br. Virgin Isds,Other,11,14,23919342.59,2723451371.62,2747370714.22
TCA,Turks and Caicos Isds,Other,2,10,45797.00,49810566.20,49856363.20
MSR,Montserrat,Other,2,8,144331.00,8884121.00,9028452.00
SPM,Saint Pierre and Miquelon,Other,1,1,4.00,54743.00,54747.00
SWZ,Eswatini,Other,9,8,18853265.23,157007278.47,175860543.70
VAT,Holy See (Vatican City State),Other,0,3,0.00,12352239.31,12352239.31
LAO,Lao People's Dem. Rep.,Other,5,5,4240495.72,264994034.00,269234529.72
GNB,Guinea-Bissau,Other,1,6,223204.00,31868148.55,32091352.55
UMI,United States Minor Outlying Islands,Other,2,2,5461708.00,23448.00,5485156.00
TKL,Tokelau,Other,0,4,0.00,944062.00,944062.00
PSE,State of Palestine,Other,2,3,568387.00,2475285.23,3043672.23
PCN,Pitcairn,Other,0,3,0.00,13406648.00,13406648.00
FLK,Falkland Isds (Malvinas),Other,0,3,0.00,14713943.26,14713943.26
SHN,Saint Helena,Other,1,4,6897.00,27987593.81,27994490.81
ATF,Fr. South Antarctic Terr.,Other,0,4,0.00,7755596.00,7755596.00
IOT,Br. Indian Ocean Terr.,Other,1,4,58.00,763418.00,763476.00
SMR,San Marino,Other,0,2,0.00,21167.00,21167.00
PLW,Palau,Other,0,3,0.00,35887.00,35887.00
LSO,Lesotho,Other,1,3,350970.81,71400798.14,71751768.95
NIU,Niue,Other,0,1,0.00,2180235.00,2180235.00
