country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,11,18,104373296.69,214527599.25,318900895.94
ARE,United Arab Emirates,Middle_East,175,144,87455566074.66,11649327913.09,99104893987.75
BEL,Belgium,Europe,180,147,39005339810.89,32450929038.64,71456268849.53
CUW,Cura_o,Other,21,26,178589541.88,205680047.97,384269589.85
FRA,France,Europe,188,127,8909953968.83,66084791894.73,74994745863.56
GHA,Ghana,Other,39,76,4947485584.08,2604998501.88,7552484085.97
GUY,Guyana,Other,18,35,5635359864.26,831046170.01,6466406034.27
IND,India,Asia_Pacific,170,112,33586242996.50,122845429127.87,156431672124.37
KOR,Rep. of Korea,Asia_Pacific,172,107,33158060424.71,114555752080.16,147713812504.87
NLD,Netherlands,Europe,186,152,60102055454.45,70320933347.24,130422988801.68
PAN,Panama,Other,51,69,297552553.77,1768754357.03,2066306910.80
USA,USA,North_America,191,125,213767843591.90,137215681571.33,350983525163.23
AFG,Afghanistan,Other,10,25,162177233.50,630537952.11,792715185.61
AUT,Austria,Other,139,77,3030065434.98,8893927086.01,11923992520.99
BWA,Botswana,Other,10,27,26791660.41,751688343.23,778480003.64
COD,Dem. Rep. of the Congo,Other,28,66,795392259.13,397199494.32,1192591753.46
IRN,Iran,Middle_East,52,45,4204812893.95,415149639.26,4619962533.21
ITA,Italy,Europe,167,96,15698297569.22,68071119798.42,83769417367.64
MOZ,Mozambique,Other,48,63,2002134324.21,1213604069.66,3215738393.87
PAK,Pakistan,Other,36,67,683673098.25,19070039815.35,19753712913.60
UZB,Uzbekistan,Former_USSR,39,50,923847743.68,1214840066.17,2138687809.85
AGO,Angola,Africa,43,57,10898188080.19,1877812990.39,12776001070.58
ARG,Argentina,Latin_America,46,56,3289083359.21,5358352360.27,8647435719.48
AUS,Australia,Asia_Pacific,127,80,62410718844.71,24907776190.82,87318495035.53
BGD,Bangladesh,Other,16,47,66482424.88,7728602337.64,7795084762.52
BRA,Brazil,Latin_America,124,71,37097883113.88,27396896691.71,64494779805.60
CAN,Canada,North_America,158,106,36929284380.94,29740761486.55,66670045867.49
CHL,Chile,Latin_America,34,66,689070888.63,13590530867.03,14279601755.66
CHN,China,Asia_Pacific,194,117,25081909305.70,187224176051.48,212306085357.18
CUB,Cuba,Other,6,49,158956287.95,2583471443.38,2742427731.33
DOM,Dominican Rep.,Other,40,57,106111293.94,4162407944.02,4268519237.96
ESP,Spain,Europe,162,118,13198636654.93,49813377651.23,63012014306.16
GBR,United Kingdom,Europe,172,105,33814630147.79,44962820936.98,78777451084.78
GIB,Gibraltar,Other,12,37,26878062.61,6568621151.54,6595499214.15
GRC,Greece,Other,153,81,11187025693.46,19507732426.85,30694758120.31
IDN,Indonesia,Asia_Pacific,94,81,43592184062.42,27308341692.29,70900525754.71
ISR,Israel,Other,93,62,3126566800.24,1867517602.80,4994084403.04
JPN,Japan,Asia_Pacific,157,84,6166376964.33,88401309289.67,94567686254.00
KWT,Kuwait,Middle_East,76,58,53711338118.84,1865979631.02,55577317749.86
MAR,Morocco,Other,44,72,300429552.36,7919627183.48,8220056735.84
MYS,Malaysia,Asia_Pacific,146,82,60888464633.79,27283362697.47,88171827331.27
NER,Niger,Other,47,50,261017072.15,70914365.70,331931437.85
NGA,Nigeria,Africa,70,76,49280981343.59,15715292358.03,64996273701.62
PHL,Philippines,Other,40,60,411792526.70,15066655860.94,15478448387.64
PRT,Portugal,Other,108,71,2804307920.56,9580199213.74,12384507134.29
SGP,Singapore,Asia_Pacific,163,135,43239686711.29,76606742702.56,119846429413.85
STP,Sao Tome and Principe,Other,2,21,4089.00,32404470.38,32408559.38
TGO,Togo,Other,33,61,1472821501.74,546903850.80,2019725352.54
THA,Thailand,Asia_Pacific,126,82,5911435893.12,36603048050.12,42514483943.24
TZA,United Rep. of Tanzania,Other,31,67,128280808.10,2193524901.24,2321805709.33
URY,Uruguay,Other,20,50,14386794.18,1494257924.43,1508644718.61
VNM,Viet Nam,Other,72,69,3318310702.54,15087221649.08,18405532351.62
ZAF,South Africa,Africa,135,114,9761583721.35,14600765482.83,24362349204.18
AIA,Anguilla,Other,2,5,973.33,19617192.98,19618166.30
GRD,Grenada,Other,7,24,55162.83,64055999.40,64111162.23
MSR,Montserrat,Other,0,12,0.00,6215817.46,6215817.46
ALB,Albania,Other,44,43,252707076.67,339162739.03,591869815.70
BGR,Bulgaria,Other,94,58,1669688684.52,4869611572.85,6539300257.37
BIH,Bosnia Herzegovina,Other,33,55,19363187.66,1366801627.26,1386164814.91
CIV,C_e d'Ivoire,Other,51,71,1662825540.73,2212107974.80,3874933515.54
