country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,22,22,514043944.90,1791849482.75,2305893427.65
CAN,Canada,North_America,159,104,23655555332.32,49074411968.76,72729967301.08
COL,Colombia,Latin_America,75,54,40907923064.83,6337524148.58,47245447213.41
CRI,Costa Rica,Other,24,49,12488187.67,2300155941.00,2312644128.67
CUW,Cura_o,Other,34,26,2944192810.80,1716866794.61,4661059605.41
DOM,Dominican Rep.,Other,45,55,411110818.84,4519593928.15,4930704746.99
ECU,Ecuador,Latin_America,35,51,15249543729.52,4065154134.48,19314697864.00
FRA,France,Europe,180,128,15006297186.59,107918580293.68,122924877480.27
GBR,United Kingdom,Europe,177,112,55174708564.96,69284956626.96,124459665191.92
JOR,Jordan,Other,28,57,6937299.52,5447072822.25,5454010121.77
KWT,Kuwait,Middle_East,80,60,94067724151.38,266333519.15,94334057670.53
MEX,Mexico,North_America,91,76,17615403294.22,10832484801.16,28447888095.38
MYS,Malaysia,Asia_Pacific,123,83,63018246894.40,31681601598.72,94699848493.12
PAN,Panama,Other,46,68,1440618457.03,1311102474.35,2751720931.38
PER,Peru,Latin_America,36,56,5116318211.44,9254428699.03,14370746910.47
SDN,Sudan,Other,18,61,2667872209.59,1019193524.25,3687065733.84
SGP,Singapore,Asia_Pacific,151,98,65282789324.15,112727187791.99,178009977116.14
SLV,El Salvador,Other,17,45,75536205.59,1972577425.37,2048113630.96
SUR,Suriname,Other,16,35,260062471.24,500776126.46,760838597.70
TTO,Trinidad and Tobago,Other,92,52,13383945594.69,6475014047.45,19858959642.14
USA,USA,North_America,190,131,108964779495.03,157948829236.48,266913608731.51
VCT,Saint Vincent and the Grenadines,Other,10,31,81460.10,62746344.13,62827804.23
YEM,Yemen,Other,34,36,9026872804.64,215976948.35,9242849752.99
AFG,Afghanistan,Other,9,33,56275529.64,821125573.69,877401103.33
AGO,Angola,Africa,35,55,33963000792.88,1915692290.71,35878693083.59
ARE,United Arab Emirates,Middle_East,145,100,111676483329.23,2192788267.57,113869271596.79
ARG,Argentina,Latin_America,45,60,3977916092.65,11701576004.72,15679492097.37
BGD,Bangladesh,Other,13,54,70880943.71,2364540316.27,2435421259.98
CHN,China,Asia_Pacific,189,113,16332243297.11,152990703292.80,169322946589.92
IRN,Iran,Middle_East,59,42,23847412791.95,359835642.18,24207248434.13
KGZ,Kyrgyzstan,Other,56,42,137280152.00,1261009127.98,1398289279.98
