country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,8,19,11493617.66,444162153.40,455655771.06
ARE,United Arab Emirates,Middle_East,174,145,126180534895.64,19784562161.88,145965097057.52
BEL,Belgium,Europe,180,149,46875835644.14,50977436538.54,97853272182.68
CAN,Canada,North_America,158,109,38711823664.45,42418261863.32,81130085527.77
GUY,Guyana,Other,25,42,15331066120.35,1287680690.60,16618746810.95
ITA,Italy,Europe,168,101,25456056157.73,114378923609.93,139834979767.67
KOR,Rep. of Korea,Asia_Pacific,170,114,62579049591.88,179336048447.29,241915098039.17
NLD,Netherlands,Europe,179,152,64810449181.21,127263793338.63,192074242519.84
USA,USA,North_America,191,130,340106020435.21,133465234684.70,473571255119.92
AFG,Afghanistan,Other,14,20,401488463.89,625549982.82,1027038446.70
AND,Andorra,Other,3,24,24379.15,146165604.81,146189983.96
AUT,Austria,Other,137,90,5062856393.41,13164988478.60,18227844872.01
BWA,Botswana,Other,19,35,92511756.65,1138594159.01,1231105915.66
ESP,Spain,Europe,159,116,22210852873.48,89050360820.84,111261213694.32
GTM,Guatemala,Other,26,60,113793747.88,5337698330.00,5451492077.88
IND,India,Asia_Pacific,170,111,55560824666.13,158096177390.05,213657002056.17
IRL,Ireland,Other,77,77,1105622891.33,13187998153.53,14293621044.86
IRN,Iran,Middle_East,53,45,3014249809.70,540724017.10,3554973826.80
MOZ,Mozambique,Other,49,55,4420636816.20,2302678383.66,6723315199.86
PAK,Pakistan,Other,36,65,2301348629.48,24278962068.51,26580310697.98
SGP,Singapore,Asia_Pacific,172,130,68308403089.01,101544757681.07,169853160770.08
TUR,T_kiye,Other,189,100,11700643607.37,29345461208.68,41046104816.05
UZB,Uzbekistan,Former_USSR,48,51,1288272770.61,1452874177.57,2741146948.18
AGO,Angola,Africa,41,55,26001557469.73,3828061016.22,29829618485.95
AUS,Australia,Asia_Pacific,118,85,81679159275.10,42298307192.98,123977466468.08
BFA,Burkina Faso,Other,46,57,23141114.44,1939069072.57,1962210187.01
BRA,Brazil,Latin_America,133,72,38545560050.79,47448906747.13,85994466797.92
CHE,Switzerland,Other,152,91,3564691007.49,14312816115.93,17877507123.42
CHL,Chile,Latin_America,37,67,1744722598.09,22515687536.12,24260410134.22
CHN,China,Asia_Pacific,194,112,39066777763.96,177830830763.54,216897608527.50
CMR,Cameroon,Other,24,65,5086805990.35,1756390237.43,6843196227.78
COD,Dem. Rep. of the Congo,Other,23,67,1163046065.05,2708821870.09,3871867935.14
COG,Congo,Other,39,41,10663526068.17,37831792.34,10701357860.51
CPV,Cabo Verde,Other,17,31,40573341.15,913318789.45,953892130.60
DEU,Germany,Europe,179,118,34378926954.51,95718684933.39,130097611887.90
FRA,France,Europe,187,137,23142567764.54,95141528512.01,118284096276.55
GBR,United Kingdom,Europe,176,114,49747800650.40,82590189053.61,132337989704.01
GHA,Ghana,Other,40,80,7573706216.01,4755666689.78,12329372905.80
GIB,Gibraltar,Other,15,33,351529886.26,9385087233.80,9736617120.06
GRC,Greece,Other,141,92,17515644644.43,33013478583.75,50529123228.18
IDN,Indonesia,Asia_Pacific,100,74,70552253681.50,43526246139.02,114078499820.52
JPN,Japan,Asia_Pacific,162,81,13302611305.39,105718451410.59,119021062715.98
KWT,Kuwait,Middle_East,81,56,61382444893.93,676950401.29,62059395295.22
MWI,Malawi,Other,4,32,13387.59,368103644.11,368117031.69
MYS,Malaysia,Asia_Pacific,146,89,77045619708.55,51632181468.71,128677801177.26
NOR,Norway,Europe,94,69,63824935432.09,7878986699.27,71703922131.36
PHL,Philippines,Other,37,62,949813031.72,24811217193.12,25761030224.84
PRT,Portugal,Other,106,73,3509061534.97,16580584310.34,20089645845.31
STP,Sao Tome and Principe,Other,6,18,31728.28,59083005.19,59114733.47
SWE,Sweden,Europe,145,78,12884088162.94,26802157297.72,39686245460.67
TGO,Togo,Other,37,52,1424939545.22,2031432045.53,3456371590.75
THA,Thailand,Asia_Pacific,135,87,8126747790.50,57110348143.10,65237095933.60
VNM,Viet Nam,Other,71,62,4048558320.44,25397265201.94,29445823522.39
ZAF,South Africa,Africa,144,115,16691442782.78,24286065404.27,40977508187.05
ALB,Albania,Other,46,41,396886548.87,279773136.85,676659685.72
ARM,Armenia,Other,7,54,4229430.57,1119280837.45,1123510268.02
AZE,Azerbaijan,Former_USSR,89,60,37535215854.78,1279665407.13,38814881261.91
BGR,Bulgaria,Other,92,64,6754086548.71,9249917858.85,16004004407.55
BIH,Bosnia Herzegovina,Other,45,61,25298783.43,2223449493.63,2248748277.06
CIV,C_e d'Ivoire,Other,41,63,3316924047.80,4790237761.62,8107161809.42
CYP,Cyprus,Other,46,64,591168082.88,2455372837.58,3046540920.46
CZE,Czechia,Other,122,80,2423149205.62,20134239621.36,22557388826.98
DNK,Denmark,Europe,121,81,5063503807.42,8766913011.73,13830416819.15
EGY,Egypt,Africa,101,76,17666234435.21,14144293211.06,31810527646.26
EST,Estonia,Other,98,61,1584121993.61,3201309067.03,4785431060.64
GEO,Georgia,Other,48,58,262586530.53,1816725068.00,2079311598.53
HRV,Croatia,Other,60,60,1699385946.31,8602488586.39,10301874532.70
LBN,Lebanon,Other,43,63,6605665.44,5722654769.27,5729260434.70
LKA,Sri Lanka,Other,59,54,348746000.00,3968516715.72,4317262715.71
LTU,Lithuania,Other,119,59,8043219046.75,12636054215.18,20679273261.93
MAR,Morocco,Other,51,72,446519151.17,14017253669.37,14463772820.54
MKD,North Macedonia,Other,37,52,15843087.38,1563855469.41,1579698556.78
MLT,Malta,Other,48,67,700228685.23,2088406826.40,2788635511.63
MNE,Montenegro,Other,18,46,19781147.36,422953442.08,442734589.44
POL,Poland,Other,144,82,4813568152.02,32914769843.19,37728337995.21
ROU,Romania,Other,102,63,4716216996.13,13166776316.34,17882993312.47
SAU,Saudi Arabia,Middle_East,97,80,115748350695.66,13853232325.95,129601583021.61
SEN,Senegal,Other,42,74,829166201.63,3791214769.71,4620380971.34
SRB,Serbia,Other,80,73,583035900.67,4981447186.68,5564483087.35
SVN,Slovenia,Other,76,58,2785323791.20,5522449603.61,8307773394.81
UKR,Ukraine,Other,122,73,797992719.66,12236945076.49,13034937796.15
ARG,Argentina,Latin_America,46,65,6391610293.23,11687981542.30,18079591835.53
ATG,Antigua and Barbuda,Other,24,33,99316126.60,77090277.24,176406403.84
