source,target,weight,data_source
ABW,ARE,597.69,import_reported
ABW,COL,975.42,export_mirrored
ABW,CRI,105.58,import_reported
ABW,CUW,55.87,export_mirrored
ABW,DOM,2274924.00,import_reported
ABW,GRD,31747.41,import_reported
ABW,GTM,643460.00,import_reported
ABW,KOR,83854257.00,import_reported
ABW,NLD,61.45,export_mirrored
ABW,OMN,2600.78,import_reported
ABW,PAN,2487.15,export_mirrored
ABW,USA,26222.35,export_mirrored
ARE,AFG,40167055.72,export_mirrored
ARE,AGO,30326013.62,import_reported
ARE,ALB,134779.60,export_mirrored
ARE,ARG,71649215.08,import_reported
ARE,ARM,65827.50,import_reported
ARE,ATG,29952.35,export_mirrored
ARE,AUS,884670779.16,import_reported
ARE,AUT,279322.62,import_reported
ARE,AZE,908067.81,import_reported
ARE,BDI,26404785.63,import_reported
ARE,BEL,65848829.72,import_reported
ARE,BEN,4554800.85,import_reported
ARE,BFA,3516289.67,import_reported
ARE,BGD,36802501.72,export_mirrored
ARE,BHR,25325054.45,import_reported
ARE,BHS,3506.78,export_mirrored
ARE,BLR,4790000.00,import_reported
ARE,BOL,101034.07,import_reported
ARE,BRA,177134781.00,import_reported
ARE,BRB,1172.00,import_reported
ARE,BRN,222808818.90,import_reported
ARE,BTN,77.33,export_mirrored
ARE,BWA,370733.38,import_reported
ARE,CAF,1027211.68,import_reported
ARE,CAN,8787675.82,import_reported
ARE,CHE,721.83,import_reported
ARE,CHL,1215121.64,import_reported
ARE,CHN,12033082659.00,import_reported
ARE,CIV,7012570.81,import_reported
ARE,CMR,43705166.65,import_reported
ARE,COD,96230274.21,import_reported
ARE,COG,1826663.12,import_reported
ARE,COL,21978066.28,import_reported
ARE,COM,22337651.14,import_reported
ARE,CPV,92575.49,import_reported
ARE,CRI,58562.21,import_reported
ARE,CUW,36355.89,export_mirrored
ARE,CYM,39498.64,import_reported
ARE,CYP,300257.06,import_reported
ARE,CZE,1394.00,import_reported
ARE,DEU,2928079.35,import_reported
ARE,DJI,300663035.73,export_mirrored
ARE,DNK,27156815.71,import_reported
ARE,DOM,89093.65,import_reported
ARE,DZA,12049461.28,export_mirrored
ARE,ECU,58050.97,import_reported
ARE,EGY,284990476.08,import_reported
ARE,ERI,4644496.13,export_mirrored
ARE,ESP,132355334.75,import_reported
ARE,EST,117.11,import_reported
ARE,ETH,366648142.04,import_reported
ARE,FIN,11657447.69,import_reported
ARE,FJI,505896.10,import_reported
ARE,FRA,571569126.18,import_reported
ARE,GAB,1710352.30,import_reported
ARE,GBR,407392758.80,import_reported
ARE,GEO,2434996.68,import_reported
ARE,GHA,56084700.21,export_mirrored
ARE,GIN,17362806.02,export_mirrored
ARE,GMB,1191892.08,import_reported
ARE,GNB,280524.22,export_mirrored
ARE,GNQ,1222435.43,export_mirrored
ARE,GRC,758968.68,import_reported
ARE,GTM,821367.00,import_reported
ARE,GUM,397.99,export_mirrored
ARE,GUY,773469.45,import_reported
ARE,HKG,7285529.36,import_reported
ARE,HND,175442.76,import_reported
ARE,HTI,199674.54,export_mirrored
ARE,IDN,1127006012.00,import_reported
ARE,IND,11542702104.57,import_reported
ARE,IRL,29639.99,import_reported
ARE,IRN,86350408.00,import_reported
ARE,IRQ,2353577406.29,export_mirrored
ARE,ISL,17412811.79,import_reported
ARE,ISR,171000.00,import_reported
ARE,ITA,76617686.44,import_reported
ARE,JAM,79945.86,import_reported
ARE,JOR,61648442.53,import_reported
ARE,JPN,15642597572.30,import_reported
ARE,KAZ,283483.07,import_reported
ARE,KEN,558822709.78,import_reported
ARE,KGZ,63168.00,import_reported
ARE,KHM,4304524.68,import_reported
ARE,KOR,5255869946.00,import_reported
ARE,KWT,53340277.00,import_reported
ARE,LAO,9345.11,export_mirrored
ARE,LBN,16253293.00,import_reported
ARE,LBR,4526989.10,import_reported
ARE,LBY,9381431.20,export_mirrored
ARE,LKA,579880714.33,import_reported
ARE,LSO,39706.29,import_reported
ARE,LTU,58799.00,import_reported
ARE,LUX,1438.03,import_reported
ARE,LVA,20581.23,import_reported
ARE,MAR,5891533.89,import_reported
ARE,MDA,29861.00,import_reported
ARE,MDG,180825303.44,import_reported
ARE,MDV,72746935.02,import_reported
ARE,MEX,7001914.00,import_reported
ARE,MLI,12638878.77,export_mirrored
ARE,MLT,52427.94,import_reported
ARE,MMR,23422515.33,import_reported
ARE,MNG,668145.28,import_reported
ARE,MOZ,267108309.78,import_reported
ARE,MRT,330476322.72,import_reported
ARE,MUS,485569636.09,import_reported
ARE,MWI,94874496.42,import_reported
ARE,MYS,1435939265.31,import_reported
ARE,NER,2479181.45,import_reported
ARE,NGA,309537427.40,import_reported
ARE,NIC,15404.03,import_reported
ARE,NLD,357121985.90,import_reported
ARE,NOR,17616.02,import_reported
ARE,NPL,6224871.04,import_reported
ARE,NZL,893276107.01,import_reported
ARE,OMN,302799845.29,import_reported
ARE,PAK,3571092073.40,import_reported
ARE,PAN,53507.00,import_reported
ARE,PER,1854099.24,import_reported
