country_code,country_name,region,out_degree,in_degree,out_strength,in_strength,total_strength
ABW,Aruba,Other,25,27,4142203408.87,1759628291.36,5901831700.23
ARG,Argentina,Latin_America,47,63,4929312041.14,5385629658.48,10314941699.62
BRA,Brazil,Latin_America,85,79,31101914587.39,40926317253.90,72028231841.29
CAN,Canada,North_America,160,99,42041561553.99,51534474263.37,93576035817.36
COL,Colombia,Latin_America,82,57,36404452761.56,3846396217.96,40250848979.52
CRI,Costa Rica,Other,31,53,36689263.98,2251276561.84,2287965825.82
CUW,Cura_o,Other,49,32,2712184676.16,2529753825.38,5241938501.54
DOM,Dominican Rep.,Other,31,57,200070064.94,4484635920.48,4684705985.42
ESP,Spain,Europe,146,107,12072446577.25,76182211687.20,88254658264.45
FRA,France,Europe,181,119,16697841703.09,111535439831.23,128233281534.32
GBR,United Kingdom,Europe,176,121,61768184005.20,60253435226.26,122021619231.46
IND,India,Asia_Pacific,160,118,45286830482.71,113668783477.24,158955613959.95
ISR,Israel,Other,80,59,3697952102.00,4071543783.00,7769495885.00
KOR,Rep. of Korea,Asia_Pacific,164,101,47673538666.18,138585356415.67,186258895081.85
KWT,Kuwait,Middle_East,73,61,82766514984.21,172745003.11,82939259987.32
NLD,Netherlands,Europe,173,124,57579836877.36,97811820454.88,155391657332.24
PAN,Panama,Other,47,64,1755717077.91,1299941955.26,3055659033.17
PER,Peru,Latin_America,41,55,4883292650.61,5903038722.27,10786331372.88
ROU,Romania,Other,97,60,2842719273.08,7745596282.00,10588315555.08
SDN,Sudan (...2011),Other,22,57,12708706211.64,941191826.30,13649898037.93
SGP,Singapore,Asia_Pacific,135,99,64837368994.54,115821706108.50,180659075103.05
SUR,Suriname,Other,17,32,226792405.44,396469338.27,623261743.72
TTO,Trinidad and Tobago,Other,77,45,13263373472.40,3728095234.13,16991468706.53
USA,USA,North_America,191,127,93545885987.54,195614620405.49,289160506393.03
VEN,Venezuela,Latin_America,56,42,36684980105.71,1046996470.42,37731976576.13
ZAF,South Africa,Africa,139,93,10400072883.61,20348765777.93,30748838661.54
AFG,Afghanistan,Other,5,43,36761282.13,2377208489.36,2413969771.49
