year,reporter,reporter_name,partner,partner_name,flow,flow_name,product_code,product_name,trade_value_raw_usd
2005,AGO,Angola,ARE,United Arab Emirates,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",15912196.25
2005,AGO,Angola,BEL,Belgium,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",16283303.98
2005,AGO,Angola,BEL,Belgium,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,1460.487
2005,AGO,Angola,BRA,Brazil,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",5.551
2005,AGO,Angola,BRA,Brazil,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,113456475.1
2005,AGO,Angola,BRA,Brazil,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",395748.606
2005,AGO,Angola,BRA,Brazil,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,1028.884
2005,AGO,Angola,BWA,Botswana,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",1525.837
2005,AGO,Angola,CAN,Canada,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1422803687.0
2005,AGO,Angola,CAN,Canada,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",52306.288
2005,AGO,Angola,CAN,Canada,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,1617.333
2005,AGO,Angola,CHE,Switzerland,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",15314672.89
2005,AGO,Angola,CHE,Switzerland,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,7728.647
2005,AGO,Angola,CHL,Chile,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1202746765.0
2005,AGO,Angola,CHL,Chile,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,3285069.191
2005,AGO,Angola,CHN,China,X,Export,2709,Petroleum oils and oils obtained from bituminous minerals; crude,6666427960.0
2005,AGO,Angola,CHN,China,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",11064.425
2005,AGO,Angola,CHN,China,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,2418.069
2005,AGO,Angola,CIV,C_e d'Ivoire,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",1429305.098
2005,AGO,Angola,CMR,Cameroon,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",3385035.617
2005,AGO,Angola,COD,Dem. Rep. of the Congo,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",22921025.15
2005,AGO,Angola,COG,Congo,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,55.242
