year,country_code,country_name,in_degree,out_degree,total_degree,norm_in_degree,norm_out_degree,norm_total_degree,in_strength,out_strength,total_strength,norm_in_strength,norm_out_strength,norm_total_strength,betweenness_centrality,pagerank_centrality,eigenvector_centrality,global_density,global_nodes,global_edges,global_max_possible_edges,global_edge_coverage_ratio,global_total_weight,global_avg_edge_weight,global_weight_density,global_is_strongly_connected,global_num_strongly_connected_components,global_largest_scc_size,global_largest_scc_ratio,global_is_weakly_connected,global_num_weakly_connected_components,global_largest_wcc_size,global_largest_wcc_ratio,global_avg_path_length,global_median_path_length,global_max_path_length,global_min_path_length,global_avg_weighted_path_length,global_median_weighted_path_length,global_reachability_ratio,global_sampled_pairs,global_reachable_pairs,global_weighted_reachable_pairs,global_lwcc_node_ratio,global_lwcc_edge_ratio,global_global_efficiency,global_weighted_global_efficiency,global_efficiency_sample_size,global_efficiency_sample_pairs,global_global_clustering,global_avg_clustering,global_weighted_avg_clustering
2001,ABW,Aruba,9,14,23,0.04017857142857143,0.0625,0.05133928571428571,74635470.0,1144892262.841,1219527732.841,0.00013806581888796104,0.002117900346948085,0.002255966165836046,0.0,0.0011050940477089163,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2001,BRA,Brazil,66,67,133,0.29464285714285715,0.29910714285714285,0.296875,8047079057.786,1761567435.808,9808646493.594,0.014886039570319394,0.0032586684394323136,0.018144708009751705,0.0761731262011531,0.013325458871018927,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2001,COL,Colombia,43,52,95,0.19196428571428573,0.23214285714285715,0.21205357142857142,175843241.11,4944464814.167,5120308055.276999,0.0003252869055392205,0.00914661063339826,0.00947189753893748,0.0,0.001269469545276734,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2001,ESP,Spain,84,128,212,0.375,0.5714285714285714,0.4732142857142857,16875428537.978998,2151197619.234999,19026626157.213997,0.03121732683108095,0.003979433115240145,0.03519675994632109,0.04450272261370916,0.016740591281216084,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2001,FRA,France,110,171,281,0.49107142857142855,0.7633928571428571,0.6272321428571429,27130526576.028,4048548471.283,31179075047.311,0.050187911573155435,0.007489283044580414,0.05767719461773585,0.07945627802690583,0.022257153265035242,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2001,GBR,United Kingdom,102,171,273,0.45535714285714285,0.7633928571428571,0.609375,14228538665.86,21022661215.109,35251199880.969,0.026320928138872542,0.03888916269795316,0.0652100908368257,0.20245435618193464,0.015852341813909092,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2001,GTM,Guatemala,40,9,49,0.17857142857142858,0.04017857142857143,0.109375,750898672.0,108627670.0,859526342.0,0.001389063940396737,0.00020094692526812248,0.0015900108656648594,0.022241351697629724,0.012441786561729819,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2001,GUY,Guyana,24,5,29,0.10714285714285714,0.022321428571428572,0.06473214285714286,62802818.0,25753.0,62828571.0,0.00011617696646971713,4.76396682947352e-08,0.00011622460613801187,0.008868513773222293,0.0031722822829328753,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2001,HND,Honduras,45,8,53,0.20089285714285715,0.03571428571428571,0.11830357142857142,342879256.24,3295731.91,346174988.15000004,0.000634281599519245,6.09667126085404e-06,0.000640378270780099,0.004464285714285714,0.006787405190284708,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
2001,IRN,Iran,45,72,117,0.20089285714285715,0.32142857142857145,0.2611607142857143,522597045.0,18221251623.997997,18743848668.997997,0.0009667359094322527,0.03370692281606685,0.03467365872549911,0.08560217809096732,0.0017637154550295337,0.0,0.14293650793650794,225,7204,50400,0.14293650793650794,540578910849.5123,75038716.10903835,0.14293650793650794,False,18,208,0.9244444444444444,True,1,225,1.0,2.065161401098901,2.0,4,1,0.0006687912845056128,3.0484522110322585e-07,0.9244444444444444,50400,46592,46592,1.0,1.0,0.5006514550263261,31441236.085690275,225,50400,0.49700180986854636,0.6998845553791851,0.0003346431311331996
