horizon,price_coef_ovi,price_se_ovi,price_pvalue_ovi,quantity_coef_ovi,quantity_se_ovi,quantity_pvalue_ovi,price_coef_distance,price_se_distance,price_pvalue_distance,quantity_coef_distance,quantity_se_distance,quantity_pvalue_distance,n_obs,price_ci_lower_ovi,price_ci_upper_ovi,quantity_ci_lower_ovi,quantity_ci_upper_ovi
0,-0.03624285824542941,0.06354357034388484,0.5686001153705624,-0.10281715590826355,0.09890562163011099,0.2988796101906803,0.028249513176741035,0.04475008898736529,0.5280514892778547,0.09402554475389406,0.06958223873017504,0.17700469504314498,826,-0.1607882561194437,0.08830253962858489,-0.2966721743032811,0.09103786248675398
1,-0.01585070625026408,0.09092330522151357,0.8616556994503599,-0.09435425726736259,0.12362496770850667,0.4455813241620685,0.05919136343090467,0.09543532918968577,0.5353098986327713,0.09818479755157261,0.10716318094259022,0.3598655992792752,769,-0.19406038448443066,0.1623589719839025,-0.33665919397603566,0.14795067944131046
2,-0.1259357665258388,0.0753029710651537,0.09489220440879653,-0.1208403940747655,0.12011523407287643,0.31477031392551225,-0.05172462752075911,0.07562964649649588,0.4942507365645221,0.06204433785203778,0.10199794866038572,0.5432066302383838,768,-0.27352958981354003,0.021658056761862443,-0.35626625285760327,0.11458546470807228
3,-0.176451181572916,0.07936469912787711,0.02651034210768688,-0.31784956272842374,0.09744784051449108,0.0011651152752125693,0.09833044145498121,0.08977994956712783,0.27378414863347267,0.03167145124317314,0.09314423637411254,0.7339467163551787,773,-0.33200599186355517,-0.020896371282276865,-0.5088473301368263,-0.12685179532002122
4,0.04601427728158797,0.0584995837992877,0.431793480768051,-0.12519774893283112,0.11622964160768808,0.2818048007741423,-0.09065264856995911,0.07121199168501251,0.2034357829640394,-0.011690863187015885,0.11660599684820508,0.9201688665110668,774,-0.06864490696501592,0.16067346152819184,-0.3530078464838997,0.10261234861823751
